epoch,fit_mse,val_mse
1,0.8915984630584717,0.04500454291701317
2,0.7558289170265198,0.016184082254767418
3,0.6346365213394165,0.08664131164550781
4,0.5263317823410034,0.2771186828613281
5,0.4355594515800476,0.6062905788421631
6,0.36828839778900146,1.0656691789627075
7,0.3217339813709259,1.4986389875411987
8,0.2821591794490814,1.7269984483718872
9,0.24141556024551392,1.662872076034546
10,0.2046559602022171,1.376023769378662
11,0.18332986533641815,1.0093928575515747
12,0.17860627174377441,0.6885937452316284
13,0.1786292940378189,0.47847622632980347
14,0.17052020132541656,0.3804105222225189
15,0.15133610367774963,0.3681074380874634
16,0.12710730731487274,0.4154643714427948
17,0.10443532466888428,0.48809877038002014
18,0.08565044403076172,0.529529333114624
19,0.0693647637963295,0.4872024953365326
20,0.054234739392995834,0.3550388813018799
21,0.04280924052000046,0.19323943555355072
22,0.037925172597169876,0.07881203293800354
23,0.03801601752638817,0.03293730318546295
24,0.038715336471796036,0.025800222530961037
25,0.039254672825336456,0.02960600145161152
26,0.04163553938269615,0.039955656975507736
27,0.04483344405889511,0.04990304633975029
28,0.04519405961036682,0.047560300678014755
29,0.042778559029102325,0.036854930222034454
30,0.04013615846633911,0.03231603652238846
31,0.03753145784139633,0.03177342563867569
32,0.03380390256643295,0.03067067079246044
33,0.029688047245144844,0.04146565496921539
34,0.026956437155604362,0.07724413275718689
35,0.025202414020895958,0.1246647909283638
36,0.02345682866871357,0.15538731217384338
37,0.02204197086393833,0.16335706412792206
38,0.021583087742328644,0.16592495143413544
39,0.02176474779844284,0.18143384158611298
40,0.021979516372084618,0.2210804671049118
41,0.022048816084861755,0.28371238708496094
42,0.022130781784653664,0.3522897958755493
43,0.022275153547525406,0.3992094397544861
44,0.02207903563976288,0.40603792667388916
45,0.021315505728125572,0.379594624042511
46,0.0204793568700552,0.34299343824386597
47,0.019925570115447044,0.31417426466941833
48,0.019202055409550667,0.29981377720832825
49,0.018239304423332214,0.2974308729171753
50,0.01769220270216465,0.29766377806663513
51,0.01752135157585144,0.28909754753112793
52,0.01724376156926155,0.26570937037467957
53,0.017065368592739105,0.2318926453590393
54,0.017159365117549896,0.19962547719478607
55,0.01721690036356449,0.1790321171283722
56,0.01714622601866722,0.17403408885002136
57,0.017007721588015556,0.1821388602256775
58,0.016803067177534103,0.19535864889621735
59,0.016555355861783028,0.20377328991889954
60,0.01619095914065838,0.202927827835083
61,0.01579049415886402,0.1973879188299179
62,0.01552782952785492,0.1961420476436615
63,0.015291049145162106,0.20533333718776703
64,0.015057873912155628,0.22435283660888672
65,0.014975395053625107,0.24585604667663574
66,0.014946654438972473,0.2598811984062195
67,0.014876442030072212,0.26112252473831177
68,0.014819837175309658,0.2533685266971588
69,0.014751416631042957,0.2448137253522873
70,0.014637134969234467,0.24118320643901825
71,0.014483977109193802,0.24241353571414948
72,0.014308019541203976,0.24413512647151947
73,0.014157326892018318,0.24098137021064758
74,0.014010217972099781,0.23082923889160156
75,0.013867085799574852,0.21634024381637573
76,0.013780299574136734,0.20265166461467743
77,0.013709325343370438,0.193635031580925
78,0.013636929914355278,0.190325528383255
79,0.013588503934442997,0.19062261283397675
80,0.01354160811752081,0.19089142978191376
81,0.013485814444720745,0.18866467475891113
82,0.01342159602791071,0.1846694052219391
83,0.013354803435504436,0.1818573921918869
84,0.01328875683248043,0.18300405144691467
85,0.013212031684815884,0.18839098513126373
86,0.01314604189246893,0.19565758109092712
87,0.013092785142362118,0.2013898342847824
88,0.013041048310697079,0.20375579595565796
89,0.013001690618693829,0.2037726491689682
90,0.012968628667294979,0.20403704047203064
91,0.012936455197632313,0.20613853633403778
92,0.012901042588055134,0.20951808989048004
93,0.01286246906965971,0.21224872767925262
94,0.012823757715523243,0.21260279417037964
95,0.01277833990752697,0.2103012502193451
96,0.012735818512737751,0.20664678514003754
97,0.01269490085542202,0.20341148972511292
98,0.012655039317905903,0.20174583792686462
99,0.012619143351912498,0.20136584341526031
100,0.012585804797708988,0.2008824348449707
101,0.01255318894982338,0.19913306832313538
102,0.012518519535660744,0.19637589156627655
