Date,股价,A500指数,美元指数,中国10年期利率,美国10年期利率,布伦特原油,铜,黄金,双向触发60预测,股价_MA5,股价_MA20,股价_相邻变化_pct,股价_MA5偏离_pct,股价_MA20偏离_pct,A500指数_MA5,A500指数_MA20,A500指数_相邻变化_pct,A500指数_MA5偏离_pct,A500指数_MA20偏离_pct,美元指数_MA5,美元指数_MA20,美元指数_相邻变化_pct,美元指数_MA5偏离_pct,美元指数_MA20偏离_pct,中国10年期利率_MA5,中国10年期利率_MA20,中国10年期利率_相邻变化_pct,中国10年期利率_MA5偏离_pct,中国10年期利率_MA20偏离_pct,美国10年期利率_MA5,美国10年期利率_MA20,美国10年期利率_相邻变化_pct,美国10年期利率_MA5偏离_pct,美国10年期利率_MA20偏离_pct,布伦特原油_MA5,布伦特原油_MA20,布伦特原油_相邻变化_pct,布伦特原油_MA5偏离_pct,布伦特原油_MA20偏离_pct,铜_MA5,铜_MA20,铜_相邻变化_pct,铜_MA5偏离_pct,铜_MA20偏离_pct,黄金_MA5,黄金_MA20,黄金_相邻变化_pct,黄金_MA5偏离_pct,黄金_MA20偏离_pct
2016-01-21,3.1,1284.541605994132,99.05999755859375,2.7914,2.02,27.59,1.9965,689.6530145324723,3.2597938,3.1480000000000006,3.354,-3.125,-1.5247776365946764,-7.57304710793083,1319.6003379756594,1423.2407626519475,-3.1388157401391337,-2.6567689453088073,-9.74530524261933,99.04399871826172,98.74299964904785,-0.03027427632006363,0.016153265759744073,0.32103329924406676,2.7844,2.813325,-0.7113893433876362,0.25140066082458556,-0.7793269529826841,2.036,2.1614999999999998,0.4975124378109541,-0.7858546168958758,-6.546379828822568,27.424,32.217,6.074586697424067,0.6053092182030317,-14.36198280410963,1.9708999999999999,2.03345,1.888236795100795,1.298898980161356,-1.81710885441001,687.3941353856853,680.3633271265412,-0.7226086330429204,0.32861484125399354,1.3654009608609075
2016-01-22,3.12,1299.3534473372074,99.56999969482422,2.7741,2.07,30.46,2.0025,688.460804911919,3.1787682,3.146,3.3310000000000004,0.6451612903225712,-0.8264462809917328,-6.334434103872722,1320.3167215199614,1409.580241635175,1.1530838140203503,-1.5877458674174005,-7.81983111299146,99.16599884033204,98.8254997253418,0.5148416604076722,0.40739856323401824,0.7533480443322249,2.78994,2.811725,-0.6197606935587907,-0.5677541452504431,-1.3381465114831737,2.044,2.153,2.4752475247524774,1.2720156555772855,-3.8550859266140325,27.756,31.885999999999996,10.40231968104386,9.742037757601963,-4.472182148905457,1.9827,2.0298,0.3005259203606281,0.9986382206082611,-1.344960094590597,688.1094458389089,681.2009989590666,-0.17287093588091995,0.05106150992910674,1.0657362458284636
2016-01-25,3.13,1306.3303653998871,99.36000061035156,2.859,2.03,29.82,1.998,694.1080410766576,3.2007885,3.1479999999999997,3.312,0.3205128205128194,-0.5717916137229939,-5.4951690821256065,1312.4306953907264,1396.2685665215363,0.5369530574592885,-0.46481159060541843,-6.441325349442506,99.21399841308593,98.8974998474121,-0.21090598083387535,0.14715886830580782,0.4676566785338787,2.80646,2.81487,3.060452038498984,1.8721093477191975,1.5677455797248108,2.038,2.1425,-1.9323671497584516,-0.39254170755642637,-5.250875145857659,28.248,31.523000000000003,-2.101116217990806,5.564995751911628,-5.402404593471443,1.9868,2.025925,-0.22471910112359383,0.5637205556674019,-1.378382714068882,690.154991080449,682.3210325998289,0.8202698141198006,0.5727771366283996,1.7274871964472638
2016-01-26,2.96,1225.236895095433,99.36000061035156,2.8616,2.01,30.94,2.0375,703.8338366937074,3.0581443,3.102,3.282,-5.4313099041533475,-4.577691811734363,-9.81109079829372,1288.3259752006002,1378.2736855171331,-6.207730636318032,-4.896981146044488,-11.103512461262731,99.28799896240234,98.96049995422364,0.0,0.07251797669574067,0.40369708753766886,2.8195,2.8176449999999997,0.09094088842254155,1.4931725483241731,1.5599907014546055,2.0279999999999996,2.127,-0.9852216748768461,-0.8875739644970349,-5.5007052186177745,28.964,31.2275,3.7558685446009488,6.8222621184919285,-0.9206628772716274,1.9988,2.0212,1.9769769769769852,1.9361616970182238,0.8064516129032251,694.1456954453994,683.7077412817039,1.40119333612152,1.3956927647720496,2.9436693775434675
2016-01-27,2.87,1220.1389503881348,98.9000015258789,2.9016,2.02,31.83,2.064,700.3200161769786,3.1521103,3.036,3.2475,-3.0405405405405372,-5.4677206851119875,-11.624326404926865,1267.120252842959,1359.6970196295915,-0.41607828883581943,-3.7077224793317876,-10.263909328820553,99.25,98.99200019836425,-0.4629620386946032,-0.35264329886256496,-0.0929354617554945,2.8375399999999997,2.8214200000000003,1.3978194017332912,2.2575893203267805,2.8418314182220294,2.03,2.1125,0.4975124378109541,-0.49261083743841194,-4.378698224852062,30.127999999999997,31.0365,2.8765352294763957,5.649229952203938,2.5566671499685834,2.0197,2.0170749999999997,1.3006134969325123,2.1933950586720874,2.326388458535278,695.2751426783469,685.4646591996226,-0.49924006683668143,0.7255938245106508,2.167195168705227
2016-01-28,2.71,1183.611301859592,98.51000213623047,2.8866,2.0,33.01,2.0555,700.0062808344932,3.0594623,2.9579999999999997,3.207,-5.574912891986072,-8.384043272481401,-15.497349547864047,1246.934192016051,1340.1590358402282,-2.9937285845127004,-5.0782864534397065,-11.681280340171474,99.14000091552734,98.98600044250489,-0.3943370916393629,-0.6354637618307679,-0.48087437026097524,2.85658,2.82469,-0.5169561621174545,1.0509070286846445,2.191744934842421,2.026,2.099,-0.990099009900991,-1.2833168805527984,-4.716531681753223,31.212,30.8565,3.707194470625197,5.76060489555299,6.979080582697317,2.0315000000000003,2.0131,-0.41182170542636287,1.1813930593157496,2.1062043614326065,697.3457959387512,687.199613345701,-0.04479885412930207,0.3815158722166645,1.8636022547279474
2016-01-29,2.79,1221.9010550125072,99.61000061035156,2.8419,1.94,33.14,2.0705,700.5082880206869,3.113256,2.8920000000000003,3.181,2.9520295202952074,-3.526970954356856,-12.29173215969821,1231.4437135511107,1328.1640394188794,3.2349938778682974,-0.7749163387326341,-8.000742472508604,99.14800109863282,99.02300033569335,1.116636331608123,0.4659695673129516,0.5927918490332917,2.87014,2.823235,-1.5485346081895668,-0.9839241291365708,0.66112101897291,2.0,2.084,-3.0000000000000027,-3.0000000000000027,-6.9097888675623835,31.748,30.6995,0.3938200545289483,4.38452815925412,7.94964087362986,2.0451,2.01265,0.7297494526879111,1.241993056574242,2.8743199264651187,699.7552925605048,688.4953418420769,0.07171466884485778,0.10760839799106581,1.744811540259561
2016-02-01,2.78,1204.5471372968043,99.0,2.8368,1.97,32.45,2.059,707.7242008978529,3.015247,2.822,3.1544999999999996,-0.35842293906810374,-1.4883061658398367,-11.87192899033127,1211.0870679304944,1315.3013471117451,-1.4202391956790072,-0.5400049927760775,-8.420443730111337,99.0760009765625,99.02950019836426,-0.6123889234151525,-0.07670977412630453,-0.029789303495597608,2.8657,2.8215250000000003,-0.17945740525703302,-1.0084796035872423,0.5413739024109354,1.988,2.0705,1.546391752577314,-0.905432595573441,-4.853900024148761,32.274,30.508,-2.082076041038017,0.5453306066803165,6.36554346400946,2.0573,2.011625,-0.5554213957981058,0.08263257667817658,2.3550612067358534,702.4785245247438,690.151865982311,1.0300967169931452,0.7467383257955262,2.5461548076133544
2016-02-02,2.83,1233.2972080713464,98.87000274658203,2.8818,1.87,30.98,2.0585,707.3477338059789,3.0132105,2.7960000000000003,3.1260000000000003,1.7985611510791477,1.2160228898426162,-9.468969929622528,1212.699130525677,1304.016473409823,2.3867949940972633,1.6985315670788426,-5.423188033319503,98.97800140380859,99.00300025939941,-0.131310356987846,-0.10911379871770821,-0.13433685087210767,2.8697399999999997,2.82106,1.5862944162436499,0.42024713040207384,2.153091391179207,1.9600000000000002,2.0515,-5.076142131979688,-4.591836734693877,-8.847184986595169,32.282,30.279000000000003,-4.530046224961481,-4.033207360138769,2.3151359027708818,2.0615,2.0097750000000003,-0.02428363283147883,-0.14552510308029065,2.424400741376509,703.1813039471981,691.6860325730205,-0.05319403962679159,0.5925114668710929,2.264278949612164
2016-02-03,2.85,1229.8343367590633,97.29000091552734,2.8918,1.88,32.38,2.0975,716.1323233955723,3.192645,2.792,3.09,0.7067137809187329,2.077363896848139,-7.7669902912621325,1214.6382077998626,1291.175194938495,-0.2807815739482966,1.2510827390096901,-4.750777308911491,98.65600128173828,98.90850028991699,-1.5980598636215815,-1.384609500145828,-1.6363602416835321,2.8677799999999998,2.821345,0.34700534388227844,0.8375816833927408,2.4972132085937737,1.932,2.0364999999999998,0.53475935828875,-2.6915113871635588,-7.684753253130361,32.391999999999996,30.203500000000002,4.5190445448676675,-0.037046184243005875,7.206118496200764,2.0682,2.01025,1.8945834345397206,1.416690842278312,4.340256187041414,706.3437653909168,693.2358859308541,1.2419053839794802,1.3858065271147524,3.3028349987931582
