触发日,生效日,种子,黄金_前条MA20偏离_pct,黄金_当条MA20偏离_pct,黄金_偏离变化_pp,铜_前条MA20偏离_pct,铜_当条MA20偏离_pct,铜_偏离变化_pp
2016-01-07,2016-01-08,640934,1.8786788080213501,3.1863166491018946,1.3076378410805445,-0.47427250411115063,-3.508667279082811,-3.0343947749716604
2016-01-08,2016-01-11,640934,3.1863166491018946,2.1646515098433516,-1.021665139258543,-3.508667279082811,-3.297544178483469,0.21112310059934192
2016-01-21,2016-01-22,565766,2.206423152320669,1.3654009608609075,-0.8410221914597615,-3.92959576397911,-1.81710885441001,2.1124869095691
2016-02-03,2016-02-04,565766,2.264278949612164,3.3028349987931582,1.0385560491809942,2.424400741376509,4.340256187041414,1.9158554456649046
2016-02-08,2016-02-09,565766,8.246893640780772,7.656932930393268,-0.5899607103875049,3.235519139169285,2.8990320160387606,-0.3364871231305244
2016-02-22,2016-02-23,565766,4.276931175548637,2.101542923675459,-2.175388251873178,0.537166085946561,2.2716288061865653,1.7344627202400043
2016-02-24,2016-02-25,565766,2.7194671590020647,3.565465925287614,0.8459987662855495,1.7100515308400732,1.2084227791312019,-0.5016287517088713
2016-02-26,2016-02-29,565766,3.048506315470201,1.1279299987924984,-1.9205763166777023,-0.16879672052086958,2.3196465759031337,2.4884432964240033
2016-03-01,2016-03-02,565766,1.9057264240826433,1.3042860820451363,-0.601440342037507,2.59432543930338,3.191207945554697,0.5968825062513172
2016-03-04,2016-03-07,565766,2.972730476140306,3.733051115123076,0.7603206389827699,5.730563002680955,8.41535784932912,2.684794846648164
2016-03-07,2016-03-08,565766,3.733051115123076,2.9532172779666244,-0.7798338371564517,8.41535784932912,8.220184355820948,-0.1951734935081717
2016-03-16,2016-03-17,550343,-0.838566444805644,-0.999823114714049,-0.16125666990840504,3.0235937175672856,2.674878205717457,-0.34871551184982863
2016-03-17,2016-03-18,550343,-0.999823114714049,1.677742768292112,2.677565883006161,2.674878205717457,4.838340878950009,2.1634626732325524
2016-03-23,2016-03-24,385735,0.03084982386936108,-1.873603318494932,-1.904453142364293,3.3680978825229024,0.6177493220510533,-2.750348560471849
2016-04-01,2016-04-04,550343,-0.7818034711196242,-1.5577464457900647,-0.7759429746704405,-2.5194359671203648,-3.1595400245618133,-0.6401040574414485
2016-04-12,2016-04-13,640934,1.804479913471857,1.9035116345959446,0.09903172112408765,-4.899168151435019,-2.195540698798204,2.7036274526368147
2016-04-20,2016-04-21,640934,1.5833384646666726,1.4781999301074267,-0.10513853455924593,2.4662259269905284,3.0728729580282277,0.6066470310376992
2016-04-26,2016-04-27,640934,0.09574370424834111,0.3356067182593403,0.2398630140109992,3.5227116153033755,2.9489386115892025,-0.5737730037141731
2016-04-29,2016-05-02,965409,1.996817381029925,3.627189986269208,1.630372605239283,2.2591879754376265,4.3671016248086225,2.107913649370996
2016-05-03,2016-05-04,965409,3.488639869998389,3.2308093892404077,-0.2578304807579812,3.3056438655864273,0.9680465026334018,-2.3375973629530256
2016-05-04,2016-05-05,741131,3.2308093892404077,1.6326892949241723,-1.5981200943162355,0.9680465026334018,-0.593303175649551,-1.5613496782829528
2016-05-09,2016-05-10,965409,2.845782000077901,0.6385319817120871,-2.207250018365814,-2.3616336521463333,-4.539635424337507,-2.1780017721911737
2016-05-24,2016-05-25,785634,-1.4587052494441255,-3.156531830751297,-1.6978265813071713,-4.056025678435926,-3.1199456177773532,0.9360800606585729
2016-05-25,2016-05-26,965409,-3.156531830751297,-3.4843449231520496,-0.32781309240075274,-3.1199456177773532,-1.2035165248460045,1.9164290929313488
2016-06-03,2016-06-06,965409,-3.0523491217956833,-0.41357402066537485,2.6387751011303084,-0.7037870445731786,1.3765259790825324,2.080313023655711
2016-06-09,2016-06-10,965409,1.3935813250387508,3.3148606074605125,1.9212792824217617,-0.8962530145056213,-1.9235849283158357,-1.0273319138102144
2016-06-20,2016-06-21,965409,3.300416985715371,2.8494876404150826,-0.4509293453002883,-1.0838150289017356,0.8231443150091611,1.9069593439108967
2016-06-23,2016-06-24,965409,0.7144517129048289,-0.013878587530447017,-0.7283303004352759,2.6553353127141133,3.9145052833813754,1.259169970667262
2016-06-24,2016-06-27,965409,-0.013878587530447017,4.213130840608104,4.227009428138551,3.9145052833813754,1.4572779871797836,-2.4572272962015917
2016-06-28,2016-06-29,965409,3.968490462816643,2.9838974646083427,-0.9845929982083002,1.90395066764244,4.040984391458391,2.137033723815951
2016-06-29,2016-06-30,965409,2.9838974646083427,3.1962878377217674,0.21239037311342468,4.040984391458391,4.383535478941836,0.34255108748344476
2016-06-30,2016-07-01,965409,3.1962878377217674,2.4549089926796164,-0.741378845042151,4.383535478941836,4.637308168906684,0.2537726899648485
2016-07-01,2016-07-04,965409,2.4549089926796164,3.5066142430834057,1.0517052504037894,4.637308168906684,5.42082738944365,0.7835192205369657
2016-07-06,2016-07-07,965409,4.190592334948917,4.520359358800086,0.3297670238511685,3.220469183950825,1.5346896437917312,-1.6857795401590936
2016-07-11,2016-07-12,785634,3.2997889278987724,2.9013626831723816,-0.3984262447263909,-0.45450808601593673,0.6656354005531329,1.1201434865690696
2016-07-12,2016-07-13,785634,2.9013626831723816,1.1279372926021214,-1.7734253905702602,0.6656354005531329,3.3218946238065428,2.65625922325341
2016-07-18,2016-07-19,785634,0.07468795672271877,0.0730750041570305,-0.0016129525656882748,3.027157931153779,2.850574712643694,-0.17658321851008463
2016-07-19,2016-07-20,785634,0.0730750041570305,0.0766636938130727,0.003588689656042199,2.850574712643694,3.696745443506355,0.8461707308626609
2016-07-21,2016-07-22,785634,-1.0667475670254722,-0.44781720123254765,0.6189303657929246,3.003507328832078,2.9856020793196603,-0.017905249512417676
2016-08-24,2016-08-25,785634,-0.22848107954680508,-1.4260610030291776,-1.1975799234823725,-2.5746487287600095,-4.181686264122253,-1.6070375353622435
2016-08-31,2016-09-01,785634,-1.9300756419487364,-2.108900409779102,-0.1788247678303656,-3.221291782323732,-2.9069427384921354,0.31434904383159656
2016-09-22,2016-09-23,785634,0.2819005260033203,1.2298797266574235,0.9479792006541032,1.9189765458422103,3.6128635901797823,1.693887044337572
2016-09-27,2016-09-28,785634,1.0156573448780515,-0.09644316267662933,-1.1121005075546808,3.1647205319173866,1.6281604951295936,-1.536560036787793
2016-10-03,2016-10-04,785634,-0.9364722878158704,-5.140075566790559,-4.203603278974688,2.806780922261254,1.7004198854014607,-1.1063610368597931
2016-10-12,2016-10-13,965409,-3.026831897631843,-2.939512398048194,0.08731949958364904,0.2983019733822978,-0.16513003990642483,-0.46343201328872263
2016-10-14,2016-10-17,965409,-2.415507491950186,-2.3331414988381316,0.08236599311205461,-2.5924098279759833,-3.0067672369222254,-0.41435740894624207
2016-10-18,2016-10-19,965409,-1.954805198666254,-1.1470602044153067,0.8077449942509474,-3.06961552174263,-2.9443964275424728,0.12521909420015742
2016-10-21,2016-10-24,965409,-0.20973838712023962,0.05058412896168374,0.26032251608192336,-2.949483724591373,-3.1195639568595834,-0.17008023226821045
2016-10-24,2016-10-25,965409,0.05058412896168374,-0.030893974180079553,-0.08147810314176329,-3.1195639568595834,-2.7043360024172736,0.41522795444230987
2016-11-01,2016-11-02,965409,0.8910783094508767,1.9382867413280769,1.0472084318772001,2.8124417954926706,3.7231570140373815,0.9107152185447109
2016-11-02,2016-11-03,965409,1.9382867413280769,3.3345751307061855,1.3962883893781086,3.7231570140373815,3.647501044131962,-0.07565596990541934
2016-11-03,2016-11-04,965409,3.3345751307061855,2.7634267275239432,-0.5711484031822422,3.647501044131962,4.3740223625514,0.7265213184194375
2016-11-11,2016-11-14,965409,-0.6270207948768869,-3.9854124879322828,-3.358391693055396,15.424594386948055,12.526872088857033,-2.897722298091022
2016-12-05,2016-12-06,965409,-3.1324720552087904,-2.805316043728512,0.3271560114802785,3.085285184930364,5.148142005599854,2.0628568206694897
2016-12-07,2016-12-08,965409,-2.9099583606643997,-1.8965271721221422,1.0134311885422576,3.8693969405670714,2.1353104368251774,-1.734086503741894
2016-12-15,2016-12-16,965409,-1.625175141585522,-4.102712569352917,-2.477537427767395,-0.39913090919533323,-0.7680256772763627,-0.3688947680810295
2016-12-19,2016-12-20,965409,-3.163619063284784,-2.4325564358177676,0.7310626274670162,-2.3134285659794362,-4.731921389047877,-2.418492823068441
2016-12-26,2016-12-27,965409,-2.1926497613195983,-1.499204649457797,0.6934451118618012,-4.536078499412033,-2.850680045239673,1.6853984541723603
2016-12-28,2016-12-29,965409,-1.2828942471420413,-0.9656579518506181,0.31723629529142316,-2.6738071488751736,-3.02536020816343,-0.35155305928825653
2016-12-30,2016-12-31,965409,0.5578340983924512,0.11055538649313856,-0.4472787118993127,-3.0907355833836525,-2.187173656318009,0.9035619270656436
