Method,MAPE,MSE,MAE,Updates,Initializations,Models,MAPE_difference_vs_original_pp,MSE_change_vs_original_pct
Original,4.894648810032777,4.333330782924188,1.5878673864665784,52,1,53,0.0,0.0
Features_only,5.096699264748009,4.421929888023035,1.6486916386453725,52,1,53,0.20205045471523242,2.0445959364094435
Triggers_only,4.730588528117358,3.9548806019736786,1.5348304271698,59,1,60,-0.1640602819154191,-8.733470854378812
Features_and_triggers,4.985865376261781,4.164558674971521,1.6145841141750934,59,1,60,0.09121656622900431,-3.894743245028187
