Method,MAPE,MSE,MAE,Updates,Initializations,Models,MAPE_difference_vs_original_pp,MSE_change_vs_original_pct
Original,3.959520081045176,0.029768772161636457,0.13621966400709543,34,1,35,0.0,0.0
Features_only,4.131242290709058,0.03030333973050941,0.1406890399693563,34,1,35,0.17172220966388219,1.7957326757395142
Triggers_only,3.826767875280252,0.02829955688512715,0.13226402092683798,57,1,58,-0.13275220576492375,-4.935424506364794
Features_and_triggers,3.947060956038021,0.02869797396844503,0.13495771010423496,57,1,58,-0.012459125007154626,-3.5970519287032654
