Method,Effective_date,Trigger_date,Seed,N,Applied_end
Original,2019-01-01,,374583,3,2019-01-03
Original,2019-01-04,2019-01-03,374583,1,2019-01-04
Original,2019-01-07,2019-01-04,785634,19,2019-01-30
Original,2019-01-31,2019-01-30,565766,9,2019-02-08
Original,2019-02-11,2019-02-08,640934,9,2019-02-20
Original,2019-02-21,2019-02-20,640934,1,2019-02-21
Original,2019-02-22,2019-02-21,640934,1,2019-02-22
Original,2019-02-25,2019-02-22,640934,5,2019-03-01
Original,2019-03-04,2019-03-01,640934,44,2019-05-01
Original,2019-05-02,2019-05-01,385735,2,2019-05-03
Original,2019-05-05,2019-05-03,385735,3,2019-05-07
Original,2019-05-08,2019-05-07,385735,3,2019-05-10
Original,2019-05-13,2019-05-10,385735,1,2019-05-13
Original,2019-05-14,2019-05-13,385735,2,2019-05-15
Original,2019-05-16,2019-05-15,385735,5,2019-05-22
Original,2019-05-23,2019-05-22,385735,2,2019-05-24
Original,2019-05-26,2019-05-24,385735,10,2019-06-06
Original,2019-06-07,2019-06-06,385735,1,2019-06-07
Original,2019-06-10,2019-06-07,385735,9,2019-06-20
Original,2019-06-21,2019-06-20,385735,7,2019-07-01
Original,2019-07-02,2019-07-01,385735,2,2019-07-03
Original,2019-07-04,2019-07-03,385735,1,2019-07-04
Original,2019-07-05,2019-07-04,385735,21,2019-08-02
Original,2019-08-05,2019-08-02,785634,1,2019-08-05
Original,2019-08-06,2019-08-05,785634,3,2019-08-08
Original,2019-08-09,2019-08-08,385735,7,2019-08-19
Original,2019-08-20,2019-08-19,385735,6,2019-08-27
Original,2019-08-28,2019-08-27,385735,1,2019-08-28
Original,2019-08-29,2019-08-28,385735,13,2019-09-13
Original,2019-09-16,2019-09-13,385735,1,2019-09-16
Original,2019-09-17,2019-09-16,385735,62,2019-12-09
Original,2019-12-10,2019-12-09,741131,9,2019-12-20
Original,2019-12-23,2019-12-20,785634,3,2019-12-25
Original,2019-12-26,2019-12-25,785634,2,2019-12-27
Original,2019-12-30,2019-12-27,785634,2,2019-12-31
Features_only,2019-01-01,,374583,3,2019-01-03
Features_only,2019-01-04,2019-01-03,374583,1,2019-01-04
Features_only,2019-01-07,2019-01-04,785634,19,2019-01-30
Features_only,2019-01-31,2019-01-30,565766,9,2019-02-08
Features_only,2019-02-11,2019-02-08,640934,9,2019-02-20
Features_only,2019-02-21,2019-02-20,640934,1,2019-02-21
Features_only,2019-02-22,2019-02-21,640934,1,2019-02-22
Features_only,2019-02-25,2019-02-22,640934,5,2019-03-01
Features_only,2019-03-04,2019-03-01,640934,44,2019-05-01
Features_only,2019-05-02,2019-05-01,385735,2,2019-05-03
Features_only,2019-05-05,2019-05-03,385735,3,2019-05-07
Features_only,2019-05-08,2019-05-07,385735,3,2019-05-10
Features_only,2019-05-13,2019-05-10,385735,1,2019-05-13
Features_only,2019-05-14,2019-05-13,385735,2,2019-05-15
Features_only,2019-05-16,2019-05-15,385735,5,2019-05-22
Features_only,2019-05-23,2019-05-22,385735,2,2019-05-24
Features_only,2019-05-26,2019-05-24,385735,10,2019-06-06
Features_only,2019-06-07,2019-06-06,385735,1,2019-06-07
Features_only,2019-06-10,2019-06-07,385735,9,2019-06-20
Features_only,2019-06-21,2019-06-20,385735,7,2019-07-01
Features_only,2019-07-02,2019-07-01,385735,2,2019-07-03
Features_only,2019-07-04,2019-07-03,385735,1,2019-07-04
Features_only,2019-07-05,2019-07-04,385735,21,2019-08-02
Features_only,2019-08-05,2019-08-02,785634,1,2019-08-05
Features_only,2019-08-06,2019-08-05,785634,3,2019-08-08
Features_only,2019-08-09,2019-08-08,385735,7,2019-08-19
Features_only,2019-08-20,2019-08-19,385735,6,2019-08-27
