评价段,模型,样本数,MSE,RMSE,MAE,R²
Test (final),base,543,5.742072926235037,2.3962622824380135,1.9913960529383596,0.3274915511190899
Test (final),time,543,17.16310996701395,4.142838394991283,3.5303222934800176,-1.0101340770426472
Train (final),base,2054,0.009025711404590157,0.0950037441609022,0.06861615917814973,0.9829319341444981
Train (final),time,2054,0.1262282428121942,0.35528614216177107,0.259212068791747,0.7612961610929493
Validation (internal best),base,67,0.04671053193072593,0.2161261944576037,0.1811699630965048,0.5958502153378689
Validation (internal best),time,67,0.06675339521054394,0.2583667842632716,0.21223617738752226,0.4224349587836477
