Month,N,A_MAPE,A_MSE,E_equal_MAPE,E_equal_MSE,M60_MAPE,M60_MSE,E60_MAPE,E60_MSE,E60_minus_M60_MAPE_pp,E60_minus_M60_MSE
2020-01,24,8.463584795844405,0.17072135122128254,5.337593280488482,0.09815554395327214,5.418130111966429,0.0820037054560534,5.060212582841939,0.06766715147885925,-0.3579175291244896,-0.014336553977194147
2020-02,21,6.280268686168081,0.09135332450664427,5.745550673866112,0.08744232686494861,9.127462562616804,0.1898293974268086,5.981699747249466,0.10020207928946351,-3.1457628153673385,-0.08962731813734509
2020-03,22,10.849079716033492,0.26234505342144315,10.183628828505341,0.2267526610370569,5.638868630774773,0.0700323872693509,4.90111268037011,0.06877529649368012,-0.7377559504046634,-0.00125709077567078
2020-04,23,7.381917876130579,0.12097979138188089,3.724726366696222,0.02849034411176215,3.023718468783567,0.023250045452037398,4.757734354761246,0.04760244106529167,1.734015885977679,0.024352395613254273
2020-05,23,4.2413219543488525,0.03969053382089914,3.732568226072349,0.029576712275727408,4.2879736661607115,0.042378565275940465,3.716011678116451,0.02774575925152794,-0.5719619880442606,-0.014632806024412526
2020-06,23,9.28894604567181,0.15408341720007784,7.748336231260497,0.11782899068015473,6.6623259422365955,0.0910345127984161,3.736823537173968,0.03195622846459776,-2.9255024050626273,-0.059078284333818336
2020-07,23,14.016984211817201,0.7317221850816916,7.542817429991117,0.2550623948475939,7.173896296799276,0.22510227506152833,4.725068177567455,0.10967045002695573,-2.4488281192318206,-0.1154318250345726
2020-08,21,5.475062902478284,0.17176675097755098,5.510534480053978,0.16482084480920867,9.147121806600223,0.4359680703093149,5.735159711698809,0.1746403562876067,-3.4119620949014147,-0.2613277140217082
2020-09,24,11.49299617776499,0.6979026378397307,7.066447820329945,0.3049751430878513,6.287215347420039,0.23293253517111956,4.153675559327652,0.11306393241121053,-2.1335397880923868,-0.11986860275990903
2020-10,23,3.690894267368598,0.08191979299519743,3.967155716095945,0.096103617465537,6.625296663084473,0.22483951385673268,6.152800902010351,0.21567951555192885,-0.4724957610741223,-0.009159998304803824
2020-11,21,13.573875551907166,1.4833806332612791,10.873802958674068,0.8664932100426809,11.838562842396847,1.1313018807462714,8.40981272039691,0.5760875493714407,-3.4287501219999363,-0.5552143313748307
2020-12,23,3.0789621058220473,0.10319271218614104,5.589501173104957,0.30382754153709784,5.568774515734988,0.34229726267360855,7.705386965950907,0.5215918958889054,2.1366124502159183,0.17929463321529687
