Method,Month,Seed,Stage,Epoch,Weighted_MSE,Train_MSE,Train_MSE_standardized
E60,initial,785634,Base,1,0.10177845961165591,0.5453587658303316,1.030292215076114
E60,initial,785634,Base,2,0.09368996210013228,0.5542514538259187,1.0470922883251514
E60,initial,785634,Base,3,0.08909580812263622,0.5666574229758383,1.0705296551311583
E60,initial,785634,Base,4,0.0870474947102124,0.5752727787103324,1.0868057920514955
E60,initial,785634,Base,5,0.08490346008152422,0.5808990012033305,1.0974348560695577
E60,initial,785634,Base,6,0.08072877656442205,0.586810113690761,1.1086021344921688
E60,initial,785634,Base,7,0.07555549669055024,0.5953286835689738,1.1246954234956779
E60,initial,785634,Base,8,0.07110557129033394,0.6145865668680766,1.1610774319735295
E60,initial,785634,Base,9,0.06789089641061165,0.6484487024085395,1.2250498054258439
E60,initial,785634,Base,10,0.06452627899961925,0.6975941139363308,1.3178953560547084
E60,initial,785634,Base,11,0.05953148058717682,0.7638991581895032,1.443158898505173
E60,initial,785634,Base,12,0.05364944414950189,0.8495865563158836,1.6050395993412967
E60,initial,785634,Base,13,0.04890341298482821,0.9566527444645594,1.8073091273271618
E60,initial,785634,Base,14,0.04546681249800283,1.0828543589712922,2.045729318040253
E60,initial,785634,Base,15,0.041424998958790926,1.2172112792922207,2.2995565189975777
E60,initial,785634,Base,16,0.0372606419025695,1.343826007181612,2.5387571638424524
E60,initial,785634,Base,17,0.035239417000215635,1.455680401782929,2.7500725752750106
E60,initial,785634,Base,18,0.033439407762560394,1.5462961778366333,2.921263971619519
E60,initial,785634,Base,19,0.030823889160528174,1.6116352973701429,3.0447026883197217
E60,initial,785634,Base,20,0.029609803268514406,1.6537496241262404,3.1242651079938892
E60,initial,785634,Base,21,0.02781107525587228,1.6746499096858185,3.1637499441312817
E60,initial,785634,Base,22,0.02630415760434118,1.6809293969874628,3.1756131565465124
E60,initial,785634,Base,23,0.025488638791621297,1.6777430952396635,3.169593592744979
E60,initial,785634,Base,24,0.02400489328812285,1.6685938405107903,3.1523088134189257
E60,initial,785634,Base,25,0.023695164192945584,1.6595860708869847,3.135291327866134
E60,initial,785634,Base,26,0.022723513920937403,1.6519570638315695,3.120878601656466
E60,initial,785634,Base,27,0.022203286486524688,1.6472131011563669,3.1119163035893735
E60,initial,785634,Base,28,0.02208172891900867,1.6450523923458724,3.1078342907824292
E60,initial,785634,Base,29,0.02146286397828257,1.6449073432295673,3.1075602638762967
E60,initial,785634,Base,30,0.021563818683243748,1.6493455073026961,3.115944846980619
E60,initial,785634,Base,31,0.020980451701537495,1.6588521990010954,3.133904896514391
E60,initial,785634,Base,32,0.020940858706346502,1.6746322289796132,3.1637165417270263
E60,initial,785634,Base,33,0.020560794501375084,1.6953428804877533,3.202843121063297
E60,initial,785634,Base,34,0.020252880492247844,1.7214451455746729,3.252155541069897
E60,initial,785634,Base,35,0.02000476771555253,1.7536915390028016,3.313075453235788
E60,initial,785634,Base,36,0.019545511615721572,1.7903580003424857,3.382345761223134
E60,initial,785634,Base,37,0.019381137778553915,1.8291311663751881,3.455596057395645
E60,initial,785634,Base,38,0.018878270319696817,1.8680450130850863,3.5291121276156416
E60,initial,785634,Base,39,0.018661589427829764,1.9068046696302856,3.602336901653594
E60,initial,785634,Base,40,0.01816874220472236,1.9441531989347403,3.672895772983616
E60,initial,785634,Base,41,0.01806503541890345,1.9796054672612267,3.7398722265626754
E60,initial,785634,Base,42,0.017827208337241215,2.0130360487816836,3.803029307816431
E60,initial,785634,Base,43,0.01763557793043153,2.0449841313085226,3.8633856507898416
E60,initial,785634,Base,44,0.0173248965485534,2.074692145340525,3.9195100545773967
E60,initial,785634,Base,45,0.016991966431889226,2.101602865644193,3.9703498088238436
E60,initial,785634,Base,46,0.01666651326498911,2.1263116246260583,4.017029615986104
E60,initial,785634,Base,47,0.016336781983033812,2.1479642649595254,4.057935801361979
E60,initial,785634,Base,48,0.016185365420316813,2.165024983040717,4.090166923558938
E60,initial,785634,Base,49,0.01595003030463669,2.1764679853987294,4.111785052734156
E60,initial,785634,Base,50,0.015780346384101696,2.185198055880088,4.128277908845701
E60,initial,785634,Base,51,0.015471980004690798,2.1924270455112023,4.141934921818552
E60,initial,785634,Base,52,0.01525608960013589,2.1972684027923934,4.151081217852905
E60,initial,785634,Base,53,0.015017601759132328,2.199030807317383,4.154410753886212
E60,initial,785634,Base,54,0.01495130313891045,2.1990238124237607,4.154397539127605
E60,initial,785634,Base,55,0.014806817709318866,2.1967713910489954,4.150142262871142
E60,initial,785634,Base,56,0.014730323264007377,2.205368211816488,4.166383383517047
E60,initial,785634,Base,57,0.014558950905322623,2.2114631348975062,4.177897917059568
E60,initial,785634,Base,58,0.014440741295782607,2.219769935402774,4.193591131194921
E60,initial,785634,Base,59,0.014285869125777886,2.2288793340684303,4.2108006144145795
E60,initial,785634,Base,60,0.014196961157775032,2.2393422378529984,4.230567140583675
E60,initial,785634,Base,61,0.01410570226997847,2.2517968095322054,4.254096327326749
E60,initial,785634,Base,62,0.013926179346312583,2.2678303367543493,4.284386879734089
E60,initial,785634,Base,63,0.013825040435229278,2.284538890674609,4.315952693117529
E60,initial,785634,Base,64,0.013682531385055386,2.2989737304835467,4.343223003989631
E60,initial,785634,Base,65,0.013629626135360505,2.3116306408973712,4.367134449231416
E60,initial,785634,Base,66,0.013495478630409119,2.3246243229853216,4.391682123788377
E60,initial,785634,Base,67,0.013428250241879778,2.3355311525361095,4.4122873148688395
E60,initial,785634,Base,68,0.013288276913677061,2.342126191321106,4.424746667397924
E60,initial,785634,Base,69,0.013192938475147522,2.346197562030615,4.432438304187349
E60,initial,785634,Base,70,0.013112689642599238,2.3480979569488394,4.436028531781538
E60,initial,785634,Base,71,0.013019414574699356,2.3443523741054286,4.42895237368841
E60,initial,785634,Base,72,0.01294593388296043,2.335337520526864,4.411921505122641
E60,initial,785634,Base,73,0.012826183942030537,2.3234725866730215,4.389506262629207
E60,initial,785634,Base,74,0.01273563701779256,2.3080242455678515,4.360321244300467
E60,initial,785634,Base,75,0.012661450019555893,2.2886066473633684,4.323637502296073
E60,initial,785634,Base,76,0.012573215327418882,2.267115635214453,4.283036665015276
E60,initial,785634,Base,77,0.012491520766169753,2.2430491735494167,4.237570286455902
E60,initial,785634,Base,78,0.01238924225711297,2.2161940906529938,4.186835642443567
E60,initial,785634,Base,79,0.012306172418716923,2.189523409222897,4.136449369828389
E60,initial,785634,Base,80,0.01223867986826705,2.1627583461200617,4.085884791281849
E60,initial,785634,Base,81,0.012147234442495625,2.133251210192875,4.030139886570019
E60,initial,785634,Base,82,0.012055882406764045,2.1031962941097726,3.973360115151033
E60,initial,785634,Base,83,0.011961175406133947,2.07294075293597,3.916201322650792
E60,initial,785634,Base,84,0.011869844700410343,2.0408337720449627,3.855544788761147
E60,initial,785634,Base,85,0.011791642404604948,2.008023554690619,3.793559699984464
E60,initial,785634,Base,86,0.011702075002950603,1.9739952920657446,3.7292734791118707
E60,initial,785634,Base,87,0.011606572064201293,1.9358212932415837,3.657155130107293
E60,initial,785634,Base,88,0.01153093959083256,1.892799589979111,3.5758784940140713
E60,initial,785634,Base,89,0.011464591583222876,1.8453654761836036,3.4862659284249995
E60,initial,785634,Base,90,0.011372172676440083,1.792804505033665,3.386967699835657
E60,initial,785634,Base,91,0.01129267108536283,1.7373437260747469,3.282191152022345
E60,initial,785634,Base,92,0.011224019685417846,1.6791370293922387,3.1722270142570372
E60,initial,785634,Base,93,0.011144921011239251,1.655610756254855,3.1277811602946537
E60,initial,785634,Base,94,0.011054317210801731,1.6304984784152605,3.0803390249847538
E60,initial,785634,Base,95,0.010988339997707208,1.601379344485885,3.025327133956439
E60,initial,785634,Base,96,0.010911239795640121,1.5677658422008516,2.9618244786484516
E60,initial,785634,Base,97,0.010820944984338974,1.5317300958303612,2.8937457178836077
E60,initial,785634,Base,98,0.010758595367456545,1.4907068175090006,2.816244507781948
E60,initial,785634,Base,99,0.010665629348452938,1.4468943524146625,2.733473963805702
E60,initial,785634,Base,100,0.010610688681569605,1.4027974545015627,2.650166069121549
E60,initial,785634,Stacking,1,0.09145166114108112,0.5377213722100715,1.0158636449614566
E60,initial,785634,Stacking,2,0.08168372446846003,0.5575516057006795,1.0533269378772827
E60,initial,785634,Stacking,3,0.07817416339731906,0.5825788429685216,1.1006084144712476
E60,initial,785634,Stacking,4,0.07617729055220958,0.6020128474099116,1.137323151151483
E60,initial,785634,Stacking,5,0.0718948840995371,0.6083111001507083,1.1492218152493174
E60,initial,785634,Stacking,6,0.06531955993626755,0.6029864041950083,1.1391623954058454
E60,initial,785634,Stacking,7,0.05845017384772812,0.5916698707956158,1.117783191488052
E60,initial,785634,Stacking,8,0.05293567046254528,0.5801885095292022,1.0960925946325086
E60,initial,785634,Stacking,9,0.049276066549690446,0.5729463342340181,1.0824106712925872
E60,initial,785634,Stacking,10,0.04672600500343984,0.5728776190948053,1.082280854596818
E60,initial,785634,Stacking,11,0.044104534888392465,0.5816204176859907,1.098797756663593
E60,initial,785634,Stacking,12,0.040938749762775645,0.6000001953816884,1.1335208473356118
E60,initial,785634,Stacking,13,0.038362530456309385,0.6276556001324138,1.1857674600329788
E60,initial,785634,Stacking,14,0.03735639108627187,0.6602363144075377,1.2473189714094781
E60,initial,785634,Stacking,15,0.036773804410050986,0.6880640273221612,1.2998911088274168
E60,initial,785634,Stacking,16,0.03496671463427153,0.7038200620347701,1.329657422164572
E60,initial,785634,Stacking,17,0.0321696850733006,0.707904326269968,1.3373734174130054
E60,initial,785634,Stacking,18,0.029849894686377672,0.7064346760423431,1.3345969530316153
E60,initial,785634,Stacking,19,0.02840796642341454,0.7072656975742564,1.3361669195720582
E60,initial,785634,Stacking,20,0.026978033897120574,0.7167780860604813,1.354137731481931
E60,initial,785634,Stacking,21,0.025055104321750125,0.7368483844854012,1.3920545552629988
E60,initial,785634,Stacking,22,0.023249362457293865,0.765339779908994,1.4458805222058597
E60,initial,785634,Stacking,23,0.021987955274240148,0.7969221450245458,1.5055459515543774
E60,initial,785634,Stacking,24,0.02097507638548864,0.8252045471370731,1.5589770881673988
E60,initial,785634,Stacking,25,0.019709986462327536,0.8460996038169696,1.5984520459011287
E60,initial,785634,Stacking,26,0.018504015739641885,0.861285375063211,1.6271410170431033
E60,initial,785634,Stacking,27,0.01786303014855262,0.8777558241299913,1.6582570025475716
E60,initial,785634,Stacking,28,0.017283329586059874,0.9033732214192753,1.7066534099244224
E60,initial,785634,Stacking,29,0.016242322173604294,0.9410341812982582,1.7778025253448606
E60,initial,785634,Stacking,30,0.015217323562335995,0.9871493799057,1.8649233953094184
E60,initial,785634,Stacking,31,0.014641923842616483,1.032365634344005,1.9503459792331543
