Method,Annual_MAPE,Annual_MSE,Monthly_equal_MAPE,Worst_month_MAPE,Updates_excluding_initial,Initializations
A,8.1499212386629,0.3380871429804666,8.152824524279625,14.016984211817201,11,1
E_equal,6.381851990056539,0.2113211803282911,6.4185552654282505,10.873802958674068,58,1
M60,6.657657417197796,0.2502694414790709,6.733278904547895,11.838562842396847,11,1
E60,5.386995938394133,0.16851585570432892,5.419624884788772,8.40981272039691,58,1
