Year,Full_100,Full_train_stop,Stop_minus_100_pp
2015,2.006334904052028,0.5705326416299323,-1.4358022624220959
2016,2.3980275234393216,0.857675242282756,-1.5403522811565655
2017,2.448413962532975,1.1214119821102375,-1.3270019804227375
2018,2.6374583171705748,1.0428794652933362,-1.5945788518772386
2019,2.830922630619537,1.1370782637622803,-1.693844366857257
2020,2.9578590775719595,1.2981216358887466,-1.659737441683213
2021,3.405501537223336,1.5636117777762015,-1.8418897594471346
2022,4.4677581481309625,1.6963736614690081,-2.7713844866619546
2023,4.6707144386735475,1.803467525774486,-2.8672469128990614
2024,4.8959141268877255,2.046897821520888,-2.8490163053668374
2025,5.091898560206867,2.0787774768191505,-3.0131210833877167
2026,5.943793057531749,2.2759784053858416,-3.667814652145907
