Year,Train_MAPE_change_pp,Test_MAPE_change_pp,Train_better_test_worse
2015,-1.4358022624220959,5.184301539851791,True
2016,-1.5403522811565655,1.5632003248066049,True
2017,-1.3270019804227375,2.996466845311284,True
2018,-1.5945788518772386,1.576731135667088,True
2019,-1.693844366857257,0.8874531950913997,True
2020,-1.659737441683213,23.175142168389783,True
2021,-1.8418897594471346,28.864126182754532,True
2022,-2.7713844866619546,10.46616254885744,True
2023,-2.8672469128990614,-0.053229091519206406,False
2024,-2.8490163053668374,-4.4828786553791655,False
2025,-3.0131210833877167,-1.7745718141080662,False
2026,-3.667814652145907,3.4185983279731342,True
