Method,MAPE,MSE,MAE,Updates,Initializations,Models,MAPE_difference_vs_original_pp,MSE_change_vs_original_pct
Original,6.176812068970397,0.5037065378804277,0.594602215620723,64,1,65,0.0,0.0
Features_only,6.348246104940158,0.5811741747072665,0.6229027014405188,64,1,65,0.17143403596976103,15.379517834495203
Triggers_only,4.887870010937634,0.3110788305677064,0.4732929891739448,105,1,106,-1.288942058032763,-38.24205024681419
Features_and_triggers,4.820190788522823,0.32344595187768993,0.4719504595847025,105,1,106,-1.3566212804475741,-35.78682674266359
