Month,Method,N,MAPE,MSE
2022-01,Original,24,4.0568078238413445,0.2183257601401435
2022-02,Original,21,4.67314700294606,0.31118906613021746
2022-03,Original,23,4.050903760288701,0.31902511388572746
2022-04,Original,23,9.512048020815284,1.6154321774712783
2022-05,Original,24,5.718223943162496,0.39257203339913255
2022-06,Original,23,6.500890360109744,0.4866532615101814
2022-07,Original,22,3.2996999123100426,0.1285368856156791
2022-08,Original,23,8.305122755748883,0.6047650351863718
2022-09,Original,23,6.349369032114417,0.39755008303817857
2022-10,Original,23,11.716741475257955,0.9584471796101353
2022-11,Original,22,5.046177661293932,0.3041896496198497
2022-12,Original,23,4.699722456910331,0.2833049827928389
2022-01,Features_only,24,5.623279417145805,0.3980919562843474
2022-02,Features_only,21,4.862284837160035,0.33876804642001207
2022-03,Features_only,23,5.71264386396286,0.6989288636916138
2022-04,Features_only,23,11.35404294127557,2.271955466746944
2022-05,Features_only,24,5.806936869936905,0.4115890164893073
2022-06,Features_only,23,8.244772847422313,0.7592472681254645
2022-07,Features_only,22,4.7254120034712415,0.2555872588434783
2022-08,Features_only,23,6.243403959420772,0.3697952020509755
2022-09,Features_only,23,5.824332161453824,0.3516230755330066
2022-10,Features_only,23,8.48196332685405,0.5066517875934526
2022-11,Features_only,22,4.677707867337347,0.31610389138198763
2022-12,Features_only,23,4.404824513761425,0.2643220859734489
2022-01,Triggers_only,24,3.337617359970029,0.13662820290065913
2022-02,Triggers_only,21,4.479902097279439,0.2805630344515237
2022-03,Triggers_only,23,3.786748918216158,0.2608252700144799
2022-04,Triggers_only,23,4.673468381435254,0.4234909701639937
2022-05,Triggers_only,24,5.728530854584079,0.39326718905919383
2022-06,Triggers_only,23,5.702408054869794,0.3914207905738725
2022-07,Triggers_only,22,3.4073264237017673,0.11743657964174434
2022-08,Triggers_only,23,8.305122755748883,0.6047650351863718
2022-09,Triggers_only,23,6.178696365638944,0.3825924851856502
2022-10,Triggers_only,23,3.583931691453305,0.2089780046192991
2022-11,Triggers_only,22,4.6935196420470175,0.2394999230261396
2022-12,Triggers_only,23,4.699722456910331,0.2833049827928389
2022-01,Features_and_triggers,24,5.036288756100255,0.2999945301820617
2022-02,Features_and_triggers,21,4.548208796348695,0.29274342785380403
2022-03,Features_and_triggers,23,4.89284289127263,0.49809280018199564
2022-04,Features_and_triggers,23,4.747996704286473,0.44149959159768676
2022-05,Features_and_triggers,24,5.8914713590043295,0.41815542262974104
2022-06,Features_and_triggers,23,5.961921563415602,0.5004790657602649
2022-07,Features_and_triggers,22,4.039996635188651,0.1967080282330034
2022-08,Features_and_triggers,23,6.243403959420772,0.3697952020509755
2022-09,Features_and_triggers,23,5.509339620658743,0.3392298515116907
2022-10,Features_and_triggers,23,2.6456293638271546,0.07766529258580693
2022-11,Features_and_triggers,22,3.760757927840277,0.16447608539658243
2022-12,Features_and_triggers,23,4.404824513761425,0.2643220859734489
