Method,MAPE,MSE,MAE,Updates,Initializations,Models,MAPE_difference_vs_original_pp,MSE_change_vs_original_pct
Original,4.08114487966837,0.08496374326956149,0.18787204161622473,60,1,61,0.0,0.0
Features_only,4.9145745468013775,0.11709080521633514,0.2260241758016715,60,1,61,0.8334296671330073,37.81267245352555
Triggers_only,3.625240083373338,0.06096867909719408,0.16267362544411107,112,1,113,-0.45590479629503244,-28.241533681301114
Features_and_triggers,4.0666608621454285,0.07523801225528987,0.18320635827860435,112,1,113,-0.014484017522941706,-11.44691916811521
