Model,Split,N,MAPE,MAE,RMSE,MPE
Base_100,Train,2034,2.785545104315281,0.09745234896416978,0.13480569793999772,0.16836296823932098
Base_100,Test,271,13.211029900403837,0.7913496283851426,1.0089177220880745,-2.9253933771333185
Base_400,Train,2034,2.028682149002565,0.07086883382225223,0.09833033316636992,0.1355490066006362
Base_400,Test,271,13.871515304195595,0.7529483372170986,0.9091344183384781,3.343168238193851
Full_100,Train,2034,2.95785907757196,0.10342634264346771,0.1389978549174662,0.1399007333248618
Full_100,Test,271,15.66673673685097,1.0631012415797947,1.5448105605252649,-11.304171156078553
