Month,Base_100,Base_400,Full_100
2020-01,7.0264753693929975,5.82716282545933,8.30482075384638
2020-02,10.190380339526119,7.939526231183421,11.376982830293574
2020-03,14.663415310753487,23.31676627677307,5.9940323681773755
2020-04,10.438330480699694,17.349590809171847,6.599182191879271
2020-05,13.648726845839974,18.134862066174765,3.434180150795691
2020-06,17.75692501877995,26.93987869533778,11.845653754630886
2020-07,4.631174266776184,9.763335456096442,3.9650357252697734
2020-08,5.9494272876602405,5.671156871755504,11.789552202020218
2020-09,15.084181107508186,7.547290554518761,26.603744103377423
2020-10,13.113323893853078,7.73300389523926,24.327670717473207
2020-11,24.77675800426205,21.142629816381728,37.28588114015585
2020-12,21.615446992608412,15.531735031144752,37.06787082479798
