Family,Epoch,Train_MSE_standardized
Base,1,0.9308845400810242
Base,2,0.847037672996521
Base,3,0.7652369141578674
Base,4,0.6834572553634644
Base,5,0.5980725288391113
Base,6,0.5100089311599731
Base,7,0.42221733927726746
Base,8,0.33998575806617737
Base,9,0.2701875865459442
Base,10,0.2184866964817047
Base,11,0.18818041682243347
Base,12,0.18047858774662018
Base,13,0.19438952207565308
Base,14,0.2143249809741974
Base,15,0.22010715305805206
Base,16,0.20581403374671936
Base,17,0.17910046875476837
Base,18,0.15031416714191437
Base,19,0.12755785882472992
Base,20,0.1140168234705925
Base,21,0.10868524760007858
Base,22,0.10865581035614014
Base,23,0.1106746643781662
Base,24,0.11212737113237381
Base,25,0.11127990484237671
Base,26,0.10749237984418869
Base,27,0.10128521919250488
Base,28,0.09402579814195633
Base,29,0.0871700793504715
Base,30,0.08168493211269379
Base,31,0.0780981034040451
Base,32,0.0765705481171608
Base,33,0.07659710943698883
Base,34,0.07701954990625381
Base,35,0.07668222486972809
Base,36,0.07503223419189453
Base,37,0.07213927805423737
Base,38,0.06861939281225204
Base,39,0.06507794559001923
Base,40,0.06218366697430611
Base,41,0.060454025864601135
Base,42,0.05987352877855301
Base,43,0.05989205092191696
Base,44,0.05985686928033829
Base,45,0.059439461678266525
Base,46,0.0585210844874382
Base,47,0.057168520987033844
Base,48,0.055580027401447296
Base,49,0.054008834064006805
Base,50,0.052760057151317596
Base,51,0.05190034955739975
Base,52,0.05129348486661911
Base,53,0.05079084634780884
Base,54,0.05026739090681076
Base,55,0.04970875009894371
Base,56,0.0490669384598732
Base,57,0.04839562252163887
Base,58,0.047758106142282486
Base,59,0.0471181645989418
Base,60,0.046525344252586365
Base,61,0.04599461331963539
Base,62,0.04552057757973671
Base,63,0.04505826532840729
Base,64,0.044620659202337265
Base,65,0.04420369118452072
Base,66,0.0437924899160862
Base,67,0.04338854178786278
Base,68,0.042997196316719055
Base,69,0.04259809851646423
Base,70,0.04215855151414871
Base,71,0.041701171547174454
Base,72,0.04127180203795433
Base,73,0.04089604690670967
Base,74,0.040589794516563416
Base,75,0.04031246900558472
Base,76,0.04001777991652489
Base,77,0.03969523310661316
Base,78,0.03935181349515915
Base,79,0.03900916129350662
Base,80,0.03868481516838074
Base,81,0.038391903042793274
Base,82,0.038124337792396545
Base,83,0.037867359817028046
Base,84,0.03760812431573868
Base,85,0.03736213222146034
Base,86,0.03711521252989769
Base,87,0.03686914220452309
Base,88,0.03662106394767761
Base,89,0.03637755289673805
Base,90,0.036145687103271484
Base,91,0.03593404218554497
Base,92,0.035737719386816025
Base,93,0.03555084019899368
Base,94,0.03536262735724449
Base,95,0.03517485409975052
Base,96,0.03499261662364006
Base,97,0.03482051193714142
Base,98,0.03465607762336731
Base,99,0.03449222445487976
Base,100,0.034328263252973557
Base,101,0.03416573628783226
Base,102,0.03400346636772156
Base,103,0.03384010121226311
Base,104,0.03367486968636513
Base,105,0.033508166670799255
Base,106,0.033342696726322174
Base,107,0.03317948058247566
Base,108,0.0330168791115284
Base,109,0.03285636752843857
Base,110,0.03269677981734276
Base,111,0.0325421579182148
Base,112,0.03238631412386894
Base,113,0.032236579805612564
Base,114,0.03208909183740616
Base,115,0.03194514662027359
Base,116,0.031802695244550705
Base,117,0.03166717290878296
Base,118,0.031538497656583786
Base,119,0.03141301870346069
Base,120,0.03128834441304207
Base,121,0.031169304624199867
Base,122,0.031053388491272926
Base,123,0.03094063699245453
Base,124,0.030827868729829788
Base,125,0.03071531653404236
Base,126,0.030602097511291504
Base,127,0.030488815158605576
Base,128,0.03037744201719761
Base,129,0.03026561625301838
Base,130,0.03015599399805069
Base,131,0.030046656727790833
Base,132,0.029940560460090637
Base,133,0.02983427792787552
Base,134,0.029729323461651802
Base,135,0.029628746211528778
Base,136,0.02953397110104561
Base,137,0.02944144606590271
Base,138,0.02934930846095085
Base,139,0.02926289103925228
Base,140,0.02917402796447277
Base,141,0.029085656628012657
Base,142,0.028998933732509613
Base,143,0.028915664181113243
Base,144,0.02883189544081688
Base,145,0.028750773519277573
Base,146,0.028672486543655396
Base,147,0.02859269082546234
Base,148,0.02851332165300846
Base,149,0.028434110805392265
Base,150,0.02835729531943798
Base,151,0.028280645608901978
Base,152,0.028207451105117798
Base,153,0.028135446831583977
Base,154,0.02806413359940052
Base,155,0.02799239568412304
Base,156,0.027922755107283592
Base,157,0.0278526172041893
Base,158,0.027783658355474472
Base,159,0.027713743969798088
Base,160,0.027644332498311996
Base,161,0.027577783912420273
Base,162,0.027509432286024094
Base,163,0.027440369129180908
Base,164,0.02737484686076641
Base,165,0.02730918489396572
Base,166,0.027243683114647865
Base,167,0.02718270756304264
Base,168,0.02712026610970497
Base,169,0.027062490582466125
Base,170,0.02700047194957733
Base,171,0.02694268897175789
Base,172,0.026883436366915703
Base,173,0.02682936191558838
Base,174,0.026771631091833115
Base,175,0.026717334985733032
Base,176,0.026661338284611702
Base,177,0.026609189808368683
