Epochs,Seed,Base,Stacking,Stacking_minus_Base_pp
100,7,10.537793093956182,10.479996647656797,-0.05779644629938474
100,42,12.794920365322339,12.936160033208195,0.14123966788585562
100,123,16.138526349286156,15.917236219780232,-0.22129012950592397
200,7,9.672746826453572,9.784477310049184,0.11173048359561122
200,42,13.313182071722652,13.304963550524514,-0.008218521198138262
200,123,15.62069359870397,15.829761045978373,0.2090674472744034
400,7,15.590732520371112,15.674123924368862,0.08339140399774969
400,42,12.593230478866882,12.528485913766602,-0.06474456510028048
400,123,19.29062165256271,19.382023297510194,0.09140164494748504
800,7,25.035871371358013,24.862010948141997,-0.17386042321601636
800,42,17.640290517237275,17.829182956605194,0.188892439367919
800,123,25.664829469751204,25.806694498503507,0.1418650287523029
