Year,Seed,Family,Epoch,Train_MSE_standardized
2015,42,Base,1,0.843319833278656
2015,42,Base,2,0.7390149831771851
2015,42,Base,3,0.6338598132133484
2015,42,Base,4,0.5241223573684692
2015,42,Base,5,0.41023728251457214
2015,42,Base,6,0.2985081672668457
2015,42,Base,7,0.19655831158161163
2015,42,Base,8,0.11801924556493759
2015,42,Base,9,0.07914360612630844
2015,42,Base,10,0.09065721929073334
2015,42,Base,11,0.13762915134429932
2015,42,Base,12,0.1763337403535843
2015,42,Base,13,0.1779981404542923
2015,42,Base,14,0.14820922911167145
2015,42,Base,15,0.10732986778020859
2015,42,Base,16,0.07302942126989365
2015,42,Base,17,0.054007500410079956
2015,42,Base,18,0.05019056051969528
2015,42,Base,19,0.0559222549200058
2015,42,Base,20,0.06420987844467163
2015,42,Base,21,0.06995946913957596
2015,42,Base,22,0.07105319201946259
2015,42,Base,23,0.06741512566804886
2015,42,Base,24,0.0604049451649189
2015,42,Base,25,0.05217423662543297
2015,42,Base,26,0.04476068168878555
2015,42,Base,27,0.04010716453194618
2015,42,Base,28,0.03964940458536148
2015,42,Base,29,0.04274696484208107
2015,42,Base,30,0.045867327600717545
2015,42,Base,31,0.04618900269269943
2015,42,Base,32,0.04393625259399414
2015,42,Base,33,0.04089590907096863
2015,42,Base,34,0.038399454206228256
2015,42,Base,35,0.036742158234119415
2015,42,Base,36,0.0358218252658844
2015,42,Base,37,0.03547234833240509
2015,42,Base,38,0.0354604534804821
2015,42,Base,39,0.03548814728856087
2015,42,Base,40,0.035296935588121414
2015,42,Base,41,0.03478775545954704
2015,42,Base,42,0.03406970947980881
2015,42,Base,43,0.03339049220085144
2015,42,Base,44,0.0329047292470932
2015,42,Base,45,0.032535769045352936
2015,42,Base,46,0.0320451483130455
2015,42,Base,47,0.031354401260614395
2015,42,Base,48,0.030631303787231445
2015,42,Base,49,0.030145617201924324
2015,42,Base,50,0.030009446665644646
2015,42,Base,51,0.030070532113313675
2015,42,Base,52,0.029998553916811943
2015,42,Base,53,0.02958778850734234
2015,42,Base,54,0.028876179829239845
2015,42,Base,55,0.02810235694050789
2015,42,Base,56,0.027532530948519707
2015,42,Base,57,0.0271987896412611
2015,42,Base,58,0.026941392570734024
