Year,Seed,Base_100,Full_100,Volume_100,Volume_minus_Base_pp,Volume_minus_Full_pp
2015,7,9.413066746478279,8.147547257692006,6.629173465111397,-2.7838932813668817,-1.5183737925806087
2015,42,5.921933729649192,9.796103008657584,9.74500492463089,3.823071194981699,-0.0510980840266928
2015,123,7.695723139695875,10.279503035962541,7.008581774457003,-0.6871413652388725,-3.2709212615055385
2015,2024,6.084046053830459,13.762915285475842,10.08092781748408,3.9968817636536205,-3.681987467991762
2015,2025,14.646664099975354,10.961905339516319,7.09877799814171,-7.547886101833644,-3.863127341374609
2016,7,14.083976636586184,5.339729236224823,4.31644167244179,-9.767534964144396,-1.0232875637830334
2016,42,5.2842714106056325,7.000573207645747,6.162246148843216,0.8779747382375831,-0.8383270588025313
2016,123,4.351089335495191,4.581023846421017,8.382923854979946,4.031834519484756,3.8019000085589294
2016,2024,6.4896836121427866,6.926421216292253,4.175591990018913,-2.3140916221238736,-2.75082922627334
2016,2025,12.07187829449537,6.575353565144253,5.774270525766053,-6.297607768729317,-0.8010830393781996
2017,7,13.642178362688082,10.041740139346166,12.13299550157949,-1.5091828611085916,2.0912553622333245
2017,42,13.955567096186499,14.463183605417418,14.077911735697871,0.12234463951137187,-0.3852718697195474
2017,123,13.760746849637782,11.455771127126644,12.449002493100242,-1.31174435653754,0.9932313659735978
2017,2024,15.493111884119443,14.756872004932086,13.58088016427034,-1.9122317198491032,-1.1759918406617462
2017,2025,14.93096704187602,10.497454485402994,13.588621644732818,-1.3423453971432018,3.0911671593298244
2018,7,5.018811331381366,8.361024346164664,6.007218420680725,0.9884070892993586,-2.3538059254839387
2018,42,7.171223532461089,7.565461359906547,7.541151033049672,0.3699275005885827,-0.02431032685687562
2018,123,6.044838517571449,6.529264837559364,8.432060511714871,2.387221994143422,1.9027956741555077
2018,2024,8.349965386341951,8.796014035698702,5.907255254200432,-2.442710132141519,-2.88875878149827
2018,2025,9.394084975249125,6.034502136703735,7.6970887988395615,-1.6969961764095638,1.6625866621358263
2019,7,7.172619420064782,11.496798688180569,6.875750323855706,-0.2968690962090763,-4.621048364324863
2019,42,7.476557768948795,7.619765685173606,8.63148465323957,1.1549268842907745,1.0117189680659635
2019,123,11.430734323357106,8.9897798805922,10.438078104866086,-0.9926562184910193,1.448298224273886
2019,2024,17.42693686234047,6.656828861940752,11.419399433789117,-6.007537428551352,4.762570571848365
2019,2025,11.188024910391597,5.941229331697633,8.5070770717207,-2.680947838670898,2.5658477400230666
2020,7,10.630306580250302,20.242907635913042,19.184751124574618,8.554444544324316,-1.0581565113384244
2020,42,13.211029900403837,15.66673673685097,14.70770223600616,1.496672335602323,-0.95903450084481
2020,123,16.243884064940545,15.128030055597645,20.113833361734223,3.8699492967936777,4.985803306136578
2020,2024,16.18628323907775,17.709144829483456,12.575221722215247,-3.6110615168625024,-5.13392310726821
