Year,Seed,Model,Split,N,MAPE,MAE,RMSE,MPE
2015,42,Base_100,Train,693,2.1356186349744952,0.060925859517349315,0.07986982452432483,0.033576237731128465
2015,42,Base_100,Test,266,5.921933729649192,0.28553463735078505,0.428086633632071,-1.9322815900320331
2015,42,Full_100,Train,693,2.006334904052028,0.05730603930926082,0.0745283166855094,0.14119422021057065
2015,42,Full_100,Test,266,9.796103008657584,0.4744808469858384,0.6806847888368108,-7.944411071811235
2015,42,Volume_100,Train,693,1.848819299668971,0.054065888708976086,0.07376963157460065,0.04260910159847724
2015,42,Volume_100,Test,266,9.74500492463089,0.47493839751508893,0.6725935510398391,-8.977792267928452
2015,7,Base_100,Train,693,2.402236446478014,0.06858291400287403,0.09161977813952724,0.184548177109554
2015,7,Base_100,Test,266,9.413066746478279,0.47853998134010717,0.7623057593982243,-5.898068677990963
2015,7,Full_100,Train,693,2.001437900677084,0.057727046405082146,0.0747884325830582,0.14734092089896894
2015,7,Full_100,Test,266,8.147547257692006,0.4093804459464281,0.6467645699422935,-5.395341053447701
2015,7,Volume_100,Train,693,2.0248483838344624,0.060078753929633605,0.0797746726263161,0.06534783778418846
2015,7,Volume_100,Test,266,6.629173465111397,0.314497594403145,0.4450997724879233,-4.4653122087575765
2015,123,Base_100,Train,693,1.9490879942466888,0.056661474453594436,0.07609674310758985,0.0471002728058218
2015,123,Base_100,Test,266,7.695723139695875,0.37857532142696526,0.5550132412632368,-7.43180113944258
2015,123,Full_100,Train,693,2.020508117498917,0.05686121075012295,0.07099862298123288,0.03994139540588316
2015,123,Full_100,Test,266,10.279503035962541,0.5196494769333,0.7990812152009646,-7.952294862808358
2015,123,Volume_100,Train,693,2.111970385288368,0.059850118438918874,0.07754684151178307,0.08539392028977515
2015,123,Volume_100,Test,266,7.008581774457003,0.33637733964991745,0.47695671125299277,-3.7150757339946834
2015,2024,Base_100,Train,693,1.9827892745048485,0.05760220026729083,0.07680209322833283,0.11468812271462094
2015,2024,Base_100,Test,266,6.084046053830459,0.2752336507453058,0.3790303171185899,0.4887785371068242
2015,2024,Full_100,Train,693,1.7732478655439372,0.05248237509404082,0.07163843307247507,0.08447913744382203
2015,2024,Full_100,Test,266,13.762915285475842,0.640044223455558,0.808959125433606,-13.762915285475842
2015,2024,Volume_100,Train,693,1.9561988784738509,0.0571367010581717,0.0772141420856988,0.05677225270153674
2015,2024,Volume_100,Test,266,10.08092781748408,0.5072979982634237,0.7739378054868254,-8.266122037425811
2015,2025,Base_100,Train,693,2.2770570033368425,0.06473080652960794,0.08484039396058737,0.18460222184235284
2015,2025,Base_100,Test,266,14.646664099975354,0.6760585204102938,0.8356441116866565,-14.646664099975354
2015,2025,Full_100,Train,693,2.2714326366314914,0.06427963408212814,0.08118410392168689,0.06889409773524202
2015,2025,Full_100,Test,266,10.961905339516319,0.5130982360983254,0.6668521173360105,-10.961367888700321
2015,2025,Volume_100,Train,693,2.0094723055913923,0.05883266966408294,0.0782910079179367,0.10930749658576595
2015,2025,Volume_100,Test,266,7.09877799814171,0.3353005729402815,0.46534524758964846,-5.441144686033868
2016,42,Base_100,Train,959,2.759317397391527,0.0910571657405531,0.13161389911625057,0.08299858366792996
2016,42,Base_100,Test,268,5.2842714106056325,0.17381630947340782,0.21293556926682694,4.031514625083244
2016,42,Full_100,Train,959,2.398027523439322,0.07933387851814533,0.11097535258110637,0.0688721124147499
2016,42,Full_100,Test,268,7.000573207645747,0.22891178860593198,0.27143987547808157,6.423679414278061
2016,42,Volume_100,Train,959,2.6807026817407675,0.08665247120623544,0.11773942406091004,0.11178191430479577
2016,42,Volume_100,Test,268,6.162246148843216,0.20133395433425902,0.2425524202667586,5.538251321042031
2016,7,Base_100,Train,959,2.5212865640499773,0.0849258114175329,0.11997241693454785,0.05672772664411588
2016,7,Base_100,Test,268,14.083976636586184,0.4621581737674884,0.5218860298939764,13.408855544195198
2016,7,Full_100,Train,959,2.442067966498203,0.08156518558267509,0.11255493615822891,0.13846896430869227
2016,7,Full_100,Test,268,5.339729236224823,0.18171597783245255,0.24918633411453964,1.1052070102917235
2016,7,Volume_100,Train,959,2.6777464104956716,0.09039172237185417,0.12387682184560983,0.08083384411611756
2016,7,Volume_100,Test,268,4.31644167244179,0.14288375587605717,0.17276172570472337,2.5413061909337653
2016,123,Base_100,Train,959,2.4162424092604704,0.08287161896698667,0.11947833680165793,0.011191481112195758
2016,123,Base_100,Test,268,4.351089335495191,0.14401101621229254,0.176537799572605,2.114939486935837
2016,123,Full_100,Train,959,2.297407165668517,0.07769436967509631,0.1140651403844265,0.05619268611762818
2016,123,Full_100,Test,268,4.581023846421017,0.15341665545506264,0.1979446950972528,2.9546218630452232
2016,123,Volume_100,Train,959,2.4197584929323224,0.08192589655409764,0.11532087894341451,0.06619982981427047
2016,123,Volume_100,Test,268,8.382923854979946,0.27401244174188644,0.31840522371793223,8.134956797396642
2016,2024,Base_100,Train,959,2.7791111344724464,0.09262612306039948,0.12993105674710984,0.16275453405736828
2016,2024,Base_100,Test,268,6.4896836121427866,0.21384474782801383,0.2551592254705354,4.611951176637412
2016,2024,Full_100,Train,959,2.4256414695293427,0.08040417040724451,0.1146115317112266,0.09308305894892473
2016,2024,Full_100,Test,268,6.926421216292253,0.22896020725591862,0.26762538272598113,6.700157472822689
2016,2024,Volume_100,Train,959,2.537321553118368,0.08358797104192102,0.11453255436880103,0.12540236387724682
2016,2024,Volume_100,Test,268,4.175591990018913,0.14012505026005986,0.17777242798867202,0.6279626270698349
2016,2025,Base_100,Train,959,2.617036005848021,0.08728090350893912,0.12219415543847881,0.13806224171609938
2016,2025,Base_100,Test,268,12.07187829449537,0.3976457554902603,0.46746552261689217,12.033201297666032
2016,2025,Full_100,Train,959,2.3865687213006237,0.07839572012486622,0.1057727715283523,0.09467155325678836
2016,2025,Full_100,Test,268,6.575353565144253,0.21861074401371516,0.27809262165539317,6.316006471242952
2016,2025,Volume_100,Train,959,2.5881109424371833,0.0865765307668103,0.12048321122086923,0.10821445648117396
2016,2025,Volume_100,Test,268,5.774270525766053,0.19113596172475103,0.23176959844677322,3.087672582940415
2017,42,Base_100,Train,1227,2.7938283728002666,0.0941472526789683,0.1329600711020954,0.09692759672195449
2017,42,Base_100,Test,267,13.955567096186499,0.5206933224424442,0.669004693244149,13.741042701637147
2017,42,Full_100,Train,1227,2.4484139625329746,0.08267750145462148,0.11626009995875694,0.14482066737508942
2017,42,Full_100,Test,267,14.463183605417418,0.5377595232488511,0.6820083158392013,14.451880851610277
2017,42,Volume_100,Train,1227,2.6194366639422277,0.08736805147141485,0.11816731358636415,0.09017198845780128
2017,42,Volume_100,Test,267,14.077911735697871,0.5229995945776893,0.6423600151635136,14.069882916929283
2017,7,Base_100,Train,1227,2.5172262103146235,0.08578069532995992,0.12306153680724342,0.17132656453544587
2017,7,Base_100,Test,267,13.642178362688082,0.511451153487302,0.6581643467067376,12.89821962845679
2017,7,Full_100,Train,1227,2.369909970194281,0.080264506266189,0.11237336459326625,0.12071418228772814
2017,7,Full_100,Test,267,10.041740139346166,0.3733272024576137,0.4776180286839487,9.942123873785686
2017,7,Volume_100,Train,1227,2.5785878142798606,0.086735333378177,0.11820153143132513,0.1610352560921968
