Year,Base_100,Full_100,Volume_100
2015,8.752286753925832,10.589594785460857,8.112493195965016
2016,8.456179857865033,6.084620214345618,5.762294838409984
2017,14.356514246901565,12.243004272445061,13.165882307876151
2018,7.195784748600997,7.457253343206602,7.116954803697053
2019,10.938974657020548,8.140880489516952,9.174357917494236
2020,13.866046300623387,16.647199705353163,15.891263312155516
2021,8.926168954453313,6.162192391115342,9.914802778109706
2022,35.0673658272632,30.936017701245902,41.076529302288506
2023,13.272752776479177,13.84713940170881,12.273605775476994
2024,7.902819596090424,8.67676875463626,7.595771230901161
2025,16.881695650671684,17.645397795651327,17.061414239057708
2026,9.721272831321663,7.150103931947214,7.212456842481569
