Period,Model,Mean_MAPE,Seed_SD
2020,Base_100,13.866046300623387,2.376364513267529
2020,Full_100,16.647199705353163,2.3443058263565963
2020,Volume_100,15.891263312155516,3.541648994122059
2015-2025,Base_100,13.23787176089956,1.1472786119745018
2015-2025,Full_100,12.584551714062354,1.0660872294613846
2015-2025,Volume_100,13.376851791039275,0.8923676827942444
2015-2026,Base_100,12.944821850101402,1.0127980162905992
2015-2026,Full_100,12.131681065552758,0.9860100202013847
2015-2026,Volume_100,12.863152211992801,0.8523413617161703
