Year,Base_100,Full_100,Volume_100
2015,3.585632714137473,2.0553564389978525,1.6572798312445591
2016,4.345263244221263,1.0728563092653283,1.705573086745768
2017,0.8136066874367615,2.222665692068603,0.8311890982811098
2018,1.7485101208141198,1.1732619970243903,1.1114055016532585
2019,4.140388558262012,2.196318067869657,1.7790989362293932
2020,2.376364513267529,2.344305826356597,3.541648994122059
2021,5.484520340309756,0.5278963699628777,4.088711000627407
2022,9.695867189086151,6.025845572430393,6.152382983343793
2023,4.555622302077074,2.2518580469820533,2.050249175096553
2024,0.9163289538768062,1.159011762484397,1.0366679476119387
2025,1.1645101699554514,1.0028705455707567,0.9358738027845376
2026,1.8168883129160713,0.9323052046219518,1.0522177569069027
