Method,Effective_date,Seed,Train_start,Train_end,Train_N,Test_start,Test_end,N,Feature_N
RSI,2021-01-01,965409,2012-06-05,2020-12-31,2306,2021-01-01,2021-01-01,1,10
MACD,2021-01-01,965409,2012-06-05,2020-12-31,2306,2021-01-01,2021-01-01,1,11
Both,2021-01-01,965409,2012-06-05,2020-12-31,2306,2021-01-01,2021-01-01,1,12
RSI,2021-01-04,965409,2012-06-05,2021-01-01,2307,2021-01-04,2021-01-06,3,10
MACD,2021-01-04,965409,2012-06-05,2021-01-01,2307,2021-01-04,2021-01-06,3,11
Both,2021-01-04,965409,2012-06-05,2021-01-01,2307,2021-01-04,2021-01-06,3,12
RSI,2021-01-07,965409,2012-06-05,2021-01-06,2310,2021-01-07,2021-01-07,1,10
MACD,2021-01-07,965409,2012-06-05,2021-01-06,2310,2021-01-07,2021-01-07,1,11
Both,2021-01-07,965409,2012-06-05,2021-01-06,2310,2021-01-07,2021-01-07,1,12
RSI,2021-01-08,965409,2012-06-05,2021-01-07,2311,2021-01-08,2021-01-08,1,10
MACD,2021-01-08,965409,2012-06-05,2021-01-07,2311,2021-01-08,2021-01-08,1,11
Both,2021-01-08,965409,2012-06-05,2021-01-07,2311,2021-01-08,2021-01-08,1,12
RSI,2021-01-11,965409,2012-06-05,2021-01-08,2312,2021-01-11,2021-01-14,4,10
MACD,2021-01-11,965409,2012-06-05,2021-01-08,2312,2021-01-11,2021-01-14,4,11
Both,2021-01-11,965409,2012-06-05,2021-01-08,2312,2021-01-11,2021-01-14,4,12
RSI,2021-01-15,965409,2012-06-05,2021-01-14,2316,2021-01-15,2021-01-15,1,10
MACD,2021-01-15,965409,2012-06-05,2021-01-14,2316,2021-01-15,2021-01-15,1,11
Both,2021-01-15,965409,2012-06-05,2021-01-14,2316,2021-01-15,2021-01-15,1,12
RSI,2021-01-17,965409,2012-06-05,2021-01-15,2317,2021-01-17,2021-02-09,19,10
MACD,2021-01-17,965409,2012-06-05,2021-01-15,2317,2021-01-17,2021-02-09,19,11
Both,2021-01-17,965409,2012-06-05,2021-01-15,2317,2021-01-17,2021-02-09,19,12
RSI,2021-02-10,965409,2012-06-05,2021-02-09,2336,2021-02-10,2021-02-11,2,10
MACD,2021-02-10,965409,2012-06-05,2021-02-09,2336,2021-02-10,2021-02-11,2,11
Both,2021-02-10,965409,2012-06-05,2021-02-09,2336,2021-02-10,2021-02-11,2,12
RSI,2021-02-12,965409,2012-06-05,2021-02-11,2338,2021-02-12,2021-02-14,2,10
MACD,2021-02-12,965409,2012-06-05,2021-02-11,2338,2021-02-12,2021-02-14,2,11
Both,2021-02-12,965409,2012-06-05,2021-02-11,2338,2021-02-12,2021-02-14,2,12
RSI,2021-02-15,798291,2012-06-05,2021-02-14,2340,2021-02-15,2021-02-15,1,10
MACD,2021-02-15,798291,2012-06-05,2021-02-14,2340,2021-02-15,2021-02-15,1,11
Both,2021-02-15,798291,2012-06-05,2021-02-14,2340,2021-02-15,2021-02-15,1,12
RSI,2021-02-16,798291,2012-06-05,2021-02-15,2341,2021-02-16,2021-02-18,3,10
MACD,2021-02-16,798291,2012-06-05,2021-02-15,2341,2021-02-16,2021-02-18,3,11
Both,2021-02-16,798291,2012-06-05,2021-02-15,2341,2021-02-16,2021-02-18,3,12
RSI,2021-02-19,798291,2012-06-05,2021-02-18,2344,2021-02-19,2021-02-19,1,10
MACD,2021-02-19,798291,2012-06-05,2021-02-18,2344,2021-02-19,2021-02-19,1,11
Both,2021-02-19,798291,2012-06-05,2021-02-18,2344,2021-02-19,2021-02-19,1,12
RSI,2021-02-20,798291,2012-06-05,2021-02-19,2345,2021-02-20,2021-02-25,5,10
MACD,2021-02-20,798291,2012-06-05,2021-02-19,2345,2021-02-20,2021-02-25,5,11
Both,2021-02-20,798291,2012-06-05,2021-02-19,2345,2021-02-20,2021-02-25,5,12
RSI,2021-02-26,565766,2012-06-05,2021-02-25,2350,2021-02-26,2021-02-26,1,10
MACD,2021-02-26,565766,2012-06-05,2021-02-25,2350,2021-02-26,2021-02-26,1,11
Both,2021-02-26,565766,2012-06-05,2021-02-25,2350,2021-02-26,2021-02-26,1,12
RSI,2021-03-01,798291,2012-06-05,2021-02-26,2351,2021-03-01,2021-03-01,1,10
MACD,2021-03-01,798291,2012-06-05,2021-02-26,2351,2021-03-01,2021-03-01,1,11
Both,2021-03-01,798291,2012-06-05,2021-02-26,2351,2021-03-01,2021-03-01,1,12
RSI,2021-03-02,798291,2012-06-05,2021-03-01,2352,2021-03-02,2021-03-02,1,10
MACD,2021-03-02,798291,2012-06-05,2021-03-01,2352,2021-03-02,2021-03-02,1,11
Both,2021-03-02,798291,2012-06-05,2021-03-01,2352,2021-03-02,2021-03-02,1,12
RSI,2021-03-03,798291,2012-06-05,2021-03-02,2353,2021-03-03,2021-03-03,1,10
MACD,2021-03-03,798291,2012-06-05,2021-03-02,2353,2021-03-03,2021-03-03,1,11
Both,2021-03-03,798291,2012-06-05,2021-03-02,2353,2021-03-03,2021-03-03,1,12
RSI,2021-03-04,374583,2012-06-05,2021-03-03,2354,2021-03-04,2021-03-04,1,10
MACD,2021-03-04,374583,2012-06-05,2021-03-03,2354,2021-03-04,2021-03-04,1,11
Both,2021-03-04,374583,2012-06-05,2021-03-03,2354,2021-03-04,2021-03-04,1,12
RSI,2021-03-05,785634,2012-06-05,2021-03-04,2355,2021-03-05,2021-03-08,2,10
MACD,2021-03-05,785634,2012-06-05,2021-03-04,2355,2021-03-05,2021-03-08,2,11
Both,2021-03-05,785634,2012-06-05,2021-03-04,2355,2021-03-05,2021-03-08,2,12
RSI,2021-03-09,385735,2012-06-05,2021-03-08,2357,2021-03-09,2021-03-09,1,10
MACD,2021-03-09,385735,2012-06-05,2021-03-08,2357,2021-03-09,2021-03-09,1,11
Both,2021-03-09,385735,2012-06-05,2021-03-08,2357,2021-03-09,2021-03-09,1,12
RSI,2021-03-10,785634,2012-06-05,2021-03-09,2358,2021-03-10,2021-03-10,1,10
MACD,2021-03-10,785634,2012-06-05,2021-03-09,2358,2021-03-10,2021-03-10,1,11
Both,2021-03-10,785634,2012-06-05,2021-03-09,2358,2021-03-10,2021-03-10,1,12
RSI,2021-03-11,785634,2012-06-05,2021-03-10,2359,2021-03-11,2021-03-11,1,10
MACD,2021-03-11,785634,2012-06-05,2021-03-10,2359,2021-03-11,2021-03-11,1,11
Both,2021-03-11,785634,2012-06-05,2021-03-10,2359,2021-03-11,2021-03-11,1,12
RSI,2021-03-12,785634,2012-06-05,2021-03-11,2360,2021-03-12,2021-03-12,1,10
MACD,2021-03-12,785634,2012-06-05,2021-03-11,2360,2021-03-12,2021-03-12,1,11
Both,2021-03-12,785634,2012-06-05,2021-03-11,2360,2021-03-12,2021-03-12,1,12
RSI,2021-03-15,785634,2012-06-05,2021-03-12,2361,2021-03-15,2021-03-15,1,10
MACD,2021-03-15,785634,2012-06-05,2021-03-12,2361,2021-03-15,2021-03-15,1,11
Both,2021-03-15,785634,2012-06-05,2021-03-12,2361,2021-03-15,2021-03-15,1,12
RSI,2021-03-16,785634,2012-06-05,2021-03-15,2362,2021-03-16,2021-03-16,1,10
MACD,2021-03-16,785634,2012-06-05,2021-03-15,2362,2021-03-16,2021-03-16,1,11
Both,2021-03-16,785634,2012-06-05,2021-03-15,2362,2021-03-16,2021-03-16,1,12
RSI,2021-03-17,785634,2012-06-05,2021-03-16,2363,2021-03-17,2021-03-18,2,10
MACD,2021-03-17,785634,2012-06-05,2021-03-16,2363,2021-03-17,2021-03-18,2,11
Both,2021-03-17,785634,2012-06-05,2021-03-16,2363,2021-03-17,2021-03-18,2,12
RSI,2021-03-19,785634,2012-06-05,2021-03-18,2365,2021-03-19,2021-03-22,2,10
MACD,2021-03-19,785634,2012-06-05,2021-03-18,2365,2021-03-19,2021-03-22,2,11
Both,2021-03-19,785634,2012-06-05,2021-03-18,2365,2021-03-19,2021-03-22,2,12
RSI,2021-03-23,785634,2012-06-05,2021-03-22,2367,2021-03-23,2021-04-15,18,10
MACD,2021-03-23,785634,2012-06-05,2021-03-22,2367,2021-03-23,2021-04-15,18,11
Both,2021-03-23,785634,2012-06-05,2021-03-22,2367,2021-03-23,2021-04-15,18,12
RSI,2021-04-16,965409,2012-06-05,2021-04-15,2385,2021-04-16,2021-04-16,1,10
MACD,2021-04-16,965409,2012-06-05,2021-04-15,2385,2021-04-16,2021-04-16,1,11
Both,2021-04-16,965409,2012-06-05,2021-04-15,2385,2021-04-16,2021-04-16,1,12
RSI,2021-04-19,965409,2012-06-05,2021-04-16,2386,2021-04-19,2021-04-19,1,10
MACD,2021-04-19,965409,2012-06-05,2021-04-16,2386,2021-04-19,2021-04-19,1,11
Both,2021-04-19,965409,2012-06-05,2021-04-16,2386,2021-04-19,2021-04-19,1,12
RSI,2021-04-20,965409,2012-06-05,2021-04-19,2387,2021-04-20,2021-05-07,15,10
MACD,2021-04-20,965409,2012-06-05,2021-04-19,2387,2021-04-20,2021-05-07,15,11
Both,2021-04-20,965409,2012-06-05,2021-04-19,2387,2021-04-20,2021-05-07,15,12
RSI,2021-05-08,798291,2012-06-05,2021-05-07,2402,2021-05-08,2021-05-08,1,10
MACD,2021-05-08,798291,2012-06-05,2021-05-07,2402,2021-05-08,2021-05-08,1,11
Both,2021-05-08,798291,2012-06-05,2021-05-07,2402,2021-05-08,2021-05-08,1,12
RSI,2021-05-10,798291,2012-06-05,2021-05-08,2403,2021-05-10,2021-05-14,5,10
MACD,2021-05-10,798291,2012-06-05,2021-05-08,2403,2021-05-10,2021-05-14,5,11
Both,2021-05-10,798291,2012-06-05,2021-05-08,2403,2021-05-10,2021-05-14,5,12
RSI,2021-05-17,565766,2012-06-05,2021-05-14,2408,2021-05-17,2021-05-17,1,10
MACD,2021-05-17,565766,2012-06-05,2021-05-14,2408,2021-05-17,2021-05-17,1,11
Both,2021-05-17,565766,2012-06-05,2021-05-14,2408,2021-05-17,2021-05-17,1,12
RSI,2021-05-18,565766,2012-06-05,2021-05-17,2409,2021-05-18,2021-05-18,1,10
MACD,2021-05-18,565766,2012-06-05,2021-05-17,2409,2021-05-18,2021-05-18,1,11
Both,2021-05-18,565766,2012-06-05,2021-05-17,2409,2021-05-18,2021-05-18,1,12
RSI,2021-05-19,385735,2012-06-05,2021-05-18,2410,2021-05-19,2021-05-21,3,10
MACD,2021-05-19,385735,2012-06-05,2021-05-18,2410,2021-05-19,2021-05-21,3,11
Both,2021-05-19,385735,2012-06-05,2021-05-18,2410,2021-05-19,2021-05-21,3,12
RSI,2021-05-24,640934,2012-06-05,2021-05-21,2413,2021-05-24,2021-05-25,2,10
MACD,2021-05-24,640934,2012-06-05,2021-05-21,2413,2021-05-24,2021-05-25,2,11
Both,2021-05-24,640934,2012-06-05,2021-05-21,2413,2021-05-24,2021-05-25,2,12
RSI,2021-05-26,640934,2012-06-05,2021-05-25,2415,2021-05-26,2021-05-27,2,10
MACD,2021-05-26,640934,2012-06-05,2021-05-25,2415,2021-05-26,2021-05-27,2,11
Both,2021-05-26,640934,2012-06-05,2021-05-25,2415,2021-05-26,2021-05-27,2,12
RSI,2021-05-28,640934,2012-06-05,2021-05-27,2417,2021-05-28,2021-06-03,6,10
MACD,2021-05-28,640934,2012-06-05,2021-05-27,2417,2021-05-28,2021-06-03,6,11
Both,2021-05-28,640934,2012-06-05,2021-05-27,2417,2021-05-28,2021-06-03,6,12
RSI,2021-06-04,640934,2012-06-05,2021-06-03,2423,2021-06-04,2021-06-04,1,10
MACD,2021-06-04,640934,2012-06-05,2021-06-03,2423,2021-06-04,2021-06-04,1,11
Both,2021-06-04,640934,2012-06-05,2021-06-03,2423,2021-06-04,2021-06-04,1,12
RSI,2021-06-07,640934,2012-06-05,2021-06-04,2424,2021-06-07,2021-06-15,7,10
MACD,2021-06-07,640934,2012-06-05,2021-06-04,2424,2021-06-07,2021-06-15,7,11
Both,2021-06-07,640934,2012-06-05,2021-06-04,2424,2021-06-07,2021-06-15,7,12
RSI,2021-06-16,640934,2012-06-05,2021-06-15,2431,2021-06-16,2021-06-17,2,10
MACD,2021-06-16,640934,2012-06-05,2021-06-15,2431,2021-06-16,2021-06-17,2,11
Both,2021-06-16,640934,2012-06-05,2021-06-15,2431,2021-06-16,2021-06-17,2,12
RSI,2021-06-18,640934,2012-06-05,2021-06-17,2433,2021-06-18,2021-06-28,7,10
MACD,2021-06-18,640934,2012-06-05,2021-06-17,2433,2021-06-18,2021-06-28,7,11
Both,2021-06-18,640934,2012-06-05,2021-06-17,2433,2021-06-18,2021-06-28,7,12
RSI,2021-06-29,965409,2012-06-05,2021-06-28,2440,2021-06-29,2021-07-01,3,10
MACD,2021-06-29,965409,2012-06-05,2021-06-28,2440,2021-06-29,2021-07-01,3,11
Both,2021-06-29,965409,2012-06-05,2021-06-28,2440,2021-06-29,2021-07-01,3,12
RSI,2021-07-02,965409,2012-06-05,2021-07-01,2443,2021-07-02,2021-07-08,5,10
MACD,2021-07-02,965409,2012-06-05,2021-07-01,2443,2021-07-02,2021-07-08,5,11
Both,2021-07-02,965409,2012-06-05,2021-07-01,2443,2021-07-02,2021-07-08,5,12
RSI,2021-07-09,741131,2012-06-05,2021-07-08,2448,2021-07-09,2021-07-09,1,10
MACD,2021-07-09,741131,2012-06-05,2021-07-08,2448,2021-07-09,2021-07-09,1,11
Both,2021-07-09,741131,2012-06-05,2021-07-08,2448,2021-07-09,2021-07-09,1,12
RSI,2021-07-12,741131,2012-06-05,2021-07-09,2449,2021-07-12,2021-07-19,6,10
MACD,2021-07-12,741131,2012-06-05,2021-07-09,2449,2021-07-12,2021-07-19,6,11
Both,2021-07-12,741131,2012-06-05,2021-07-09,2449,2021-07-12,2021-07-19,6,12
RSI,2021-07-20,741131,2012-06-05,2021-07-19,2455,2021-07-20,2021-07-21,2,10
MACD,2021-07-20,741131,2012-06-05,2021-07-19,2455,2021-07-20,2021-07-21,2,11
Both,2021-07-20,741131,2012-06-05,2021-07-19,2455,2021-07-20,2021-07-21,2,12
RSI,2021-07-22,741131,2012-06-05,2021-07-21,2457,2021-07-22,2021-07-26,3,10
MACD,2021-07-22,741131,2012-06-05,2021-07-21,2457,2021-07-22,2021-07-26,3,11
Both,2021-07-22,741131,2012-06-05,2021-07-21,2457,2021-07-22,2021-07-26,3,12
RSI,2021-07-27,741131,2012-06-05,2021-07-26,2460,2021-07-27,2021-07-27,1,10
MACD,2021-07-27,741131,2012-06-05,2021-07-26,2460,2021-07-27,2021-07-27,1,11
Both,2021-07-27,741131,2012-06-05,2021-07-26,2460,2021-07-27,2021-07-27,1,12
RSI,2021-07-28,741131,2012-06-05,2021-07-27,2461,2021-07-28,2021-07-29,2,10
MACD,2021-07-28,741131,2012-06-05,2021-07-27,2461,2021-07-28,2021-07-29,2,11
Both,2021-07-28,741131,2012-06-05,2021-07-27,2461,2021-07-28,2021-07-29,2,12
RSI,2021-07-30,965409,2012-06-05,2021-07-29,2463,2021-07-30,2021-07-30,1,10
MACD,2021-07-30,965409,2012-06-05,2021-07-29,2463,2021-07-30,2021-07-30,1,11
Both,2021-07-30,965409,2012-06-05,2021-07-29,2463,2021-07-30,2021-07-30,1,12
RSI,2021-08-02,965409,2012-06-05,2021-07-30,2464,2021-08-02,2021-08-09,6,10
MACD,2021-08-02,965409,2012-06-05,2021-07-30,2464,2021-08-02,2021-08-09,6,11
Both,2021-08-02,965409,2012-06-05,2021-07-30,2464,2021-08-02,2021-08-09,6,12
RSI,2021-08-10,374583,2012-06-05,2021-08-09,2470,2021-08-10,2021-08-11,2,10
MACD,2021-08-10,374583,2012-06-05,2021-08-09,2470,2021-08-10,2021-08-11,2,11
Both,2021-08-10,374583,2012-06-05,2021-08-09,2470,2021-08-10,2021-08-11,2,12
RSI,2021-08-12,374583,2012-06-05,2021-08-11,2472,2021-08-12,2021-08-17,4,10
MACD,2021-08-12,374583,2012-06-05,2021-08-11,2472,2021-08-12,2021-08-17,4,11
Both,2021-08-12,374583,2012-06-05,2021-08-11,2472,2021-08-12,2021-08-17,4,12
RSI,2021-08-18,374583,2012-06-05,2021-08-17,2476,2021-08-18,2021-08-23,4,10
MACD,2021-08-18,374583,2012-06-05,2021-08-17,2476,2021-08-18,2021-08-23,4,11
Both,2021-08-18,374583,2012-06-05,2021-08-17,2476,2021-08-18,2021-08-23,4,12
RSI,2021-08-24,374583,2012-06-05,2021-08-23,2480,2021-08-24,2021-09-10,15,10
MACD,2021-08-24,374583,2012-06-05,2021-08-23,2480,2021-08-24,2021-09-10,15,11
Both,2021-08-24,374583,2012-06-05,2021-08-23,2480,2021-08-24,2021-09-10,15,12
RSI,2021-09-13,741131,2012-06-05,2021-09-10,2495,2021-09-13,2021-09-13,1,10
MACD,2021-09-13,741131,2012-06-05,2021-09-10,2495,2021-09-13,2021-09-13,1,11
Both,2021-09-13,741131,2012-06-05,2021-09-10,2495,2021-09-13,2021-09-13,1,12
RSI,2021-09-14,741131,2012-06-05,2021-09-13,2496,2021-09-14,2021-09-18,5,10
MACD,2021-09-14,741131,2012-06-05,2021-09-13,2496,2021-09-14,2021-09-18,5,11
Both,2021-09-14,741131,2012-06-05,2021-09-13,2496,2021-09-14,2021-09-18,5,12
