Year,Feature,Train_min,Train_max,Test_min,Test_max,Outside_percent,Test_mean_z,Test_std_z
2021,Dollar Index,78.8499984741211,103.29000091552734,89.44000244140625,96.83999633789062,0.0,0.1054637892039568,0.2699082818914504
2021,us_10y_rate,0.52,3.24,0.93,1.74,0.0,-1.081188248424429,0.29614244296931064
2021,Gold Futures Price,659.3462264057005,1287.256110217922,1052.7075375375605,1225.2619759045742,0.0,2.0348485283164877,0.23606405188489732
2021,cn_10y_rate,2.4824,4.7222,2.7654,3.2831,0.0,-0.8826754540921712,0.333865055802753
2021,Copper Futures Price,1.9435,3.837,3.52,4.762,86.39705882352942,3.223202528616103,0.6773780568617234
2021,brent,9.12,118.9,50.37,85.76,0.0,0.025606910577172414,0.30673981572269504
2021,A_500,794.663091402962,2294.1952535325568,2027.5240379380582,2387.145455838863,6.25,2.48820624890171,0.21715207509151593
2021,elapsed_days,1.0,3159.0,3160.0,3524.0,100.0,1.9267235470244037,0.11542442143902121
2022,Dollar Index,78.8499984741211,103.29000091552734,94.79000091552734,114.11000061035156,60.58394160583942,1.7956089681820364,0.7730614882822635
2022,us_10y_rate,0.52,3.24,1.63,4.25,35.76642335766424,1.4760245542215762,1.1563252881062716
2022,Gold Futures Price,659.3462264057005,1287.256110217922,1018.5731935515745,1280.1029290901445,0.0,1.614027558140599,0.3885534544297384
2022,cn_10y_rate,2.4824,4.7222,2.58,2.9152,0.0,-1.3873531967506243,0.1524034308725762
2022,Copper Futures Price,1.9435,4.762,3.2115,4.9375,2.5547445255474455,1.692688922252608,0.8193612708404413
2022,brent,9.12,118.9,76.02,133.18,12.408759124087592,1.2308560337963688,0.5343588389315491
2022,A_500,794.663091402962,2387.145455838863,1544.0700370350476,2147.9833973812692,0.0,0.9278727777225205,0.349866727280852
2022,elapsed_days,1.0,3524.0,3527.0,3889.0,100.0,1.9038122885747155,0.10327323208668172
2023,Dollar Index,78.8499984741211,114.11000061035156,99.7699966430664,107.0,0.0,1.3890191223398725,0.2126198695234015
2023,us_10y_rate,0.52,4.25,3.3,4.98,26.373626373626376,2.678892552230884,0.6206962221690474
2023,Gold Futures Price,659.3462264057005,1287.256110217922,1134.9690056136874,1306.331157764605,2.93040293040293,1.921507237432989,0.23620832974629544
2023,cn_10y_rate,2.4824,4.7222,2.5403,2.9341,0.0,-1.2918204295223048,0.2363969009680847
2023,Copper Futures Price,1.9435,4.9375,3.552,4.2675,0.0,1.1732814920064036,0.2681198158036786
2023,brent,9.12,133.18,71.03,97.1,0.0,0.3651578693765548,0.23520120369777184
2023,A_500,794.663091402962,2387.145455838863,1424.6944354514399,1821.373766526763,0.0,0.4753636545404351,0.26796531705909954
2023,elapsed_days,1.0,3889.0,3891.0,4254.0,100.0,1.8838724807565148,0.09360939021684592
2024,Dollar Index,78.8499984741211,114.11000061035156,100.37000274658203,108.48999786376953,0.0,1.3219009829458443,0.22595881245118832
2024,us_10y_rate,0.52,4.98,3.63,4.7,0.0,2.285792435926366,0.30209615014877367
2024,Gold Futures Price,659.3462264057005,1306.331157764605,1256.5727784037335,1749.7020050415185,82.78388278388277,3.174351642201376,0.7921208885643399
2024,cn_10y_rate,2.4824,4.7222,1.6752,2.5601,91.94139194139194,-2.198325960498788,0.3668937922535023
2024,Copper Futures Price,1.9435,4.9375,3.6925,5.106,1.098901098901099,1.6131888126287255,0.4510948544518357
2024,brent,9.12,133.18,70.31,93.12,0.0,0.26974871543999585,0.21781424844769126
2024,A_500,794.663091402962,2387.145455838863,1329.6228116148645,1807.943662012726,0.0,0.07832806396892342,0.31763488948937857
2024,elapsed_days,1.0,4254.0,4255.0,4620.0,100.0,1.8704640715367924,0.085900559224931
