Period,Model,Mean_annual_MAPE,Pooled_MAPE,Median_annual_MAPE,Std_annual_MAPE,Worst_MAPE,Worst_year,Winning_years,Train_mean_MAPE
2015-2026 (2026 partial),Base_100,11.264500974432138,11.27189905534034,9.467450556294308,5.5924438942651715,20.39080711050813,2023,7,3.5092382654633645
2015-2026 (2026 partial),Base_400,10.819814165516673,10.906667531161625,10.759449949346756,3.640158664943085,16.12383773036901,2025,4,2.470573713865418
2015-2026 (2026 partial),Full_100,12.215534563161055,12.47219982432457,9.739211830349092,7.240973576457344,31.962203826775497,2022,1,3.646216357003382
2015-2025 complete,Base_100,11.246878940867804,11.262363546652074,7.476557768948795,5.865055200547608,20.39080711050813,2023,7,3.3261342600972763
2015-2025 complete,Base_400,11.014293518967934,11.02052055624525,10.954384984138546,3.75187650740637,16.12383773036901,2025,4,2.3590704327620076
2015-2025 complete,Full_100,12.778548953771347,12.802069669814902,9.796103008657584,7.313731159619988,31.962203826775497,2022,0,3.4373457478644394
