Year,Model,Split,N,MAPE,MAE,RMSE,MPE
2015,Base_100,Train,693,2.1356186349744952,0.060925859517349315,0.07986982452432483,0.033576237731128465
2015,Base_100,Test,266,5.921933729649192,0.28553463735078505,0.428086633632071,-1.9322815900320331
2015,Base_400,Train,693,1.2912292247711943,0.03745912989496669,0.052196043584029496,-0.005204246623261042
2015,Base_400,Test,266,8.80963195041718,0.3819529685400482,0.47160884756479,3.4745472812999347
2015,Full_100,Train,693,2.006334904052028,0.05730603930926082,0.0745283166855094,0.14119422021057065
2015,Full_100,Test,266,9.796103008657584,0.4744808469858384,0.6806847888368108,-7.944411071811235
2016,Base_100,Train,959,2.759317397391527,0.0910571657405531,0.13161389911625057,0.08299858366792996
2016,Base_100,Test,268,5.2842714106056325,0.17381630947340782,0.21293556926682694,4.031514625083244
2016,Base_400,Train,959,1.9036401242835632,0.06444677893884239,0.1048698946874749,0.09380661913322826
2016,Base_400,Test,268,5.500166946634097,0.18260835896677044,0.2183485466506855,3.413054435918994
2016,Full_100,Train,959,2.398027523439322,0.07933387851814533,0.11097535258110637,0.0688721124147499
2016,Full_100,Test,268,7.000573207645747,0.22891178860593198,0.27143987547808157,6.423679414278061
2017,Base_100,Train,1227,2.7938283728002666,0.0941472526789683,0.1329600711020954,0.09692759672195449
2017,Base_100,Test,267,13.955567096186499,0.5206933224424442,0.669004693244149,13.741042701637147
2017,Base_400,Train,1227,2.035728280694242,0.0697297333077677,0.1044647843744898,0.0715676535081244
2017,Base_400,Test,267,14.205482398260848,0.5203678430421522,0.6064920737760899,14.185957190878709
2017,Full_100,Train,1227,2.4484139625329746,0.08267750145462148,0.11626009995875694,0.14482066737508942
2017,Full_100,Test,267,14.463183605417418,0.5377595232488511,0.6820083158392013,14.451880851610277
2018,Base_100,Train,1494,2.965449950255846,0.1003060835081251,0.13873883973746656,0.10948565758744483
2018,Base_100,Test,269,7.171223532461089,0.3003155726748328,0.405385535010756,-1.3886292473304094
