Method,Effective_date,Seed,Train_start,Train_end,Train_N,Test_start,Test_end,N,Feature_N
RSI,2023-01-02,374583,2012-06-05,2022-12-31,2852,2023-01-02,2023-01-09,6,10
MACD,2023-01-02,374583,2012-06-05,2022-12-31,2852,2023-01-02,2023-01-09,6,11
Both,2023-01-02,374583,2012-06-05,2022-12-31,2852,2023-01-02,2023-01-09,6,12
RSI,2023-01-10,374583,2012-06-05,2023-01-09,2858,2023-01-10,2023-01-11,2,10
MACD,2023-01-10,374583,2012-06-05,2023-01-09,2858,2023-01-10,2023-01-11,2,11
Both,2023-01-10,374583,2012-06-05,2023-01-09,2858,2023-01-10,2023-01-11,2,12
RSI,2023-01-12,374583,2012-06-05,2023-01-11,2860,2023-01-12,2023-01-12,1,10
MACD,2023-01-12,374583,2012-06-05,2023-01-11,2860,2023-01-12,2023-01-12,1,11
Both,2023-01-12,374583,2012-06-05,2023-01-11,2860,2023-01-12,2023-01-12,1,12
RSI,2023-01-13,374583,2012-06-05,2023-01-12,2861,2023-01-13,2023-01-15,2,10
MACD,2023-01-13,374583,2012-06-05,2023-01-12,2861,2023-01-13,2023-01-15,2,11
Both,2023-01-13,374583,2012-06-05,2023-01-12,2861,2023-01-13,2023-01-15,2,12
RSI,2023-01-16,385735,2012-06-05,2023-01-15,2863,2023-01-16,2023-01-17,2,10
MACD,2023-01-16,385735,2012-06-05,2023-01-15,2863,2023-01-16,2023-01-17,2,11
Both,2023-01-16,385735,2012-06-05,2023-01-15,2863,2023-01-16,2023-01-17,2,12
RSI,2023-01-18,385735,2012-06-05,2023-01-17,2865,2023-01-18,2023-01-19,2,10
MACD,2023-01-18,385735,2012-06-05,2023-01-17,2865,2023-01-18,2023-01-19,2,11
Both,2023-01-18,385735,2012-06-05,2023-01-17,2865,2023-01-18,2023-01-19,2,12
RSI,2023-01-20,385735,2012-06-05,2023-01-19,2867,2023-01-20,2023-01-20,1,10
MACD,2023-01-20,385735,2012-06-05,2023-01-19,2867,2023-01-20,2023-01-20,1,11
Both,2023-01-20,385735,2012-06-05,2023-01-19,2867,2023-01-20,2023-01-20,1,12
RSI,2023-01-23,385735,2012-06-05,2023-01-20,2868,2023-01-23,2023-01-27,5,10
MACD,2023-01-23,385735,2012-06-05,2023-01-20,2868,2023-01-23,2023-01-27,5,11
Both,2023-01-23,385735,2012-06-05,2023-01-20,2868,2023-01-23,2023-01-27,5,12
RSI,2023-01-28,374583,2012-06-05,2023-01-27,2873,2023-01-28,2023-02-03,7,10
MACD,2023-01-28,374583,2012-06-05,2023-01-27,2873,2023-01-28,2023-02-03,7,11
Both,2023-01-28,374583,2012-06-05,2023-01-27,2873,2023-01-28,2023-02-03,7,12
RSI,2023-02-06,385735,2012-06-05,2023-02-03,2880,2023-02-06,2023-02-07,2,10
MACD,2023-02-06,385735,2012-06-05,2023-02-03,2880,2023-02-06,2023-02-07,2,11
Both,2023-02-06,385735,2012-06-05,2023-02-03,2880,2023-02-06,2023-02-07,2,12
RSI,2023-02-08,385735,2012-06-05,2023-02-07,2882,2023-02-08,2023-02-08,1,10
MACD,2023-02-08,385735,2012-06-05,2023-02-07,2882,2023-02-08,2023-02-08,1,11
Both,2023-02-08,385735,2012-06-05,2023-02-07,2882,2023-02-08,2023-02-08,1,12
RSI,2023-02-09,374583,2012-06-05,2023-02-08,2883,2023-02-09,2023-02-09,1,10
MACD,2023-02-09,374583,2012-06-05,2023-02-08,2883,2023-02-09,2023-02-09,1,11
Both,2023-02-09,374583,2012-06-05,2023-02-08,2883,2023-02-09,2023-02-09,1,12
RSI,2023-02-10,374583,2012-06-05,2023-02-09,2884,2023-02-10,2023-02-10,1,10
MACD,2023-02-10,374583,2012-06-05,2023-02-09,2884,2023-02-10,2023-02-10,1,11
Both,2023-02-10,374583,2012-06-05,2023-02-09,2884,2023-02-10,2023-02-10,1,12
RSI,2023-02-13,374583,2012-06-05,2023-02-10,2885,2023-02-13,2023-02-13,1,10
MACD,2023-02-13,374583,2012-06-05,2023-02-10,2885,2023-02-13,2023-02-13,1,11
Both,2023-02-13,374583,2012-06-05,2023-02-10,2885,2023-02-13,2023-02-13,1,12
RSI,2023-02-14,374583,2012-06-05,2023-02-13,2886,2023-02-14,2023-02-15,2,10
MACD,2023-02-14,374583,2012-06-05,2023-02-13,2886,2023-02-14,2023-02-15,2,11
Both,2023-02-14,374583,2012-06-05,2023-02-13,2886,2023-02-14,2023-02-15,2,12
