Month,Method,N,MAPE,MSE,MAPE_minus_A_pp,MSE_minus_A
2020-01,A,24,8.463584795844405,0.17072135122128254,0.0,0.0
2020-01,H30,24,5.222196169555008,0.07870292788004478,-3.241388626289397,-0.09201842334123776
2020-01,H60,24,5.418130111966429,0.0820037054560534,-3.045454683877976,-0.08871764576522914
2020-01,H120,24,7.041354144808927,0.14744560005009769,-1.4222306510354779,-0.023275751171184855
2020-01,H240,24,2.8422898028213917,0.024607773420635474,-5.621294993023013,-0.14611357780064707
2020-02,A,21,6.280268686168081,0.09135332450664427,0.0,0.0
2020-02,H30,21,8.712664077064366,0.1789007437307603,2.4323953908962848,0.08754741922411602
2020-02,H60,21,9.127462562616804,0.1898293974268086,2.8471938764487232,0.09847607292016433
2020-02,H120,21,11.847351688006468,0.30864991829794103,5.567083001838387,0.21729659379129676
2020-02,H240,21,8.332506896892564,0.16217223895181296,2.052238210724483,0.07081891444516869
2020-03,A,22,10.849079716033492,0.26234505342144315,0.0,0.0
2020-03,H30,22,7.4416101602141005,0.10876898953129324,-3.4074695558193913,-0.1535760638901499
2020-03,H60,22,5.638868630774773,0.0700323872693509,-5.2102110852587185,-0.19231266615209225
2020-03,H120,22,9.117776091715161,0.1664804263876521,-1.7313036243183308,-0.09586462703379106
2020-03,H240,22,8.610400402302684,0.17916430706355488,-2.238679313730808,-0.08318074635788827
2020-04,A,23,7.381917876130579,0.12097979138188089,0.0,0.0
2020-04,H30,23,3.085867119009775,0.023186667138950633,-4.296050757120804,-0.09779312424293025
2020-04,H60,23,3.023718468783567,0.023250045452037398,-4.358199407347012,-0.09772974592984349
2020-04,H120,23,2.8896039212970646,0.02182544935612972,-4.492313954833515,-0.09915434202575117
2020-04,H240,23,3.3404685214206644,0.029306348090421507,-4.041449354709915,-0.09167344329145938
2020-05,A,23,4.2413219543488525,0.03969053382089914,0.0,0.0
2020-05,H30,23,4.360654447883625,0.04413421045173873,0.11933249353477215,0.0044436766308395895
2020-05,H60,23,4.2879736661607115,0.042378565275940465,0.04665171181185901,0.0026880314550413245
2020-05,H120,23,2.8454265549219935,0.01953012214693129,-1.395895399426859,-0.02016041167396785
2020-05,H240,23,2.8184491394326683,0.01946473957809304,-1.4228728149161842,-0.0202257942428061
2020-06,A,23,9.28894604567181,0.15408341720007784,0.0,0.0
2020-06,H30,23,5.955503916551881,0.06751775675412892,-3.3334421291199297,-0.08656566044594892
2020-06,H60,23,6.6623259422365955,0.0910345127984161,-2.626620103435215,-0.06304890440166175
2020-06,H120,23,3.7755869758959637,0.032518885735374405,-5.513359069775847,-0.12156453146470345
2020-06,H240,23,9.338784004571933,0.1800525103168367,0.049837958900122104,0.02596909311675885
2020-07,A,23,14.016984211817201,0.7317221850816916,0.0,0.0
2020-07,H30,23,14.31398659028374,0.7799385158134257,0.297002378466539,0.048216330731734036
2020-07,H60,23,7.173896296799276,0.22510227506152833,-6.843087915017925,-0.5066199100201633
2020-07,H120,23,9.299939146264597,0.37713690401941496,-4.717045065552604,-0.35458528106227666
2020-07,H240,23,9.130290658634364,0.3726277960111418,-4.8866935531828375,-0.3590943890705498
2020-08,A,21,5.475062902478284,0.17176675097755098,0.0,0.0
2020-08,H30,21,9.391765292659695,0.4674170210425672,3.9167023901814106,0.2956502700650162
2020-08,H60,21,9.147121806600223,0.4359680703093149,3.672058904121939,0.26420131933176394
2020-08,H120,21,6.620864829032115,0.2528270213955719,1.1458019265538306,0.08106027041802091
2020-08,H240,21,5.216471929086489,0.15593901010460018,-0.2585909733917955,-0.015827740872950802
2020-09,A,24,11.49299617776499,0.6979026378397307,0.0,0.0
2020-09,H30,24,4.7253554305517955,0.1467584976555076,-6.7676407472131945,-0.5511441401842231
2020-09,H60,24,6.287215347420039,0.23293253517111956,-5.205780830344951,-0.46497010266861116
2020-09,H120,24,7.2786306373734355,0.2910438888829268,-4.2143655403915545,-0.4068587489568039
2020-09,H240,24,8.989273968208188,0.42709236898282105,-2.503722209556802,-0.2708102688569097
2020-10,A,23,3.690894267368598,0.08191979299519743,0.0,0.0
2020-10,H30,23,7.01821323898411,0.27014979888238083,3.327318971615512,0.18823000588718342
2020-10,H60,23,6.625296663084473,0.22483951385673268,2.934402395715875,0.14291972086153526
2020-10,H120,23,4.5213234718373245,0.10764829256171093,0.8304292044687265,0.025728499566513505
2020-10,H240,23,7.424684299507649,0.29602611475093754,3.733790032139051,0.21410632175574013
2020-11,A,21,13.573875551907166,1.4833806332612791,0.0,0.0
2020-11,H30,21,12.884206969116239,1.293411099776718,-0.6896685827909277,-0.18996953348456103
2020-11,H60,21,11.838562842396847,1.1313018807462714,-1.7353127095103194,-0.35207875251500775
2020-11,H120,21,13.063079241991755,1.3742088242708397,-0.5107963099154116,-0.10917180899043943
2020-11,H240,21,12.727671716715907,1.4026899397019212,-0.8462038351912593,-0.08069069355935787
2020-12,A,23,3.0789621058220473,0.10319271218614104,0.0,0.0
2020-12,H30,23,4.807051547474441,0.2599312398859196,1.728089441652394,0.15673852769977856
2020-12,H60,23,5.568774515734988,0.34229726267360855,2.489812409912941,0.2391045504874675
2020-12,H120,23,9.04087294490753,0.771664624864529,5.961910839085483,0.668471912678388
2020-12,H240,23,8.03342651886863,0.6090945179264787,4.954464413046583,0.5059018057403377
