Method,Annual_MSE,Annual_MAPE,Monthly_equal_MAPE,Months_MAPE_better_than_A,Months_MSE_better_than_A,Worst_month,Worst_month_MAPE,MSE_reduction_vs_A_pct,MAPE_reduction_vs_A_pp
A,0.3380871429804666,8.1499212386629,8.152824524279625,0,0,2020-07,14.016984211817201,0.0,0.0
H30,0.30173445196827753,7.242315102683521,7.326589579945732,6,6,2020-07,14.31398659028374,10.752461833276339,0.9076061359793792
H60,0.2502694414790709,6.657657417197796,6.733278904547895,7,7,2020-11,11.838562842396847,25.974871663921718,1.4922638214651043
H120,0.31525157405131515,7.199266564862031,7.278484137337695,8,8,2020-11,13.063079241991755,6.754344080594277,0.9506546738008694
H240,0.31575793265869406,7.18515266799996,7.233726488205261,8,8,2020-11,12.727671716715907,6.604572455765534,0.9647685706629403
