Method,MAPE,MSE,MAE,Updates,Initializations,Models,MAPE_difference_vs_original_pp,MSE_change_vs_original_pct
Original,3.920214876576204,0.06907733567895362,0.1638728626775919,32,1,33,0.0,0.0
Features_only,4.215932103391121,0.0715447861495707,0.17288044748696252,32,1,33,0.29571722681491686,3.572011639367356
Triggers_only,3.652622619995754,0.06311006621511077,0.1535990196001131,51,1,52,-0.26759225658045027,-8.638534484851224
Features_and_triggers,3.7461644515551944,0.06234414490996074,0.15595692935929423,51,1,52,-0.17405042502100976,-9.747322624436915
