alpha,mean_training_mse,mean_validation_rmse,mean_validation_mse
1e-05,0.20136255356698934,2.2082183383782077,7.470219543762774
1.0139254075588143e-05,0.2013625537236023,2.2082173669010237,7.470212240991836
1.0280447320933097e-05,0.20136255389161137,2.208216362213808,7.470204733445184
1.0423606739764011e-05,0.20136255405085796,2.208215341920199,7.470197142836662
1.056875971184805e-05,0.2013625542209613,2.2082143293422436,7.470189530856857
1.0715933998226711e-05,0.20136255440023104,2.2082132416461193,7.47018136479812
1.0865157746525373e-05,0.20136255458003713,2.2082122007020937,7.470173539434208
1.1016459496336568e-05,0.20136255477463702,2.2082109721609293,7.470165441285826
1.1169868184678226e-05,0.2013625549647521,2.208209902076254,7.470157396577596
1.1325413151528127e-05,0.20136255516044352,2.2082087905320344,7.470149004240736
1.148312414543511e-05,0.2013625553613298,2.208207690472915,7.470140734030551
1.1643031329208755e-05,0.20136255556783259,2.208206575113117,7.470132348707087
1.1805165285688056e-05,0.2013625557891321,2.208205433656519,7.470123835163212
1.1969557023590429e-05,0.2013625560129299,2.2082042192836107,7.470114717128874
1.2136237983442418e-05,0.20136255623973898,2.208202875862131,7.470105807107226
1.2305240043592616e-05,0.20136255647052775,2.2082016971676905,7.4700969451153725
1.2476595526308685e-05,0.20136255670820508,2.208200456719342,7.470087557550562
1.2650337203959038e-05,0.20136255695383776,2.208199204635375,7.470078323149737
1.28264983052806e-05,0.2013625572045162,2.2081979760870616,7.470069085968601
1.3005112521734099e-05,0.20136255746220236,2.2081967304532855,7.470059720221781
1.3186214013947486e-05,0.20136255773379172,2.2081953922253112,7.470049671448223
1.3369837418249452e-05,0.20136255800617225,2.2081941117056236,7.4700400431805765
1.355601785329369e-05,0.2013625583008261,2.208192600823195,7.4700300797139105
1.3744790926775367e-05,0.20136255858948945,2.2081912173083658,7.470019586059441
1.3936192742241435e-05,0.20136255888552163,2.208189882652703,7.470009550199409
1.4130259905995336e-05,0.20136255918982773,2.2081885294380634,7.469999374663637
1.4327029534098295e-05,0.20136255951598292,2.208187144350344,7.469989043316202
1.4526539259467812e-05,0.20136255983770904,2.2081857532548206,7.469978582588365
1.4728827239075018e-05,0.20136256017673548,2.208184259229008,7.4699673625379805
1.4933932161242534e-05,0.20136256052028623,2.208182607184573,7.469956400383998
1.514189325304352e-05,0.2013625608594924,2.2081810272446436,7.469944533199597
1.535275028780421e-05,0.20136256123392346,2.2081795431857376,7.469933462698123
1.556654359271062e-05,0.20136256160332877,2.208178052693179,7.469922253565801
1.5783314056521164e-05,0.2013625619830573,2.2081765414781485,7.4699108884386884
1.6003103137387017e-05,0.2013625623733981,2.2081750092530115,7.469899365147221
1.622595287078087e-05,0.20136256277464834,2.2081734557261514,7.469887681491684
1.6451905877536607e-05,0.2013625632148682,2.2081717727983983,7.469875137427081
1.6681005372000593e-05,0.20136256364490332,2.2081698087550308,7.469861821479954
1.691329517029647e-05,0.2013625640811268,2.208168189579439,7.469849643296098
1.714881969870541e-05,0.20136256452953855,2.208166547895413,7.469837295640514
