,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price,gold_5,gold_20,copper_5,copper_20
2012-06-06,-1.1499325797159534,-1.2239999346066741,-0.3305361399913175,-1.406390437662571,1.0959875835469561,1.2117974895318737,2.086674182813722,2.288412501244439,0.6332570690489108,-0.11419389137059616,-1.508652447691654
2012-06-07,-1.1720392706057683,-1.2609895315556918,-0.2964375550309013,-1.406390437662571,1.0529259347226705,1.1932564664757626,1.7822152374149005,0.789735687627152,-0.14241184050617983,0.0752461561062921,-1.71067683433473
2012-06-08,-1.194819675116138,-1.197969560128211,-0.443219543271101,-1.4293434391847404,0.9549508071224616,0.9950992825635745,1.8052802724703618,-0.9715577939480893,0.10261351769182231,-0.34623925156414687,-1.9704853396374096
2012-06-11,-1.1535442276415218,-1.197969560128211,-0.3551503503269814,-1.5441084467955861,0.9956420899564193,1.1283628857793735,1.8408664874448448,-0.5378678091647469,0.5768681098011295,0.42729055298838625,-1.156412446986879
2012-06-12,-1.1764480229248861,-1.2116693721378968,-0.29734082880468804,-1.3834374361404018,0.916234829280444,1.1109806766642698,1.954214337939558,-0.08303737520258396,0.9286560816144698,0.5634833671922106,-1.0009873038741022
2012-06-13,-1.1216094616826409,-1.2609895315556918,-0.2607582409663616,-1.5211554452734168,0.9438890991675999,1.119092374251318,1.9898005529140421,-0.4678933184165562,1.380776077140507,-0.4698436356330814,-0.7612047879804759
2012-06-14,-1.1429165803634476,-1.2815397721845492,-0.2381763966217151,-1.4522964407069097,0.9110990363014004,1.1526979785405194,1.9917778776966284,1.0315292130277143,0.7202115571341787,-0.203859063286075,-0.6820849828732596
2012-06-15,-1.1335783666631725,-1.3240105482118298,-0.2555644167670921,-1.5441084467955861,0.9375681231933924,1.2187503731779157,2.048451802943985,1.1948223992393008,0.5737141939755944,1.179245491932921,-0.45559771150508493
2012-06-18,-1.114429352602052,-1.2760596383349434,-0.21604618916396248,-1.5670614483177554,0.8617164115029081,1.2465619077620824,2.039884468145553,0.9739863159995579,0.6059461328810918,0.6143960398488475,-0.5758788817469667
2012-06-19,-1.139473977796882,-1.3541497165416758,-0.21920764737221257,-1.4522964407069097,0.8589509845141928,1.3357905812196171,2.016819433090093,0.30095905538529333,0.7523385195843281,1.1676544099834656,-0.26649619740237174
