Month,Seed,Base,Stacking
2020-01,7,10.069028875676425,7.944257284413514
2020-01,42,6.428044360969935,5.6269490391662025
2020-01,123,12.787873046361886,11.853457334236177
2020-02,7,9.405320615252187,8.933598179437999
2020-02,42,8.792838123093881,8.105878434942367
2020-02,123,12.68309601870465,12.356681623464665
2020-03,7,9.662212701576818,12.006930825682188
2020-03,42,14.638129488662473,16.707103089319364
2020-03,123,3.914526293596593,4.854254304244349
2020-04,7,3.5699130572434274,4.174050935941717
2020-04,42,10.329720501368348,12.12883462269539
2020-04,123,5.994890669468506,5.038133121741531
2020-05,7,7.320120212928121,7.470533574817286
2020-05,42,13.41097043211556,13.97966783310283
2020-05,123,2.9400895265187232,3.089351347511402
2020-06,7,13.40684119805151,13.348936653344076
2020-06,42,17.465345196873518,17.304920832660923
2020-06,123,2.832334922452329,3.1546797535104987
2020-07,7,4.614467906071721,5.5821973067509765
2020-07,42,5.618519173659443,5.5928513914751115
2020-07,123,13.005656071344498,12.900405568429866
2020-08,7,5.458963697404483,5.135111981721754
2020-08,42,5.403587107753493,5.171809892757902
2020-08,123,21.11324043591635,21.441581407579424
2020-09,7,11.530290261964838,11.061072716316666
2020-09,42,14.011030123372548,13.571016642312188
2020-09,123,26.815600685134243,25.859622325470042
2020-10,7,8.945024910444562,8.521737901460668
2020-10,42,12.102763829091424,11.913900588474513
2020-10,123,23.346393848224732,22.93643392144246
2020-11,7,21.79899571811709,21.366992213110116
2020-11,42,24.1811073445521,23.882504809888758
2020-11,123,33.43948394059224,32.99876720020105
2020-12,7,21.050620066469193,20.713367256937094
2020-12,42,21.460446020986083,21.55929728765835
2020-12,123,35.575655150775454,35.44299081684121
