Seed,Stage,Epoch,Train_MSE
42,Base,1,0.930868923664093
42,Base,2,0.8470785021781921
42,Base,3,0.765294075012207
42,Base,4,0.6834923028945923
42,Base,5,0.5980674624443054
42,Base,6,0.5099601745605469
42,Base,7,0.422130823135376
42,Base,8,0.3398822546005249
42,Base,9,0.2700757682323456
42,Base,10,0.21838225424289703
42,Base,11,0.18809695541858673
42,Base,12,0.18043969571590424
42,Base,13,0.19446052610874176
42,Base,14,0.21444593369960785
42,Base,15,0.22024719417095184
42,Base,16,0.2058885544538498
42,Base,17,0.1790885478258133
42,Base,18,0.15024326741695404
42,Base,19,0.1274542510509491
42,Base,20,0.113895945250988
42,Base,21,0.10856413096189499
42,Base,22,0.108528271317482
42,Base,23,0.11055014282464981
42,Base,24,0.1120324581861496
42,Base,25,0.11123480647802353
42,Base,26,0.10746267437934875
42,Base,27,0.10126060992479324
42,Base,28,0.09401508420705795
42,Base,29,0.08717802166938782
42,Base,30,0.08171346038579941
42,Base,31,0.0781489759683609
42,Base,32,0.07663746923208237
42,Base,33,0.07667207717895508
42,Base,34,0.07709720730781555
42,Base,35,0.07677140831947327
42,Base,36,0.07515734434127808
42,Base,37,0.07231362909078598
42,Base,38,0.06874608248472214
42,Base,39,0.06512950360774994
42,Base,40,0.06226299703121185
42,Base,41,0.06063023954629898
42,Base,42,0.06010327488183975
42,Base,43,0.060124896466732025
42,Base,44,0.060064785182476044
42,Base,45,0.059571925550699234
42,Base,46,0.05861032381653786
42,Base,47,0.057209812104701996
42,Base,48,0.05554680526256561
42,Base,49,0.053958676755428314
42,Base,50,0.05270922929048538
42,Base,51,0.051858507096767426
42,Base,52,0.051289092749357224
42,Base,53,0.05080510303378105
42,Base,54,0.05026435852050781
42,Base,55,0.049691323190927505
42,Base,56,0.0490805059671402
42,Base,57,0.04844043031334877
42,Base,58,0.04780280590057373
42,Base,59,0.0472085103392601
42,Base,60,0.04659895971417427
42,Base,61,0.04603022336959839
42,Base,62,0.04555186629295349
42,Base,63,0.04509619623422623
42,Base,64,0.04464127868413925
42,Base,65,0.044184159487485886
42,Base,66,0.043721918016672134
42,Base,67,0.043273475021123886
42,Base,68,0.04285205528140068
42,Base,69,0.042427510023117065
42,Base,70,0.04197780042886734
42,Base,71,0.04154880717396736
42,Base,72,0.041159216314554214
42,Base,73,0.04077308252453804
42,Base,74,0.04039730131626129
42,Base,75,0.040047574788331985
42,Base,76,0.03971778601408005
42,Base,77,0.03937334567308426
42,Base,78,0.03900709003210068
42,Base,79,0.038647692650556564
42,Base,80,0.03831516206264496
42,Base,81,0.03802090510725975
42,Base,82,0.037752434611320496
42,Base,83,0.03749321028590202
42,Base,84,0.03724011406302452
42,Base,85,0.03698505833745003
42,Base,86,0.0367305688560009
42,Base,87,0.03648654371500015
42,Base,88,0.03625648468732834
42,Base,89,0.03603644296526909
42,Base,90,0.03582550212740898
42,Base,91,0.03562157228589058
42,Base,92,0.035425905138254166
42,Base,93,0.03524768725037575
42,Base,94,0.035076986998319626
42,Base,95,0.034903764724731445
42,Base,96,0.03472687304019928
42,Base,97,0.03455207124352455
42,Base,98,0.03437625616788864
42,Base,99,0.03419744595885277
42,Base,100,0.03402509167790413
42,Stage2,1,0.937282919883728
42,Stage2,2,0.875979483127594
42,Stage2,3,0.8134429454803467
42,Stage2,4,0.7455717325210571
42,Stage2,5,0.6710717082023621
42,Stage2,6,0.5896710157394409
42,Stage2,7,0.5024670362472534
42,Stage2,8,0.41166016459465027
42,Stage2,9,0.3220808804035187
42,Stage2,10,0.24062670767307281
42,Stage2,11,0.17769941687583923
42,Stage2,12,0.14475587010383606
42,Stage2,13,0.14525173604488373
42,Stage2,14,0.1642754226922989
42,Stage2,15,0.17640580236911774
42,Stage2,16,0.16758383810520172
42,Stage2,17,0.14176762104034424
42,Stage2,18,0.11127762496471405
42,Stage2,19,0.08634623140096664
42,Stage2,20,0.07107918709516525
42,Stage2,21,0.064978688955307
42,Stage2,22,0.06554706394672394
42,Stage2,23,0.06961332261562347
42,Stage2,24,0.0740671381354332
42,Stage2,25,0.07670515775680542
42,Stage2,26,0.07651358097791672
42,Stage2,27,0.07361061871051788
42,Stage2,28,0.06881643086671829
42,Stage2,29,0.06346628069877625
42,Stage2,30,0.0589442141354084
42,Stage2,31,0.05609611049294472
42,Stage2,32,0.054953962564468384
42,Stage2,33,0.05486619472503662
42,Stage2,34,0.054981619119644165
42,Stage2,35,0.054565731436014175
42,Stage2,36,0.05313827842473984
42,Stage2,37,0.05070781335234642
42,Stage2,38,0.047814350575208664
42,Stage2,39,0.04516834020614624
42,Stage2,40,0.04325096309185028
42,Stage2,41,0.04223844036459923
42,Stage2,42,0.0420050248503685
42,Stage2,43,0.04223480075597763
42,Stage2,44,0.04255274310708046
42,Stage2,45,0.04265151917934418
42,Stage2,46,0.042376767843961716
42,Stage2,47,0.04177521914243698
42,Stage2,48,0.04101012274622917
42,Stage2,49,0.04027002304792404
42,Stage2,50,0.039681654423475266
42,Stage2,51,0.03926942124962807
42,Stage2,52,0.03897092118859291
42,Stage2,53,0.038683097809553146
42,Stage2,54,0.0383109487593174
42,Stage2,55,0.037812646478414536
42,Stage2,56,0.037244271486997604
42,Stage2,57,0.03670292720198631
42,Stage2,58,0.0362745001912117
42,Stage2,59,0.03599777817726135
42,Stage2,60,0.035869013518095016
42,Stage2,61,0.0358240008354187
42,Stage2,62,0.03577616438269615
42,Stage2,63,0.035659726709127426
42,Stage2,64,0.03545421361923218
42,Stage2,65,0.03519095852971077
42,Stage2,66,0.034922897815704346
42,Stage2,67,0.034697145223617554
42,Stage2,68,0.034531448036432266
42,Stage2,69,0.03441998362541199
42,Stage2,70,0.03434443101286888
42,Stage2,71,0.034269239753484726
42,Stage2,72,0.03417327255010605
42,Stage2,73,0.03404992073774338
42,Stage2,74,0.03391686826944351
42,Stage2,75,0.03379134088754654
42,Stage2,76,0.033683549612760544
42,Stage2,77,0.0335964635014534
42,Stage2,78,0.033522188663482666
42,Stage2,79,0.03344418480992317
42,Stage2,80,0.03335098922252655
42,Stage2,81,0.03324567899107933
42,Stage2,82,0.033137720078229904
42,Stage2,83,0.03303614631295204
42,Stage2,84,0.03294792026281357
42,Stage2,85,0.032871030271053314
42,Stage2,86,0.032800570130348206
42,Stage2,87,0.032729968428611755
42,Stage2,88,0.032654233276844025
42,Stage2,89,0.03257168456912041
42,Stage2,90,0.0324886254966259
42,Stage2,91,0.03241041675209999
42,Stage2,92,0.03233812749385834
42,Stage2,93,0.03227156028151512
42,Stage2,94,0.03220990300178528
42,Stage2,95,0.03214775770902634
42,Stage2,96,0.032083623111248016
42,Stage2,97,0.032017145305871964
42,Stage2,98,0.03195060417056084
42,Stage2,99,0.03188818320631981
42,Stage2,100,0.031827788800001144
7,Base,1,0.9456694722175598
7,Base,2,0.8983954787254333
7,Base,3,0.849496603012085
7,Base,4,0.7969577312469482
7,Base,5,0.7412770390510559
7,Base,6,0.6831930875778198
7,Base,7,0.6226758360862732
7,Base,8,0.5623231530189514
7,Base,9,0.5070328116416931
7,Base,10,0.46198564767837524
7,Base,11,0.42851051688194275
7,Base,12,0.401028037071228
7,Base,13,0.3729585111141205
7,Base,14,0.3430083990097046
7,Base,15,0.3136920928955078
7,Base,16,0.28841865062713623
7,Base,17,0.26788797974586487
7,Base,18,0.24793964624404907
7,Base,19,0.22683672606945038
7,Base,20,0.2060697227716446
7,Base,21,0.18739013373851776
7,Base,22,0.17152918875217438
7,Base,23,0.15806950628757477
7,Base,24,0.146495059132576
7,Base,25,0.13764245808124542
7,Base,26,0.13131530582904816
7,Base,27,0.12504513561725616
7,Base,28,0.11753956228494644
7,Base,29,0.10965382307767868
7,Base,30,0.10239224135875702
7,Base,31,0.09580609947443008
7,Base,32,0.08934038132429123
7,Base,33,0.08297228068113327
7,Base,34,0.0779157429933548
7,Base,35,0.07467621564865112
7,Base,36,0.07185166329145432
7,Base,37,0.06867093592882156
7,Base,38,0.0658048614859581
7,Base,39,0.06381243467330933
7,Base,40,0.062337834388017654
7,Base,41,0.060738421976566315
7,Base,42,0.05922900140285492
7,Base,43,0.05809931457042694
7,Base,44,0.05679828301072121
7,Base,45,0.05503834784030914
7,Base,46,0.05327947437763214
7,Base,47,0.05193711072206497
7,Base,48,0.05102488771080971
7,Base,49,0.05022956430912018
7,Base,50,0.049474574625492096
7,Base,51,0.04898655414581299
7,Base,52,0.04871806502342224
7,Base,53,0.04843025654554367
7,Base,54,0.048093151301145554
7,Base,55,0.047726161777973175
