Date,base_prediction,gold_daily,gold_vs_ma5,gold_vs_ma20,copper_daily,copper_vs_ma5,copper_vs_ma20
2012-06-05,3.7630248,0.0018608113700904205,0.012804255730074487,0.02545541959585851,-0.005583220159951718,-0.013088926827807268,-0.050076397497621494
2012-06-06,3.8159242,0.010896544197813052,0.015006318113449435,0.03534428072224327,0.027162367223065198,0.014325531213474463,-0.020391033155327865
2012-06-07,3.7311156,-0.028294997464842986,-0.01664745950285995,0.0063204089994033374,-0.0023637169448958995,0.011564157104766437,-0.01824525696009316
2012-06-08,3.7320962,0.002205975074913047,-0.010750416885105918,0.008332473904022253,-0.025322079075966286,-0.012334563788601649,-0.038113053136143105
2012-06-11,3.7658854,0.0033960282353142635,-0.005324050700959648,0.010638467119373107,0.01747189304162866,0.0028151298254022183,-0.01835904576935754
2012-06-12,3.7637355,0.01078028904536188,0.005712337075024498,0.01972807928915654,-0.002239808869643034,-0.0021802108532686937,-0.01801722364282965
2012-06-13,3.7844894,0.003348437141167393,0.010933400141777128,0.02050017852531605,0.0010475905417539622,0.0012573720923270137,-0.015056138413399589
2012-06-14,3.777197,0.00018543281172500592,0.007119056583102967,0.019278385773163542,0.004335476154881057,0.006653080795972155,-0.00903492274219131
2012-06-15,3.8190572,0.005313875096517595,0.007842220252368914,0.02355368938505631,0.008484668055969147,0.009356097851673129,0.0005685887921549337
2012-06-18,3.8241193,-0.0007990466061001955,0.0032831624478513177,0.021537274710931253,0.0035424354243542844,0.009862460267950013,0.005635344406809795
2012-06-19,3.8247,-0.0021529188073586836,-4.933137179674585e-05,0.017870116679548298,0.01132519488160022,0.015447322562542443,0.017761989342806483
2012-06-20,3.7914577,-0.0045616462621665965,-0.004205637763223025,0.011111111535747842,-0.013089005235602191,-0.0007068386640749491,0.004485101469869912
2012-06-21,3.6790144,-0.031149397638814857,-0.028767593625256604,-0.020605159232633508,-0.02637783672266425,-0.02387495198416223,-0.02019812551904132
2012-06-22,3.71466,0.014701182486417386,-0.009632294613922121,-0.006788242797780786,0.0027243832299075343,-0.016858101089247013,-0.015550585840273912
2012-06-25,3.731497,0.0,-0.004889362502350725,-0.007995394037669135,0.0031698113207547784,-0.00924269528920696,-0.010386032833265113
2012-06-26,3.6967876,-0.008503937007873996,-0.007353411004764165,-0.017211284214161515,-0.0012037315678603555,-0.0033631613716894604,-0.009468100187272843
2012-06-27,3.7413092,0.0022236340533670074,-0.0004435432771512371,-0.015459310343146293,0.01084664055438389,0.009751399506410685,0.0018663680477790656
2012-06-28,3.682179,-0.0176228518720285,-0.016213427300496575,-0.03242022134822353,-0.007004470938897112,0.0009915269515055058,-0.004571531014700425
2012-06-29,3.841757,0.03471642932390995,0.01587644124621046,0.0017023080869025264,0.04952723998199016,0.03907875185735521,0.041981747066492936
2012-07-02,3.819831,-0.003928935970143432,0.010642991502674004,-0.0017656203138368687,-0.007865007865007989,0.02203759354192436,0.031396800856276386
2012-07-03,3.880531,0.015088967188214397,0.019788191759544382,0.013103582541299286,0.020466993369847364,0.029548627268497052,0.04868691955623361
2012-07-04,3.8228452,-0.007648198384392457,0.008006935152727435,0.00610644692984863,-0.013276836158192085,0.00778995960761697,0.03310337688457077
2012-07-05,3.8229787,0.0,0.0005846007629100036,0.005405424496528699,0.0,-0.0015150215819110802,0.03132658182999215
2012-07-06,3.7787344,-0.01895705111391721,-0.015309362802173987,-0.013293390786514703,-0.02390495276266813,-0.020511936568128886,0.004914783403211054
2012-07-09,3.8040361,0.006462209208125902,-0.00788151771235479,-0.0067028609433877895,0.006452559026250304,-0.012063108193700711,0.010163454249736859
2012-07-10,3.783752,-0.00585416524029736,-0.008488071808077646,-0.011485588941179126,-0.009762494535917265,-0.013642960812772165,-0.0005367923348995607
2012-07-11,3.8139262,-0.0025961486288131885,-0.006859713051953653,-0.012726408016870527,0.01456739258387274,0.0033761168834947064,0.012489078480752314
2012-07-12,3.791233,-0.006538805914861778,-0.007848942756152999,-0.01753481186732997,-0.00942712110224797,-0.0015495716749992505,0.0021201517118940583
2012-07-13,3.8584878,0.017061761617565452,0.007392767041905612,0.00033938256770471575,0.026061493411420278,0.01884159106769001,0.026482306069838257
2012-07-16,3.8227134,-0.0002513347701674773,0.006808205945171064,0.0011734175715918393,-0.005422374429223775,0.010174207948056235,0.01963939582342822
2012-07-17,3.7909958,-0.0013197433700212757,0.004234074888379125,0.0008943721705461094,-0.00846484935437597,-0.001704512624949528,0.010749542961608682
2012-07-18,3.7711608,-0.011767636686911387,-0.006980957790675535,-0.00949880360761024,0.0053537838228912005,0.0021057489831828313,0.01495851349772126
2012-07-19,3.8111045,0.006176739060796965,-0.0027643169600141126,-0.003870801874954921,0.017415083477259508,0.012576634389503294,0.029161267779929334
2012-07-20,3.7760587,0.001518906683846133,-0.00010108636917793845,-0.0022005159843058175,-0.024473051350969,-0.009024544461688655,0.0019978931308803904
2012-07-23,3.7379725,-0.0034123377024092294,-0.0017343621286805,-0.005279203994416393,-0.019721577726218076,-0.022669442516770832,-0.018575918814741854
2012-07-24,3.7318974,-0.0006974672518962333,-0.0007735097963279536,-0.006035681267089199,-0.007988165680473336,-0.024695308182320574,-0.026896036335405937
