Seed,Model,Split,N,MAPE
42,Base,Train,2035,2.7656982058054265
42,Base,Test,271,12.794920365322339
42,Stacking,Train,2035,2.7997430950011317
42,Stacking,Test,271,12.936160033208195
7,Base,Train,2035,2.916634082742734
7,Base,Test,271,10.537793093956182
7,Stacking,Train,2035,2.7379846147875364
7,Stacking,Test,271,10.479996647656797
123,Base,Train,2035,2.8892535083682103
123,Base,Test,271,16.138526349286156
123,Stacking,Train,2035,2.727096675976595
123,Stacking,Test,271,15.917236219780232
