Month,Method,N,MAPE,MSE
2020-01,Original,24,5.060212582841939,0.06766715147885925
2020-02,Original,21,5.981699747249466,0.10020207928946351
2020-03,Original,22,4.90111268037011,0.06877529649368012
2020-04,Original,23,4.757734354761246,0.04760244106529167
2020-05,Original,23,3.716011678116451,0.02774575925152794
2020-06,Original,23,3.736823537173968,0.03195622846459776
2020-07,Original,23,4.725068177567455,0.10967045002695573
2020-08,Original,21,5.735159711698809,0.1746403562876067
2020-09,Original,24,4.153675559327652,0.11306393241121053
2020-10,Original,23,6.152800902010351,0.21567951555192885
2020-11,Original,21,8.40981272039691,0.5760875493714407
2020-12,Original,23,7.705386965950907,0.5215918958889054
2020-01,Features_only,24,3.898838536990416,0.05344603329321631
2020-02,Features_only,21,5.926085527259444,0.083192360638052
2020-03,Features_only,22,3.5132841098671297,0.028014257944370593
2020-04,Features_only,23,3.6028645664696666,0.029640601223894104
2020-05,Features_only,23,2.6612065212872946,0.01861600723422292
2020-06,Features_only,23,3.856668985248335,0.03320015439828389
2020-07,Features_only,23,4.977717076461589,0.12413350861335362
2020-08,Features_only,21,8.204095167377409,0.3509269079794735
2020-09,Features_only,24,3.5445695501309737,0.0785200250158966
2020-10,Features_only,23,6.305209026518495,0.21923526296310974
2020-11,Features_only,21,8.361097409119122,0.5372528434167874
2020-12,Features_only,23,7.096611751256769,0.5406939280751212
2020-01,Triggers_only,24,3.7237834781440085,0.04754165143729073
2020-02,Triggers_only,21,4.681811719247456,0.07281457915222893
2020-03,Triggers_only,22,4.353858609381758,0.057456679511263896
2020-04,Triggers_only,23,3.5327515557528546,0.028159761777354016
2020-05,Triggers_only,23,3.037260932367396,0.02075458224111395
2020-06,Triggers_only,23,2.8252490761431672,0.020161982030336152
2020-07,Triggers_only,23,3.555473031785362,0.0841368350529748
2020-08,Triggers_only,21,5.226776382860029,0.1573674201664578
2020-09,Triggers_only,24,4.153675559327652,0.11306393241121053
2020-10,Triggers_only,23,4.846029268351117,0.13026870883875624
2020-11,Triggers_only,21,6.867345153366998,0.4192136192656579
2020-12,Triggers_only,23,7.705386965950907,0.5215918958889054
2020-01,Features_and_triggers,24,3.5381886510814877,0.048822999182880696
2020-02,Features_and_triggers,21,3.9194189080650825,0.0403166079460941
2020-03,Features_and_triggers,22,2.9175569120172873,0.019086998287957877
2020-04,Features_and_triggers,23,3.167185745545589,0.022025197419374688
2020-05,Features_and_triggers,23,2.4101506015611296,0.016840369473440628
2020-06,Features_and_triggers,23,2.268531405495706,0.012684528227363785
2020-07,Features_and_triggers,23,3.552483363996571,0.08484531382087226
2020-08,Features_and_triggers,21,7.140477043342025,0.3003637937777481
2020-09,Features_and_triggers,24,3.5445695501309737,0.0785200250158966
2020-10,Features_and_triggers,23,4.542429800697514,0.11881328730734149
2020-11,Features_and_triggers,21,6.2458826266776795,0.3271561962784554
2020-12,Features_and_triggers,23,7.096611751256769,0.5406939280751212
