Method,MAPE,MSE,MAE,Updates,Initializations,Models,MAPE_difference_vs_original_pp,MSE_change_vs_original_pct
Original,5.386995938394133,0.16851585570432892,0.3181791594811471,58,1,59,0.0,0.0
Features_only,5.106115413333709,0.1711780851092218,0.30646102440753104,58,1,59,-0.2808805250604234,1.579809445090996
Triggers_only,4.51545377774447,0.13753721611055428,0.2734179417233626,107,1,108,-0.8715421606496632,-18.38321946875343
Features_and_triggers,4.160346237675223,0.13212721572175207,0.25472844095687586,107,1,108,-1.2266497007189097,-21.593600098036404
