Month,Seed,N,MAPE,MSE
2020-01,785634,2035,3.005862306597926,0.019788973450676848
2020-02,785634,2059,2.973285963011982,0.01899185785614791
2020-03,785634,2080,2.9716514992063483,0.018952585441356563
2020-04,798291,2102,2.8647076332363155,0.018789653892576117
2020-05,741131,2125,2.9865730067640865,0.01950310372612338
2020-06,741131,2148,2.967490445705904,0.019559208648734366
2020-07,965409,2171,2.8078555053163927,0.016764717498775204
2020-08,798291,2194,3.061634173643688,0.020862314898082376
2020-09,565766,2215,3.3609377303231347,0.026370945154397397
2020-10,42716,2239,3.2270678307256246,0.0257794805421914
2020-11,385735,2262,3.0932574191587783,0.0232401757543209
2020-12,965409,2283,3.16675992506543,0.024263095700886972
