Month,Seed,Stage,Epoch,Train_MSE,Train_MSE_standardized
2020-01,785634,Base,1,0.4882118353223813,0.9223301884124506
2020-01,785634,Base,2,0.44479636078241647,0.8403096393079418
2020-01,785634,Base,3,0.4049977643469908,0.7651220992013031
2020-01,785634,Base,4,0.36704468259506257,0.6934211069056656
2020-01,785634,Base,5,0.3311178537185077,0.6255481131571758
2020-01,785634,Base,6,0.29867519801724385,0.5642574221484501
2020-01,785634,Base,7,0.26952375415711244,0.5091844911731993
2020-01,785634,Base,8,0.24331050650078054,0.4596624028080088
2020-01,785634,Base,9,0.2193514281888593,0.4143988929649284
2020-01,785634,Base,10,0.19791919683469777,0.3739091044084304
2020-01,785634,Base,11,0.18054119015872003,0.3410785603453119
2020-01,785634,Base,12,0.16699848516201699,0.3154936712715448
2020-01,785634,Base,13,0.15399414779551943,0.2909258667538593
2020-01,785634,Base,14,0.13955655000687603,0.26365034550429856
2020-01,785634,Base,15,0.1250464473140281,0.23623784793192576
2020-01,785634,Base,16,0.11254345756125317,0.21261718972567606
2020-01,785634,Base,17,0.10224536495622756,0.19316202496833226
2020-01,785634,Base,18,0.09380802030139775,0.17722218672157763
2020-01,785634,Base,19,0.08856583570395804,0.16731864740189545
2020-01,785634,Base,20,0.08599435252028806,0.16246059932174672
2020-01,785634,Base,21,0.08409860170156892,0.15887914536404477
2020-01,785634,Base,22,0.08290498344104284,0.1566241607949046
2020-01,785634,Base,23,0.08189654042943631,0.15471900945361422
2020-01,785634,Base,24,0.07943712729919583,0.15007268420772815
2020-01,785634,Base,25,0.07583798734539952,0.14327318613837944
2020-01,785634,Base,26,0.0718498385374672,0.1357387722317437
2020-01,785634,Base,27,0.06729332778158564,0.1271306084800385
2020-01,785634,Base,28,0.06275627409945232,0.1185592030475664
2020-01,785634,Base,29,0.05900137008530081,0.11146543539124538
2020-01,785634,Base,30,0.05581516806150126,0.10544605998837207
2020-01,785634,Base,31,0.05304908519814287,0.10022037403825346
2020-01,785634,Base,32,0.050976528294042485,0.09630489788312879
2020-01,785634,Base,33,0.04961529369824225,0.0937332523997928
2020-01,785634,Base,34,0.04884709323467045,0.0922819674717311
2020-01,785634,Base,35,0.04862932319757081,0.09187055614407236
2020-01,785634,Base,36,0.04865002542772237,0.09190966681377506
2020-01,785634,Base,37,0.048386538109388394,0.09141188636197017
2020-01,785634,Base,38,0.04764972758410995,0.09001990333035113
2020-01,785634,Base,39,0.0465727329615719,0.08798524423105096
2020-01,785634,Base,40,0.04529075466870859,0.08556332981839339
2020-01,785634,Base,41,0.04402934339627415,0.08318027063712263
2020-01,785634,Base,42,0.042995117399401137,0.0812264100595169
2020-01,785634,Base,43,0.04213557330795603,0.07960255867687298
2020-01,785634,Base,44,0.041371652811980436,0.07815935946700532
2020-01,785634,Base,45,0.04076567779457706,0.0770145509811442
2020-01,785634,Base,46,0.040279244372013544,0.07609558057153325
2020-01,785634,Base,47,0.03985318190629797,0.07529066302171714
2020-01,785634,Base,48,0.039464668394801374,0.07455668298613931
2020-01,785634,Base,49,0.03899129959871634,0.07366239427928446
2020-01,785634,Base,50,0.03836432388125447,0.07247791125413457
2020-01,785634,Base,51,0.0376631556564698,0.07115326368501648
2020-01,785634,Base,52,0.03690479709220647,0.06972057208097268
2020-01,785634,Base,53,0.03614577554328885,0.06828662796579157
2020-01,785634,Base,54,0.03546271804546565,0.06699619519648396
2020-01,785634,Base,55,0.03484721265282717,0.06583338191813265
2020-01,785634,Base,56,0.03431477501982799,0.06482750031749973
2020-01,785634,Base,57,0.03385731046293763,0.06396325791200767
2020-01,785634,Base,58,0.03345612328956393,0.0632053347843103
2020-01,785634,Base,59,0.033119031323226744,0.06256850037283233
2020-01,785634,Base,60,0.03283744841422217,0.06203653371670975
2020-01,785634,Base,61,0.032566173433925184,0.061524040807717326
2020-01,785634,Base,62,0.03229425337745132,0.06101032922029739
2020-01,785634,Base,63,0.03199792632003569,0.060450507907245044
2020-01,785634,Base,64,0.03167300357477685,0.05983666359792759
2020-01,785634,Base,65,0.03133855923739401,0.05920483108918043
2020-01,785634,Base,66,0.03099713726832899,0.0585598164330979
2020-01,785634,Base,67,0.030657811931259868,0.0579187627358531
2020-01,785634,Base,68,0.030328319521558036,0.05729628541282776
2020-01,785634,Base,69,0.030015229758015634,0.05670479598200028
2020-01,785634,Base,70,0.02972776707209349,0.05616172124663865
2020-01,785634,Base,71,0.029456818339117452,0.05564984468434498
2020-01,785634,Base,72,0.029201158668305367,0.055166852230477355
2020-01,785634,Base,73,0.028958285182392317,0.054708015447312006
2020-01,785634,Base,74,0.028709008383481636,0.05423708152012788
2020-01,785634,Base,75,0.02844896464142133,0.05374580667536385
2020-01,785634,Base,76,0.028174209295060565,0.053226738656029754
2020-01,785634,Base,77,0.027891831155693412,0.052693269650072365
2020-01,785634,Base,78,0.02759945392242428,0.05214091034794574
2020-01,785634,Base,79,0.027291569035038005,0.051559253973300884
2020-01,785634,Base,80,0.02699294990226516,0.050995102469656835
2020-01,785634,Base,81,0.02673137180046511,0.050500928911249555
2020-01,785634,Base,82,0.026503820838285095,0.050071039452133224
2020-01,785634,Base,83,0.02628131753538837,0.04965068603495805
2020-01,785634,Base,84,0.026057267089402154,0.04922740975382508
2020-01,785634,Base,85,0.02583099025624803,0.04879992738027999
2020-01,785634,Base,86,0.025606410279075457,0.04837565070840769
2020-01,785634,Base,87,0.025390772573223683,0.04796826778264195
2020-01,785634,Base,88,0.02518255471979833,0.04757490244799408
2020-01,785634,Base,89,0.024978746063090248,0.04718986697129875
2020-01,785634,Base,90,0.024780833702344403,0.04681597078163483
2020-01,785634,Base,91,0.02458906469690889,0.04645368062371965
2020-01,785634,Base,92,0.024406057899196795,0.04610794403561933
2020-01,785634,Base,93,0.02422671458896835,0.045769128510993046
2020-01,785634,Base,94,0.024051390696063886,0.04543790647277884
2020-01,785634,Base,95,0.023880780337920866,0.04511558924819279
2020-01,785634,Base,96,0.02371627394996058,0.044804803648941044
2020-01,785634,Base,97,0.023561347252135864,0.04451211600792875
2020-01,785634,Base,98,0.023409533570100824,0.044225309478827496
2020-01,785634,Base,99,0.023256588572872,0.04393636566816045
2020-01,785634,Base,100,0.023102752489598703,0.04364573841702795
2020-01,785634,Stacking,1,0.4906624088473528,0.9269598138690169
2020-01,785634,Stacking,2,0.4603853595063658,0.869760388122188
2020-01,785634,Stacking,3,0.43044079786706285,0.8131890984063848
2020-01,785634,Stacking,4,0.39890789391537307,0.7536171111280574
2020-01,785634,Stacking,5,0.36446622860348354,0.6885498895696591
2020-01,785634,Stacking,6,0.3266026736796873,0.6170180314290845
2020-01,785634,Stacking,7,0.2851378710349655,0.5386826932238207
2020-01,785634,Stacking,8,0.2408035256328849,0.4549262125542315
2020-01,785634,Stacking,9,0.19491139193728482,0.3682267569989152
2020-01,785634,Stacking,10,0.14938840173251164,0.282224687620689
2020-01,785634,Stacking,11,0.10785118245838655,0.2037525398614379
2020-01,785634,Stacking,12,0.0753700318198887,0.14238912418660796
2020-01,785634,Stacking,13,0.057093796571519154,0.10786164598860822
2020-01,785634,Stacking,14,0.05591022874953651,0.10562564871597487
2020-01,785634,Stacking,15,0.06851386990142148,0.12943645762564587
2020-01,785634,Stacking,16,0.08290763222096117,0.15662916487203749
2020-01,785634,Stacking,17,0.08825355304127917,0.16672868274666264
2020-01,785634,Stacking,18,0.08233130089113325,0.15554035926437093
2020-01,785634,Stacking,19,0.06896360245466034,0.1302860927236768
2020-01,785634,Stacking,20,0.05377710078869919,0.1015957416721856
2020-01,785634,Stacking,21,0.0415541445738595,0.07850412304899938
2020-01,785634,Stacking,22,0.034485989214970654,0.06515095831142678
2020-01,785634,Stacking,23,0.03265800373998701,0.06169752669512119
2020-01,785634,Stacking,24,0.034579210710032705,0.0653270724341987
2020-01,785634,Stacking,25,0.038133929695973935,0.07204265037567059
2020-01,785634,Stacking,26,0.04135694114135551,0.07813156616713501
2020-01,785634,Stacking,27,0.04299777459403833,0.08123143003374336
2020-01,785634,Stacking,28,0.0426453966420227,0.08056571732593824
2020-01,785634,Stacking,29,0.04052129462507541,0.07655286210253999
2020-01,785634,Stacking,30,0.03726005912636675,0.07039173339906418
2020-01,785634,Stacking,31,0.0336203920418788,0.06351567144211132
2020-01,785634,Stacking,32,0.030458832528474294,0.057542850689517255
2020-01,785634,Stacking,33,0.028391372273409682,0.05363700312781317
2020-01,785634,Stacking,34,0.02765977954358749,0.052254877559528845
2020-01,785634,Stacking,35,0.02796515972579003,0.052831802043144256
2020-01,785634,Stacking,36,0.02859329700331852,0.05401847948849781
2020-01,785634,Stacking,37,0.02889522047978931,0.0545888735608897
2020-01,785634,Stacking,38,0.028555204564462398,0.053946515222649864
2020-01,785634,Stacking,39,0.027653922202554616,0.052243811866181045
2020-01,785634,Stacking,40,0.026538561394740236,0.05013667133907768
2020-01,785634,Stacking,41,0.025567651006623227,0.04830242665999849
2020-01,785634,Stacking,42,0.024959703904027512,0.04715389250922018
2020-01,785634,Stacking,43,0.024775691455273065,0.04680625604436911
2020-01,785634,Stacking,44,0.02487919525680868,0.047001795508726234
2020-01,785634,Stacking,45,0.025049425642508324,0.047323394889069406
2020-01,785634,Stacking,46,0.025116643840123135,0.04745038356157849
2020-01,785634,Stacking,47,0.024979343465238463,0.047190995583913306
2020-01,785634,Stacking,48,0.024627500296638967,0.04652629318936419
2020-01,785634,Stacking,49,0.024133522137184803,0.04559306925680602
2020-01,785634,Stacking,50,0.023636866791944024,0.044654787582725966
2020-01,785634,Stacking,51,0.023254535463363642,0.04393248693204086
2020-01,785634,Stacking,52,0.023052045194856617,0.04354994215538577
2020-01,785634,Stacking,53,0.022999411979115182,0.04345050744225659
2020-01,785634,Stacking,54,0.023005619032050367,0.04346223381160898
2020-01,785634,Stacking,55,0.02296808136528834,0.043391317621643354
2020-01,785634,Stacking,56,0.022825368110834323,0.04312170362758152
2020-01,785634,Stacking,57,0.022603561503650164,0.04270266640850181
2020-01,785634,Stacking,58,0.022361422550068497,0.04224521730440236
2020-01,785634,Stacking,59,0.022194082652004194,0.041929078635603696
2020-01,785634,Stacking,60,0.022115667415228923,0.04178093650778825
2020-01,785634,Stacking,61,0.022091447454458138,0.04173518013859595
2020-01,785634,Stacking,62,0.02204465758051859,0.04164678467145624
2020-01,785634,Stacking,63,0.02193968239988994,0.04144846547654381
2020-01,785634,Stacking,64,0.021800303682150416,0.04118515109190073
2020-01,785634,Stacking,65,0.02165695136808899,0.040914329785919225
2020-01,785634,Stacking,66,0.02154498024664014,0.040702793854033276
2020-01,785634,Stacking,67,0.021483076402992414,0.04058584506327452
2020-01,785634,Stacking,68,0.02145337037841177,0.04052972441796006
2020-01,785634,Stacking,69,0.021428598807463724,0.040482925946381226
2020-01,785634,Stacking,70,0.02137702740607414,0.04038549721377187
2020-01,785634,Stacking,71,0.02128363791225648,0.040209065707616946
2020-01,785634,Stacking,72,0.02117274398398071,0.03999956480993214
2020-01,785634,Stacking,73,0.021082438519128405,0.03982895965375664
2020-01,785634,Stacking,74,0.02101398799233623,0.03969964286398347
2020-01,785634,Stacking,75,0.020954162343156307,0.039586620199869686
2020-01,785634,Stacking,76,0.020895419504091167,0.03947564318148779
2020-01,785634,Stacking,77,0.020824994910353393,0.03934259698286759
2020-01,785634,Stacking,78,0.020747968756072155,0.03919707911080702
2020-01,785634,Stacking,79,0.020677149728366286,0.03906328774721992
2020-01,785634,Stacking,80,0.020616248668674616,0.03894823341671021
2020-01,785634,Stacking,81,0.020560806785979265,0.03884349256773308
2020-01,785634,Stacking,82,0.020507478375479518,0.03874274449211241
2020-01,785634,Stacking,83,0.020455619661780142,0.0386447729688584
2020-01,785634,Stacking,84,0.020400379302376516,0.03854041283784462
2020-01,785634,Stacking,85,0.02035338957987899,0.038451639816649896
2020-01,785634,Stacking,86,0.020307347118899654,0.03836465636267032
2020-01,785634,Stacking,87,0.020256760017591996,0.03826908717056026
2020-01,785634,Stacking,88,0.020208418503647615,0.03817776034388671
2020-01,785634,Stacking,89,0.020164188746949564,0.03809420145228013
2020-01,785634,Stacking,90,0.020124251221196505,0.03801875144679589
2020-01,785634,Stacking,91,0.020087987011849863,0.037950241073594404
2020-01,785634,Stacking,92,0.020054259970442054,0.03788652392008518
2020-01,785634,Stacking,93,0.020019277676964983,0.03782043534336622
2020-01,785634,Stacking,94,0.019984215850993654,0.03775419651379572
2020-01,785634,Stacking,95,0.01994931932450442,0.03768826996813854
2020-01,785634,Stacking,96,0.019915001417773776,0.03762343655139047
2020-01,785634,Stacking,97,0.019882851123082034,0.037562698189033954
2020-01,785634,Stacking,98,0.019850910675948498,0.03750235627085166
2020-01,785634,Stacking,99,0.01981987813448296,0.037443729568780976
2020-01,785634,Stacking,100,0.019788973450676848,0.03738534441550238
2020-02,785634,Base,1,0.49338657036962896,0.9216390627309499
2020-02,785634,Base,2,0.44954736003575974,0.8397480443096278
2020-02,785634,Base,3,0.40927780109582534,0.7645250836802266
2020-02,785634,Base,4,0.37090328227314695,0.6928420309088705
2020-02,785634,Base,5,0.3347225358528018,0.625256913635063
2020-02,785634,Base,6,0.3021123838774224,0.5643416157590254
2020-02,785634,Base,7,0.27277672244912243,0.5095430194309662
2020-02,785634,Base,8,0.24618584023566037,0.4598716314520752
2020-02,785634,Base,9,0.22181347019245762,0.41434439250367605
2020-02,785634,Base,10,0.20030483671485838,0.3741665725357203
2020-02,785634,Base,11,0.18311088118958302,0.3420485093239862
2020-02,785634,Base,12,0.16973290004924005,0.3170586317312884
2020-02,785634,Base,13,0.15656791440338516,0.2924666266784914
2020-02,785634,Base,14,0.14177976626061536,0.264842577277191
2020-02,785634,Base,15,0.12723859596234863,0.2376798789599961
2020-02,785634,Base,16,0.11507339061376298,0.21495544921518078
2020-02,785634,Base,17,0.10513197594068992,0.19638502867323818
2020-02,785634,Base,18,0.09690504387911954,0.1810172371488427
2020-02,785634,Base,19,0.09163519555186132,0.17117323578206473
2020-02,785634,Base,20,0.08885147189444045,0.1659732797706855
2020-02,785634,Base,21,0.08666136344122155,0.16188218847772304
2020-02,785634,Base,22,0.08493727802330255,0.15866162155501867
2020-02,785634,Base,23,0.08333197852271525,0.15566294502838493
2020-02,785634,Base,24,0.08048951385064834,0.1503532616410828
2020-02,785634,Base,25,0.07665831080303696,0.14319662909778677
2020-02,785634,Base,26,0.07267831597304933,0.13576205563131444
2020-02,785634,Base,27,0.06853960837263459,0.1280310089777623
2020-02,785634,Base,28,0.06436933096636831,0.12024099037802638
2020-02,785634,Base,29,0.0608647411293418,0.11369446664465087
2020-02,785634,Base,30,0.0579221980189156,0.10819783816466022
2020-02,785634,Base,31,0.05512241723172178,0.10296788766432882
2020-02,785634,Base,32,0.05267654411723108,0.0983990316391045
2020-02,785634,Base,33,0.050893926119667685,0.09506912669408174
2020-02,785634,Base,34,0.04968567955656806,0.09281213938060708
2020-02,785634,Base,35,0.048987704591498996,0.09150833212023922
2020-02,785634,Base,36,0.04866346468377217,0.09090265660614193
2020-02,785634,Base,37,0.0482522376512415,0.09013449038599683
2020-02,785634,Base,38,0.04743854478471325,0.08861452373936489
2020-02,785634,Base,39,0.04638365487057925,0.08664400445462142
2020-02,785634,Base,40,0.045251429984578144,0.08452902454758228
2020-02,785634,Base,41,0.044063951213537046,0.0823108311728917
2020-02,785634,Base,42,0.04294177785107377,0.08021462736818037
2020-02,785634,Base,43,0.04195240193857973,0.07836648730227533
2020-02,785634,Base,44,0.04104670250955273,0.07667465371171156
2020-02,785634,Base,45,0.040255775909263526,0.07519721412507381
2020-02,785634,Base,46,0.039536435302918935,0.07385349615212804
2020-02,785634,Base,47,0.03878643116098861,0.07245249913290405
2020-02,785634,Base,48,0.0380449300863243,0.07106738572182027
2020-02,785634,Base,49,0.03730268540953049,0.069680883272585
2020-02,785634,Base,50,0.03652292485907674,0.06822430170747193
2020-02,785634,Base,51,0.03578509314978781,0.06684604261847245
2020-02,785634,Base,52,0.03509414326237187,0.06555535810276905
2020-02,785634,Base,53,0.03442662353784181,0.06430844079650874
2020-02,785634,Base,54,0.033808212171894725,0.06315325720230057
2020-02,785634,Base,55,0.03323007606911054,0.062073307224128765
2020-02,785634,Base,56,0.03273203481955055,0.061142973287187714
2020-02,785634,Base,57,0.03231310436001491,0.06036041717548281
2020-02,785634,Base,58,0.03191151903254571,0.059610261522608156
2020-02,785634,Base,59,0.031552358351354996,0.05893935450271414
2020-02,785634,Base,60,0.03118787804761457,0.058258510503917095
2020-02,785634,Base,61,0.030782824192599468,0.05750187569115354
2020-02,785634,Base,62,0.030357082004611555,0.056706595368042505
2020-02,785634,Base,63,0.02991115178291001,0.05587360408645063
2020-02,785634,Base,64,0.029487601978244106,0.055082419104054946
2020-02,785634,Base,65,0.02908823739097009,0.054336411762129506
2020-02,785634,Base,66,0.028732682735927623,0.05367224074754865
2020-02,785634,Base,67,0.028421111589347486,0.05309023029823099
2020-02,785634,Base,68,0.028132072144172484,0.05255030874514982
2020-02,785634,Base,69,0.02785396030706157,0.05203079980777186
2020-02,785634,Base,70,0.027582563610203028,0.0515238346564229
