Month,Selected_seed,N,No_refit_MAPE,Refit_MAPE,Refit_minus_no_refit_pp,Improved
2020-01,785634,24,12.441958952906207,8.46358518636093,-3.9783737665452765,True
2020-02,785634,21,14.29536350790548,6.280268713336848,-8.015094794568633,True
2020-03,785634,22,5.680406837899033,10.849078960368532,5.1686721224694985,False
2020-04,798291,23,3.7448475381416477,7.381918101475509,3.637070563333861,False
2020-05,741131,23,3.649746688185243,4.241322312122902,0.5915756239376591,False
2020-06,741131,23,13.36278286339846,9.288946061270781,-4.073836802127678,True
2020-07,965409,23,13.347015244717273,14.016983526488456,0.6699682817711832,False
2020-08,798291,21,7.689323432114841,5.475063343304565,-2.214260088810276,True
2020-09,565766,24,14.598264169712534,11.492996398514187,-3.1052677711983474,True
2020-10,42716,23,12.455561705459608,3.690894855062407,-8.764666850397202,True
2020-11,385735,21,21.183423413709697,13.573875472710556,-7.609547940999141,True
2020-12,965409,23,16.19475499695876,3.0789620683476198,-13.11579292861114,True
