Period,Baseline,Expanded,Difference_pp,Relative_improvement_pct,Years_better,Baseline_updates,Expanded_updates,Pooled_baseline,Pooled_expanded
2015—2025完整年份,3.567869863350775,3.1824118778809196,-0.38545798546985527,10.80358870230349,8,888,1818,3.5691419175105037,3.183266644059832
2015—2026（2026截至7月23日）,3.693692154994482,3.2551450539647706,-0.4385471010297124,11.872865486007633,9,947,1917,3.642543488485486,3.2256915371447183
