Year,Method,Anchor,Effective_date,Trigger_date,Seed,Train_start,Train_end,Train_N,Applied_start,Applied_end,Applied_N,Validation_MAPE,Selection_source
2020,Monthly_equal,2020-01-01,2020-01-01,,785634,2012-06-05,2019-12-31,2035,2020-01-01,2020-01-31,24,6.0255549114301905,reused 12 crossing selection
2020,Monthly_equal,2020-02-01,2020-02-03,,785634,2012-06-05,2020-01-31,2059,2020-02-03,2020-02-28,21,9.254464085681342,reused 12 monthly selection
2020,Monthly_equal,2020-03-01,2020-03-02,,785634,2012-06-05,2020-02-28,2080,2020-03-02,2020-03-31,22,12.546828412026835,reused 12 monthly selection
2020,Monthly_equal,2020-04-01,2020-04-01,,798291,2012-06-05,2020-03-31,2102,2020-04-01,2020-04-30,23,6.7914785696999385,reused 12 monthly selection
2020,Monthly_equal,2020-05-01,2020-05-01,,741131,2012-06-05,2020-04-30,2125,2020-05-01,2020-05-29,23,4.5830558475575724,reused 12 monthly selection
2020,Monthly_equal,2020-06-01,2020-06-01,,741131,2012-06-05,2020-05-29,2148,2020-06-01,2020-06-30,23,4.615877514803471,reused 12 monthly selection
2020,Monthly_equal,2020-07-01,2020-07-01,,965409,2012-06-05,2020-06-30,2171,2020-07-01,2020-07-31,23,2.9152995528320744,reused 12 crossing selection
2020,Monthly_equal,2020-08-01,2020-08-03,,798291,2012-06-05,2020-07-31,2194,2020-08-03,2020-08-31,21,3.8529897615542144,reused 12 monthly selection
2020,Monthly_equal,2020-09-01,2020-09-01,,565766,2012-06-05,2020-08-31,2215,2020-09-01,2020-09-30,24,5.680123151391736,reused 12 monthly selection
2020,Monthly_equal,2020-10-01,2020-10-01,,42716,2012-06-05,2020-09-30,2239,2020-10-01,2020-10-30,23,8.844332522183251,reused 12 monthly selection
2020,Monthly_equal,2020-11-01,2020-11-02,,385735,2012-06-05,2020-10-30,2262,2020-11-02,2020-11-30,21,8.294102148674657,reused 12 monthly selection
2020,Monthly_equal,2020-12-01,2020-12-01,,965409,2012-06-05,2020-11-30,2283,2020-12-01,2020-12-31,23,10.996075408859776,reused 12 monthly selection
2020,Monthly_H60,2020-01-01,2020-01-01,,785634,2012-06-05,2019-12-31,2035,2020-01-01,2020-01-31,24,6.0255549114301905,reused 12 crossing selection
2020,Monthly_H60,2020-02-01,2020-02-03,,785634,2012-06-05,2020-01-31,2059,2020-02-03,2020-02-28,21,9.254464085681342,reused 12 monthly selection
2020,Monthly_H60,2020-03-01,2020-03-02,,785634,2012-06-05,2020-02-28,2080,2020-03-02,2020-03-31,22,12.546828412026835,reused 12 monthly selection
2020,Monthly_H60,2020-04-01,2020-04-01,,798291,2012-06-05,2020-03-31,2102,2020-04-01,2020-04-30,23,6.7914785696999385,reused 12 monthly selection
2020,Monthly_H60,2020-05-01,2020-05-01,,741131,2012-06-05,2020-04-30,2125,2020-05-01,2020-05-29,23,4.5830558475575724,reused 12 monthly selection
2020,Monthly_H60,2020-06-01,2020-06-01,,741131,2012-06-05,2020-05-29,2148,2020-06-01,2020-06-30,23,4.615877514803471,reused 12 monthly selection
2020,Monthly_H60,2020-07-01,2020-07-01,,965409,2012-06-05,2020-06-30,2171,2020-07-01,2020-07-31,23,2.9152995528320744,reused 12 crossing selection
2020,Monthly_H60,2020-08-01,2020-08-03,,798291,2012-06-05,2020-07-31,2194,2020-08-03,2020-08-31,21,3.8529897615542144,reused 12 monthly selection
2020,Monthly_H60,2020-09-01,2020-09-01,,565766,2012-06-05,2020-08-31,2215,2020-09-01,2020-09-30,24,5.680123151391736,reused 12 monthly selection
2020,Monthly_H60,2020-10-01,2020-10-01,,42716,2012-06-05,2020-09-30,2239,2020-10-01,2020-10-30,23,8.844332522183251,reused 12 monthly selection
2020,Monthly_H60,2020-11-01,2020-11-02,,385735,2012-06-05,2020-10-30,2262,2020-11-02,2020-11-30,21,8.294102148674657,reused 12 monthly selection
2020,Monthly_H60,2020-12-01,2020-12-01,,965409,2012-06-05,2020-11-30,2283,2020-12-01,2020-12-31,23,10.996075408859776,reused 12 monthly selection
2020,Crossing_H60,2020-01-01,2020-01-01,,785634,2012-06-05,2019-12-31,2035,2020-01-01,2020-01-03,3,6.0255549114301905,reused 12 crossing selection
2020,Crossing_H60,2020-01-06,2020-01-06,2020-01-03,785634,2012-06-05,2020-01-03,2038,2020-01-06,2020-01-09,4,6.230528301467817,reused 12 crossing selection
2020,Crossing_H60,2020-01-10,2020-01-10,2020-01-09,785634,2012-06-05,2020-01-09,2042,2020-01-10,2020-01-23,11,6.75883832543513,reused 12 crossing selection
2020,Crossing_H60,2020-01-24,2020-01-24,2020-01-23,965409,2012-06-05,2020-01-23,2053,2020-01-24,2020-02-11,13,9.180832141004542,reused 12 crossing selection
2020,Crossing_H60,2020-02-12,2020-02-12,2020-02-11,785634,2012-06-05,2020-02-11,2066,2020-02-12,2020-02-21,9,10.214028215388735,reused 12 crossing selection
2020,Crossing_H60,2020-02-24,2020-02-24,2020-02-21,785634,2012-06-05,2020-02-21,2075,2020-02-24,2020-02-26,3,12.407998868843386,reused 12 crossing selection
2020,Crossing_H60,2020-02-27,2020-02-27,2020-02-26,785634,2012-06-05,2020-02-26,2078,2020-02-27,2020-03-05,6,12.301034377399684,reused 12 crossing selection
2020,Crossing_H60,2020-03-06,2020-03-06,2020-03-05,785634,2012-06-05,2020-03-05,2084,2020-03-06,2020-03-10,3,12.19334681727508,reused 12 crossing selection
2020,Crossing_H60,2020-03-11,2020-03-11,2020-03-10,785634,2012-06-05,2020-03-10,2087,2020-03-11,2020-03-12,2,11.998092745676272,reused 12 crossing selection
2020,Crossing_H60,2020-03-13,2020-03-13,2020-03-12,785634,2012-06-05,2020-03-12,2089,2020-03-13,2020-03-13,1,11.80469593857558,reused 12 crossing selection
2020,Crossing_H60,2020-03-16,2020-03-16,2020-03-13,965409,2012-06-05,2020-03-13,2090,2020-03-16,2020-03-23,6,11.549462368128122,reused 12 crossing selection
2020,Crossing_H60,2020-03-24,2020-03-24,2020-03-23,798291,2012-06-05,2020-03-23,2096,2020-03-24,2020-03-24,1,8.734532909317215,reused 12 crossing selection
2020,Crossing_H60,2020-03-25,2020-03-25,2020-03-24,798291,2012-06-05,2020-03-24,2097,2020-03-25,2020-03-25,1,8.308206034053143,reused 12 crossing selection
2020,Crossing_H60,2020-03-26,2020-03-26,2020-03-25,798291,2012-06-05,2020-03-25,2098,2020-03-26,2020-03-26,1,7.859908955573832,reused 12 crossing selection
2020,Crossing_H60,2020-03-27,2020-03-27,2020-03-26,798291,2012-06-05,2020-03-26,2099,2020-03-27,2020-03-27,1,7.515917435665198,reused 12 crossing selection
2020,Crossing_H60,2020-03-30,2020-03-30,2020-03-27,798291,2012-06-05,2020-03-27,2100,2020-03-30,2020-04-03,5,7.1191287340130405,reused 12 crossing selection
2020,Crossing_H60,2020-04-06,2020-04-06,2020-04-03,42716,2012-06-05,2020-04-03,2105,2020-04-06,2020-04-06,1,6.988400920699596,reused 12 crossing selection
2020,Crossing_H60,2020-04-07,2020-04-07,2020-04-06,42716,2012-06-05,2020-04-06,2106,2020-04-07,2020-04-13,5,6.618998048227463,reused 12 crossing selection
2020,Crossing_H60,2020-04-14,2020-04-14,2020-04-13,741131,2012-06-05,2020-04-13,2111,2020-04-14,2020-04-17,4,4.835267551910782,reused 12 crossing selection
2020,Crossing_H60,2020-04-20,2020-04-20,2020-04-17,741131,2012-06-05,2020-04-17,2115,2020-04-20,2020-04-21,2,4.155202874656397,reused 12 crossing selection
2020,Crossing_H60,2020-04-22,2020-04-22,2020-04-21,741131,2012-06-05,2020-04-21,2117,2020-04-22,2020-04-22,1,4.217643676216915,reused 12 crossing selection
2020,Crossing_H60,2020-04-23,2020-04-23,2020-04-22,741131,2012-06-05,2020-04-22,2118,2020-04-23,2020-04-24,2,4.168258608093672,reused 12 crossing selection
2020,Crossing_H60,2020-04-26,2020-04-26,2020-04-24,741131,2012-06-05,2020-04-24,2120,2020-04-26,2020-05-08,11,4.539215650337716,reused 12 crossing selection
2020,Crossing_H60,2020-05-09,2020-05-09,2020-05-08,741131,2012-06-05,2020-05-08,2131,2020-05-09,2020-05-09,1,4.069959007010132,reused 12 crossing selection
2020,Crossing_H60,2020-05-11,2020-05-11,2020-05-09,741131,2012-06-05,2020-05-09,2132,2020-05-11,2020-05-20,8,4.1502469878925945,reused 12 crossing selection
2020,Crossing_H60,2020-05-21,2020-05-21,2020-05-20,741131,2012-06-05,2020-05-20,2140,2020-05-21,2020-05-21,1,3.130108454874968,reused 12 crossing selection
2020,Crossing_H60,2020-05-22,2020-05-22,2020-05-21,741131,2012-06-05,2020-05-21,2141,2020-05-22,2020-06-01,8,3.3505421878085957,reused 12 crossing selection
2020,Crossing_H60,2020-06-02,2020-06-02,2020-06-01,741131,2012-06-05,2020-06-01,2149,2020-06-02,2020-06-26,19,4.710699524537925,reused 12 crossing selection
2020,Crossing_H60,2020-06-28,2020-06-28,2020-06-26,565766,2012-06-05,2020-06-26,2168,2020-06-28,2020-06-28,1,3.5628607246636546,reused 12 crossing selection
2020,Crossing_H60,2020-06-29,2020-06-29,2020-06-28,965409,2012-06-05,2020-06-28,2169,2020-06-29,2020-06-29,1,3.536297576673073,reused 12 crossing selection
2020,Crossing_H60,2020-06-30,2020-06-30,2020-06-29,965409,2012-06-05,2020-06-29,2170,2020-06-30,2020-06-30,1,3.5139059226453906,reused 12 crossing selection
2020,Crossing_H60,2020-07-01,2020-07-01,2020-06-30,965409,2012-06-05,2020-06-30,2171,2020-07-01,2020-07-03,3,2.9152995528320744,reused 12 crossing selection
2020,Crossing_H60,2020-07-06,2020-07-06,2020-07-03,965409,2012-06-05,2020-07-03,2174,2020-07-06,2020-07-06,1,2.7963888340994885,reused 12 crossing selection
2020,Crossing_H60,2020-07-07,2020-07-07,2020-07-06,965409,2012-06-05,2020-07-06,2175,2020-07-07,2020-07-22,12,2.7111889576381056,reused 12 crossing selection
2020,Crossing_H60,2020-07-23,2020-07-23,2020-07-22,798291,2012-06-05,2020-07-22,2187,2020-07-23,2020-07-24,2,3.816240368640683,reused 12 crossing selection
2020,Crossing_H60,2020-07-27,2020-07-27,2020-07-24,798291,2012-06-05,2020-07-24,2189,2020-07-27,2020-08-07,10,3.821786141327306,reused 12 crossing selection
