Trigger_date,Effective_date,Gold_trigger,Copper_trigger
2020-01-03,2020-01-06,True,False
2020-01-09,2020-01-10,True,False
2020-01-23,2020-01-24,False,True
2020-02-11,2020-02-12,False,True
2020-02-21,2020-02-24,True,False
2020-02-26,2020-02-27,True,False
2020-03-05,2020-03-06,True,False
2020-03-10,2020-03-11,True,False
2020-03-12,2020-03-13,False,True
2020-03-13,2020-03-16,True,False
2020-03-23,2020-03-24,True,False
2020-03-24,2020-03-25,True,False
2020-03-25,2020-03-26,True,False
2020-03-26,2020-03-27,True,False
2020-03-27,2020-03-30,True,False
2020-04-03,2020-04-06,True,False
2020-04-06,2020-04-07,False,True
2020-04-13,2020-04-14,False,True
2020-04-17,2020-04-20,True,False
2020-04-21,2020-04-22,False,True
2020-04-22,2020-04-23,True,False
2020-04-24,2020-04-26,True,False
2020-05-08,2020-05-09,False,True
2020-05-09,2020-05-11,False,True
2020-05-20,2020-05-21,False,True
2020-05-21,2020-05-22,False,True
2020-06-01,2020-06-02,False,True
2020-06-26,2020-06-28,False,True
2020-06-28,2020-06-29,False,True
2020-06-29,2020-06-30,False,True
2020-06-30,2020-07-01,False,True
2020-07-03,2020-07-06,False,True
2020-07-06,2020-07-07,False,True
2020-07-22,2020-07-23,True,False
2020-07-24,2020-07-27,False,True
2020-08-07,2020-08-10,False,True
2020-08-10,2020-08-11,False,True
2020-08-11,2020-08-12,True,False
2020-08-19,2020-08-20,False,True
2020-08-20,2020-08-21,False,True
2020-08-28,2020-08-31,False,True
2020-09-01,2020-09-02,False,True
2020-09-04,2020-09-06,False,True
2020-09-08,2020-09-09,False,True
2020-09-23,2020-09-24,True,False
2020-09-27,2020-09-28,True,False
2020-10-01,2020-10-02,False,True
2020-10-02,2020-10-05,False,True
2020-10-20,2020-10-21,False,True
2020-10-23,2020-10-26,False,True
2020-11-16,2020-11-17,False,True
2020-11-17,2020-11-18,False,True
2020-11-20,2020-11-23,False,True
2020-11-24,2020-11-25,True,False
2020-12-01,2020-12-02,True,False
2020-12-17,2020-12-18,True,False
2020-12-18,2020-12-21,True,False
2020-12-21,2020-12-22,False,True
