Year,Seed,Base,DirectReturns,Stacking,Stacking_minus_Base,DirectReturns_minus_Base
2015,0,6.686113242319023,12.016060363149816,7.783494285185134,1.097381042866111,5.329947120830792
2015,1,12.689791601394864,11.548549960895276,12.968161475226706,0.2783698738318421,-1.1412416404995884
2015,7,9.413066746478279,9.542077946991435,10.111815801154568,0.6987490546762896,0.1290112005131565
2015,21,6.371723093799606,6.3681192927332875,7.17138764504288,0.7996645512432741,-0.0036038010663181907
2015,42,5.921933729649192,11.072198867033414,6.216826805850691,0.2948930762014994,5.150265137384222
2015,100,6.522243916147404,8.569505303272479,7.406831947120231,0.8845880309728269,2.047261387125075
2015,123,7.695723139695875,9.944491700455089,9.551270121093705,1.8555469813978291,2.2487685607592134
2015,999,4.932195369921552,13.149137004147427,6.429557538559916,1.4973621686383636,8.216941634225876
2015,2024,6.084046053830459,13.300847105543461,7.229021483946033,1.144975430115574,7.216801051713002
2015,2025,14.646664099975354,12.160277732662232,15.026735552687295,0.38007145271194176,-2.4863863673131217
2016,0,9.906153393548246,3.9539128596186046,10.791824020112792,0.8856706265645453,-5.952240533929642
2016,1,6.451428154434972,5.781907485353691,6.4585524607256275,0.007124306290655191,-0.6695206690812814
2016,7,14.083976636586184,4.780281374727591,14.159532277304368,0.07555564071818388,-9.303695261858593
2016,21,8.94202228463718,5.425215427230703,9.024237088857301,0.08221480422012206,-3.5168068574064764
2016,42,5.2842714106056325,10.158057856953647,5.787739421616697,0.5034680110110648,4.8737864463480145
2016,100,7.669790273520212,10.260158134751396,7.855679957236436,0.1858896837162245,2.5903678612311847
2016,123,4.351089335495191,4.736884856490678,4.554763019588092,0.20367368409290165,0.38579552099548753
2016,999,7.581383026640742,11.424820677735994,7.939788723957091,0.35840569731634897,3.843437651095252
2016,2024,6.4896836121427866,8.687351750073102,6.727187645364789,0.23750403322200242,2.1976681379303153
2016,2025,12.07187829449537,7.077391327821084,12.21284221382883,0.1409639193334602,-4.994486966674287
2017,0,12.716081367125721,13.583090882472938,13.119750634624058,0.4036692674983371,0.8670095153472168
2017,1,9.909186900536824,14.591747429113392,10.09647931079852,0.18729241026169596,4.682560528576568
2017,7,13.642178362688082,10.663837712121238,13.66061783564707,0.01843947295898829,-2.978340650566844
2017,21,13.497298873965333,14.756255278630654,13.775985438562689,0.27868656459735597,1.2589564046653212
2017,42,13.955567096186499,14.678255383179609,14.270722542925451,0.31515544673895235,0.7226882869931099
2017,100,12.519044300139853,12.71154160359508,13.026745691798824,0.507701391658971,0.19249730345522664
2017,123,13.760746849637782,11.314270990094203,14.870148384618695,1.109401534980913,-2.446475859543579
2017,999,11.696117545824745,12.514075762358026,11.945431014525019,0.24931346870027404,0.817958216533281
2017,2024,15.493111884119443,15.4412279159347,16.25981185245331,0.7666999683338673,-0.05188396818474317
2017,2025,14.93096704187602,9.995932865479048,15.415243847825888,0.4842768059498681,-4.935034176396972
2018,0,8.035021692164316,8.466119700076128,8.469990341562196,0.4349686493978808,0.4310980079118121
2018,1,5.06958283195726,6.600162408784212,4.943304793514745,-0.12627803844251506,1.530579576826952
2018,7,5.018811331381366,9.21213418427133,5.151083193945027,0.13227186256366075,4.193322852889963
2018,21,9.97079792734983,9.076615846837473,10.632937917030809,0.6621399896809788,-0.8941820805123566
2018,42,7.171223532461089,7.648353811812777,7.311284849042159,0.14006131658107002,0.4771302793516883
2018,100,5.564312595981061,6.2767726694139085,5.6032086826058825,0.03889608662482136,0.7124600734328475
2018,123,6.044838517571449,7.104365697138775,5.855172014461893,-0.18966650310955657,1.0595271795673256
2018,999,10.55468272378437,7.293331273220055,10.841188627699303,0.28650590391493225,-3.261351450564316
2018,2024,8.349965386341951,7.370281995452056,8.565565752018577,0.21560036567662522,-0.9796833908898952
2018,2025,9.394084975249125,5.2683427643117,9.667124701134947,0.2730397258858215,-4.1257422109374255
2019,0,10.312366312335156,7.523181247090408,10.717440093768536,0.40507378143338,-2.789185065244748
2019,1,7.75509035698809,9.561605113137023,7.5572061993236614,-0.19788415766442835,1.8065147561489336
2019,7,7.172619420064782,12.522393254907909,7.302949581110838,0.13033016104605544,5.349773834843127
2019,21,10.787968040092569,10.276411120939823,10.879755335432831,0.09178729534026253,-0.5115569191527456
2019,42,7.476557768948795,7.554408800616269,7.490123092207278,0.01356532325848292,0.07785103166747387
2019,100,8.331444026857296,6.22721095675176,7.970702429374906,-0.36074159748239065,-2.1042330701055363
2019,123,11.430734323357106,7.874728276949301,11.395531746930416,-0.03520257642668945,-3.5560060464078047
2019,999,13.016637643987178,10.257895858662064,13.06283706228647,0.04619941829929175,-2.758741785325114
2019,2024,17.42693686234047,6.0432702435318095,17.62567829671505,0.19874143437458258,-11.38366661880866
2019,2025,11.188024910391597,6.065525230358351,11.238737819248183,0.050712908856585415,-5.122499680033246
2020,0,13.513791961565847,16.657778045847408,13.935275840342523,0.4214838787766766,3.1439860842815612
2020,1,14.941057692324925,14.870247534257091,14.719575024041612,-0.2214826682833131,-0.0708101580678342
2020,7,10.630306580250302,18.64305722928183,10.586170181405313,-0.04413639884498899,8.012750649031528
2020,21,11.013948859890498,14.51768843425599,11.052819127462723,0.038870267572225004,3.5037395743654933
2020,42,13.211029900403837,13.998160349258946,13.331717832824532,0.12068793242069553,0.787130448855109
2020,100,15.696858119872767,17.476879876833472,15.84500364442078,0.14814552454801344,1.7800217569607053
2020,123,16.243884064940545,15.368347539153731,16.059216085552396,-0.1846679793881485,-0.8755365257868135
2020,999,10.05546526758828,18.015794881796463,10.270414218279411,0.21494895069113085,7.960329614208183
2020,2024,16.18628323907775,15.254999425054647,15.868703142969512,-0.31758009610823734,-0.9312838140231019
2020,2025,13.058727718444505,14.423813151512274,13.08795230449051,0.02922458604600564,1.3650854330677689
2021,0,7.447059079653267,14.460622829157394,8.4912590863076,1.044200006654333,7.013563749504127
2021,1,7.53719944670326,10.240164371231515,8.71838629608498,1.181186849381719,2.7029649245282545
2021,7,7.3002568688053575,6.351185151460831,8.410055984460728,1.1097991156553704,-0.9490717173445269
2021,21,9.00996196694871,9.809205952777893,10.589195421700614,1.579233454751904,0.7992439858291824
2021,42,5.830128795248822,7.9064554045902184,5.763140015184087,-0.06698878006473485,2.076326609341397
2021,100,10.684941904610161,6.162202044141249,11.987791079546769,1.3028491749366076,-4.522739860468913
2021,123,18.61842245016156,5.7456279909681465,20.89561942947398,2.2771969793124214,-12.872794459193415
2021,999,6.144134475508606,7.198840358843321,6.023292313078607,-0.1208421624299989,1.054705883334715
2021,2024,5.49257919333334,6.579462889518925,6.056739202383676,0.5641600090503367,1.086883696185585
2021,2025,7.389457464717491,6.008088220256867,8.7828765100457,1.3934190453282085,-1.3813692444606245
2022,0,33.08262465066584,35.988307847392775,33.352591998130805,0.26996734746496287,2.905683196726933
2022,1,32.54184130894752,21.56041532729126,32.83681985815321,0.29497854920569466,-10.981425981656258
2022,7,43.32479803454865,36.44835349087376,43.25137726648845,-0.07342076806020259,-6.876444543674893
2022,21,31.685071405789483,29.445625451755024,31.925875106514862,0.2408037007253796,-2.2394459540344585
2022,42,18.520321363157763,30.02832343905138,18.160724332725735,-0.3595970304320275,11.508002075893618
2022,100,25.013988555278893,34.49898663763326,25.069157340035215,0.05516878475632225,9.484998082354366
2022,123,35.74802142859428,21.795287163357184,35.39371464577319,-0.35430678282109085,-13.952734265237094
2022,999,20.900653178616977,30.590477594099415,20.34577630686326,-0.5548768717537165,9.689824415482438
2022,2024,37.3490026828882,32.96170892395781,37.653467227909985,0.3044645450217871,-4.38729375893039
2022,2025,40.394685627127146,30.930581546348385,40.000318902244885,-0.39436672488226066,-9.46410408077876
2023,0,14.342089719287504,8.479100136476626,14.468885068823386,0.12679534953588245,-5.862989582810878
2023,1,13.858063992720727,14.907147954623479,14.258059524866425,0.3999955321456987,1.0490839619027525
2023,7,14.711287208002211,14.883205398591533,14.857454785180794,0.14616757717858242,0.1719181905893219
2023,21,14.438849875290796,9.389421130259015,15.010461273274203,0.571611397983407,-5.049428745031781
2023,42,20.390807090895212,11.55046451013319,20.36811513619203,-0.022691954703180528,-8.840342580762021
2023,100,10.10756710537344,12.31420929880627,11.416580783989454,1.3090136786160151,2.206642193432831
2023,123,12.364504733448642,11.277878840240405,13.357103962365116,0.9925992289164736,-1.0866258932082378
2023,999,12.03832541047145,12.706501870944653,12.65975541654584,0.6214300060743909,0.6681764604732034
2023,2024,9.76891746723866,12.7678906361826,10.803282252663225,1.0343647854245646,2.998973168943939
2023,2025,9.128247343996751,16.607604450059565,10.73039484599518,1.602147501998429,7.479357106062814
2024,0,5.979487483202556,6.625173790822399,6.627906796850434,0.648419313647878,0.6456863076198429
2024,1,7.444831400323753,8.37198491042192,11.226252486074095,3.7814210857503427,0.9271535100981678
2024,7,6.991145432796653,8.787702567855197,10.130760644005925,3.1396152112092715,1.7965571350585439
2024,21,9.11113053981245,7.9309867463252735,10.217086629617063,1.1059560898046126,-1.1801437934871766
2024,42,7.222862428847103,9.53974286286762,7.612308440049747,0.38944601120264455,2.3168804340205167
2024,100,12.93414957890722,8.862392095012433,15.06817577957243,2.1340262006652093,-4.071757483894787
2024,123,7.832224088223764,7.241818394067689,11.589423230192198,3.7571991419684334,-0.5904056941560754
2024,999,7.898497975332526,6.488093330104847,10.15363324738657,2.2551352720540434,-1.410404645227679
2024,2024,9.316453215775324,8.67865005011929,10.240206624270122,0.9237534084947985,-0.6378031656560346
2024,2025,8.15141282361171,8.268194466142512,9.223807898135496,1.0723950745237865,0.11678164253080325
2025,0,16.170232443658076,17.55361844429062,16.298585776856935,0.12835333319885933,1.3833860006325445
2025,1,16.574668858745476,16.499959286958582,16.117267506448048,-0.4574013522974276,-0.07470957178689375
2025,7,16.6293686857915,17.833605040260906,16.443519086724947,-0.18584959906655385,1.2042363544694048
2025,21,15.16739161044946,16.92906675474454,14.647360563421863,-0.5200310470275973,1.7616751442950793
2025,42,18.730965255329764,16.780218239041954,18.59914205691364,-0.1318231984161251,-1.95074701628781
2025,100,16.004302120099446,17.502290089809524,15.944326272088682,-0.0599758480107635,1.4979879697100777
2025,123,15.850041179013058,18.530712255042406,15.44054560058014,-0.4094955784329173,2.6806710760293484
2025,999,16.031124900144246,16.67201214855828,16.27585850513733,0.24473360499308328,0.6408872484140353
2025,2024,17.197709590280624,16.567418114793156,17.1062609209559,-0.0914486693247234,-0.6302914754874678
2025,2025,16.000394181445472,18.07747189258175,15.547747060716338,-0.45264712072913404,2.0770777111362797
2026,0,10.391700326656856,6.697150311811473,10.227577362456989,-0.16412296419986738,-3.694550014845383
2026,1,7.5871350812157745,8.64176069671981,6.515573930721623,-1.0715611504941513,1.0546256155040359
2026,7,7.7922813070617645,9.164635856534384,7.12389029515869,-0.6683910119030747,1.372354549472619
2026,21,13.29764915975372,11.46147317670636,11.905261660570723,-1.3923874991829965,-1.8361759830473598
2026,42,11.458343389634292,6.92716886255929,10.661139243965598,-0.7972041456686938,-4.531174527075002
2026,100,9.320104760518918,8.136462733563077,8.203620135652429,-1.116484624866489,-1.183642026955841
2026,123,8.393288907270575,7.208845114999021,7.304148144884434,-1.0891407623861413,-1.184443792271554
2026,999,9.579893467901401,8.961234797120305,9.397227151524175,-0.18266631637722597,-0.6186586707810964
2026,2024,9.149437591699694,6.888984020440347,8.853582510010307,-0.29585508168938723,-2.2604535712593474
2026,2025,11.813013043862194,6.827319225726429,9.239771243539693,-2.573241800322501,-4.985693818135765
