Year,Model,Change_pp,Abs_change_pp,Flag_ge_5pp
2022,Base,23.310686658992417,23.310686658992417,True
2022,DirectReturns,22.37862122088139,22.37862122088139,True
2022,Stacking,22.22714676465728,22.22714676465728,True
2023,Base,-18.741234828888935,18.741234828888935,True
2023,Stacking,-18.005972993494392,18.005972993494392,True
2023,DirectReturns,-17.936464319544292,17.936464319544292,True
2025,DirectReturns,9.215163305234253,9.215163305234253,True
2026,DirectReturns,-9.20313374699012,9.20313374699012,True
2025,Base,8.147400385812405,8.147400385812405,True
2021,DirectReturns,-7.876491125430549,7.876491125430549,True
2020,DirectReturns,7.5320136364307135,7.5320136364307135,True
2026,Stacking,-7.298882167135915,7.298882167135915,True
2026,Base,-6.557335178938192,6.557335178938192,True
2025,Stacking,6.033105157368972,6.033105157368972,True
2018,Stacking,-5.9400075680764,5.9400075680764,True
2017,DirectReturns,5.796425407222238,5.796425407222238,True
2018,Base,-5.6946978707858475,5.6946978707858475,True
2018,DirectReturns,-5.593375547166046,5.593375547166046,True
2017,Stacking,5.092878972518751,5.092878972518751,True
2017,Base,4.928862379999378,4.928862379999378,False
2021,Base,-4.909721175866867,4.909721175866867,False
2024,Base,-4.826646497989232,4.826646497989232,False
2024,DirectReturns,-4.408868501257816,4.408868501257816,False
2021,Stacking,-3.9038492063522554,3.9038492063522554,False
2024,Stacking,-3.5840531273741547,3.5840531273741547,False
2016,DirectReturns,-3.538528352612743,3.538528352612743,False
2019,Base,2.972505815112121,2.972505815112121,False
2020,Base,2.965297373899622,2.965297373899622,False
2020,Stacking,2.951588574539114,2.951588574539114,False
2019,Stacking,2.820010078338264,2.820010078338264,False
2019,DirectReturns,0.9590149751626296,0.9590149751626296,False
2016,Stacking,-0.43829558272751434,0.43829558272751434,False
2016,Base,0.18681754288949115,0.18681754288949115,False
