Year,Stacking_seeds_better,DirectReturns_seeds_better
2015,0,3
2016,0,5
2017,0,4
2018,2,4
2019,3,7
2020,4,3
2021,2,4
2022,5,6
2023,1,4
2024,0,5
2025,8,3
2026,10,8
