Year,Stacking_minus_Base,DirectReturns_minus_Base
2015,0.8931601662655553,2.670776428367231
2016,0.2680470406485509,-1.0545694671350023
2017,0.4320636331679223,-0.18700643991214144
2018,0.1867539358773719,-0.08568411629234048
2019,0.03425819910351322,-2.099174956241832
2020,0.020549399743005913,2.46754130628926
2021,1.0264213692576167,-0.49922864327442185
2022,-0.05711852507751516,-1.43129408138545
2023,0.6781433103170263,-0.6265235720408056
2024,1.920736680932102,-0.2087455753093878
2025,-0.19355854751132995,0.8590173441124598
2026,-0.9351055357090529,-1.7867812239394696
