Method,Effective_date,Seed,Train_start,Train_end,Train_N,Test_start,Test_end,N,Feature_N
RSI,2018-01-01,965409,2012-06-05,2017-12-31,1495,2018-01-01,2018-01-02,2,10
MACD,2018-01-01,965409,2012-06-05,2017-12-31,1495,2018-01-01,2018-01-02,2,11
Both,2018-01-01,965409,2012-06-05,2017-12-31,1495,2018-01-01,2018-01-02,2,12
RSI,2018-01-03,965409,2012-06-05,2018-01-02,1497,2018-01-03,2018-01-23,15,10
MACD,2018-01-03,965409,2012-06-05,2018-01-02,1497,2018-01-03,2018-01-23,15,11
Both,2018-01-03,965409,2012-06-05,2018-01-02,1497,2018-01-03,2018-01-23,15,12
RSI,2018-01-24,374583,2012-06-05,2018-01-23,1512,2018-01-24,2018-01-24,1,10
MACD,2018-01-24,374583,2012-06-05,2018-01-23,1512,2018-01-24,2018-01-24,1,11
Both,2018-01-24,374583,2012-06-05,2018-01-23,1512,2018-01-24,2018-01-24,1,12
RSI,2018-01-25,374583,2012-06-05,2018-01-24,1513,2018-01-25,2018-02-07,10,10
MACD,2018-01-25,374583,2012-06-05,2018-01-24,1513,2018-01-25,2018-02-07,10,11
Both,2018-01-25,374583,2012-06-05,2018-01-24,1513,2018-01-25,2018-02-07,10,12
RSI,2018-02-08,42716,2012-06-05,2018-02-07,1523,2018-02-08,2018-02-09,2,10
MACD,2018-02-08,42716,2012-06-05,2018-02-07,1523,2018-02-08,2018-02-09,2,11
Both,2018-02-08,42716,2012-06-05,2018-02-07,1523,2018-02-08,2018-02-09,2,12
RSI,2018-02-11,42716,2012-06-05,2018-02-09,1525,2018-02-11,2018-02-11,1,10
MACD,2018-02-11,42716,2012-06-05,2018-02-09,1525,2018-02-11,2018-02-11,1,11
Both,2018-02-11,42716,2012-06-05,2018-02-09,1525,2018-02-11,2018-02-11,1,12
RSI,2018-02-12,42716,2012-06-05,2018-02-11,1526,2018-02-12,2018-02-14,3,10
MACD,2018-02-12,42716,2012-06-05,2018-02-11,1526,2018-02-12,2018-02-14,3,11
Both,2018-02-12,42716,2012-06-05,2018-02-11,1526,2018-02-12,2018-02-14,3,12
RSI,2018-02-15,798291,2012-06-05,2018-02-14,1529,2018-02-15,2018-03-08,17,10
MACD,2018-02-15,798291,2012-06-05,2018-02-14,1529,2018-02-15,2018-03-08,17,11
Both,2018-02-15,798291,2012-06-05,2018-02-14,1529,2018-02-15,2018-03-08,17,12
RSI,2018-03-09,798291,2012-06-05,2018-03-08,1546,2018-03-09,2018-03-09,1,10
MACD,2018-03-09,798291,2012-06-05,2018-03-08,1546,2018-03-09,2018-03-09,1,11
Both,2018-03-09,798291,2012-06-05,2018-03-08,1546,2018-03-09,2018-03-09,1,12
RSI,2018-03-12,385735,2012-06-05,2018-03-09,1547,2018-03-12,2018-03-20,7,10
MACD,2018-03-12,385735,2012-06-05,2018-03-09,1547,2018-03-12,2018-03-20,7,11
Both,2018-03-12,385735,2012-06-05,2018-03-09,1547,2018-03-12,2018-03-20,7,12
RSI,2018-03-21,385735,2012-06-05,2018-03-20,1554,2018-03-21,2018-03-21,1,10
MACD,2018-03-21,385735,2012-06-05,2018-03-20,1554,2018-03-21,2018-03-21,1,11
Both,2018-03-21,385735,2012-06-05,2018-03-20,1554,2018-03-21,2018-03-21,1,12
RSI,2018-03-22,42716,2012-06-05,2018-03-21,1555,2018-03-22,2018-03-22,1,10
MACD,2018-03-22,42716,2012-06-05,2018-03-21,1555,2018-03-22,2018-03-22,1,11
Both,2018-03-22,42716,2012-06-05,2018-03-21,1555,2018-03-22,2018-03-22,1,12
RSI,2018-03-23,42716,2012-06-05,2018-03-22,1556,2018-03-23,2018-03-27,3,10
MACD,2018-03-23,42716,2012-06-05,2018-03-22,1556,2018-03-23,2018-03-27,3,11
Both,2018-03-23,42716,2012-06-05,2018-03-22,1556,2018-03-23,2018-03-27,3,12
RSI,2018-03-28,385735,2012-06-05,2018-03-27,1559,2018-03-28,2018-04-18,17,10
MACD,2018-03-28,385735,2012-06-05,2018-03-27,1559,2018-03-28,2018-04-18,17,11
Both,2018-03-28,385735,2012-06-05,2018-03-27,1559,2018-03-28,2018-04-18,17,12
RSI,2018-04-19,385735,2012-06-05,2018-04-18,1576,2018-04-19,2018-04-19,1,10
MACD,2018-04-19,385735,2012-06-05,2018-04-18,1576,2018-04-19,2018-04-19,1,11
Both,2018-04-19,385735,2012-06-05,2018-04-18,1576,2018-04-19,2018-04-19,1,12
RSI,2018-04-20,385735,2012-06-05,2018-04-19,1577,2018-04-20,2018-06-05,34,10
MACD,2018-04-20,385735,2012-06-05,2018-04-19,1577,2018-04-20,2018-06-05,34,11
Both,2018-04-20,385735,2012-06-05,2018-04-19,1577,2018-04-20,2018-06-05,34,12
RSI,2018-06-06,385735,2012-06-05,2018-06-05,1611,2018-06-06,2018-06-14,7,10
MACD,2018-06-06,385735,2012-06-05,2018-06-05,1611,2018-06-06,2018-06-14,7,11
Both,2018-06-06,385735,2012-06-05,2018-06-05,1611,2018-06-06,2018-06-14,7,12
RSI,2018-06-15,385735,2012-06-05,2018-06-14,1618,2018-06-15,2018-06-18,2,10
MACD,2018-06-15,385735,2012-06-05,2018-06-14,1618,2018-06-15,2018-06-18,2,11
Both,2018-06-15,385735,2012-06-05,2018-06-14,1618,2018-06-15,2018-06-18,2,12
RSI,2018-06-19,385735,2012-06-05,2018-06-18,1620,2018-06-19,2018-06-19,1,10
MACD,2018-06-19,385735,2012-06-05,2018-06-18,1620,2018-06-19,2018-06-19,1,11
Both,2018-06-19,385735,2012-06-05,2018-06-18,1620,2018-06-19,2018-06-19,1,12
RSI,2018-06-20,385735,2012-06-05,2018-06-19,1621,2018-06-20,2018-06-20,1,10
MACD,2018-06-20,385735,2012-06-05,2018-06-19,1621,2018-06-20,2018-06-20,1,11
Both,2018-06-20,385735,2012-06-05,2018-06-19,1621,2018-06-20,2018-06-20,1,12
RSI,2018-06-21,385735,2012-06-05,2018-06-20,1622,2018-06-21,2018-06-21,1,10
MACD,2018-06-21,385735,2012-06-05,2018-06-20,1622,2018-06-21,2018-06-21,1,11
Both,2018-06-21,385735,2012-06-05,2018-06-20,1622,2018-06-21,2018-06-21,1,12
RSI,2018-06-22,385735,2012-06-05,2018-06-21,1623,2018-06-22,2018-06-22,1,10
MACD,2018-06-22,385735,2012-06-05,2018-06-21,1623,2018-06-22,2018-06-22,1,11
Both,2018-06-22,385735,2012-06-05,2018-06-21,1623,2018-06-22,2018-06-22,1,12
RSI,2018-06-25,385735,2012-06-05,2018-06-22,1624,2018-06-25,2018-06-25,1,10
MACD,2018-06-25,385735,2012-06-05,2018-06-22,1624,2018-06-25,2018-06-25,1,11
Both,2018-06-25,385735,2012-06-05,2018-06-22,1624,2018-06-25,2018-06-25,1,12
RSI,2018-06-26,385735,2012-06-05,2018-06-25,1625,2018-06-26,2018-06-29,4,10
MACD,2018-06-26,385735,2012-06-05,2018-06-25,1625,2018-06-26,2018-06-29,4,11
Both,2018-06-26,385735,2012-06-05,2018-06-25,1625,2018-06-26,2018-06-29,4,12
RSI,2018-07-02,385735,2012-06-05,2018-06-29,1629,2018-07-02,2018-07-02,1,10
MACD,2018-07-02,385735,2012-06-05,2018-06-29,1629,2018-07-02,2018-07-02,1,11
Both,2018-07-02,385735,2012-06-05,2018-06-29,1629,2018-07-02,2018-07-02,1,12
RSI,2018-07-03,385735,2012-06-05,2018-07-02,1630,2018-07-03,2018-07-04,2,10
MACD,2018-07-03,385735,2012-06-05,2018-07-02,1630,2018-07-03,2018-07-04,2,11
Both,2018-07-03,385735,2012-06-05,2018-07-02,1630,2018-07-03,2018-07-04,2,12
RSI,2018-07-05,565766,2012-06-05,2018-07-04,1632,2018-07-05,2018-07-05,1,10
MACD,2018-07-05,565766,2012-06-05,2018-07-04,1632,2018-07-05,2018-07-05,1,11
Both,2018-07-05,565766,2012-06-05,2018-07-04,1632,2018-07-05,2018-07-05,1,12
RSI,2018-07-06,565766,2012-06-05,2018-07-05,1633,2018-07-06,2018-07-09,2,10
MACD,2018-07-06,565766,2012-06-05,2018-07-05,1633,2018-07-06,2018-07-09,2,11
Both,2018-07-06,565766,2012-06-05,2018-07-05,1633,2018-07-06,2018-07-09,2,12
RSI,2018-07-10,565766,2012-06-05,2018-07-09,1635,2018-07-10,2018-07-24,11,10
MACD,2018-07-10,565766,2012-06-05,2018-07-09,1635,2018-07-10,2018-07-24,11,11
Both,2018-07-10,565766,2012-06-05,2018-07-09,1635,2018-07-10,2018-07-24,11,12
RSI,2018-07-25,385735,2012-06-05,2018-07-24,1646,2018-07-25,2018-08-06,9,10
MACD,2018-07-25,385735,2012-06-05,2018-07-24,1646,2018-07-25,2018-08-06,9,11
Both,2018-07-25,385735,2012-06-05,2018-07-24,1646,2018-07-25,2018-08-06,9,12
RSI,2018-08-07,385735,2012-06-05,2018-08-06,1655,2018-08-07,2018-08-07,1,10
MACD,2018-08-07,385735,2012-06-05,2018-08-06,1655,2018-08-07,2018-08-07,1,11
Both,2018-08-07,385735,2012-06-05,2018-08-06,1655,2018-08-07,2018-08-07,1,12
RSI,2018-08-08,385735,2012-06-05,2018-08-07,1656,2018-08-08,2018-08-15,6,10
MACD,2018-08-08,385735,2012-06-05,2018-08-07,1656,2018-08-08,2018-08-15,6,11
Both,2018-08-08,385735,2012-06-05,2018-08-07,1656,2018-08-08,2018-08-15,6,12
RSI,2018-08-16,374583,2012-06-05,2018-08-15,1662,2018-08-16,2018-08-16,1,10
MACD,2018-08-16,374583,2012-06-05,2018-08-15,1662,2018-08-16,2018-08-16,1,11
Both,2018-08-16,374583,2012-06-05,2018-08-15,1662,2018-08-16,2018-08-16,1,12
RSI,2018-08-17,374583,2012-06-05,2018-08-16,1663,2018-08-17,2018-08-17,1,10
MACD,2018-08-17,374583,2012-06-05,2018-08-16,1663,2018-08-17,2018-08-17,1,11
Both,2018-08-17,374583,2012-06-05,2018-08-16,1663,2018-08-17,2018-08-17,1,12
RSI,2018-08-20,374583,2012-06-05,2018-08-17,1664,2018-08-20,2018-08-20,1,10
MACD,2018-08-20,374583,2012-06-05,2018-08-17,1664,2018-08-20,2018-08-20,1,11
Both,2018-08-20,374583,2012-06-05,2018-08-17,1664,2018-08-20,2018-08-20,1,12
RSI,2018-08-21,374583,2012-06-05,2018-08-20,1665,2018-08-21,2018-09-03,10,10
MACD,2018-08-21,374583,2012-06-05,2018-08-20,1665,2018-08-21,2018-09-03,10,11
Both,2018-08-21,374583,2012-06-05,2018-08-20,1665,2018-08-21,2018-09-03,10,12
RSI,2018-09-04,550343,2012-06-05,2018-09-03,1675,2018-09-04,2018-09-05,2,10
MACD,2018-09-04,550343,2012-06-05,2018-09-03,1675,2018-09-04,2018-09-05,2,11
Both,2018-09-04,550343,2012-06-05,2018-09-03,1675,2018-09-04,2018-09-05,2,12
RSI,2018-09-06,965409,2012-06-05,2018-09-05,1677,2018-09-06,2018-09-21,12,10
MACD,2018-09-06,965409,2012-06-05,2018-09-05,1677,2018-09-06,2018-09-21,12,11
Both,2018-09-06,965409,2012-06-05,2018-09-05,1677,2018-09-06,2018-09-21,12,12
RSI,2018-09-24,785634,2012-06-05,2018-09-21,1689,2018-09-24,2018-09-29,6,10
