Stage,Epoch100,Epoch100,Train_best,Train_best
Split,Train,Test,Train,Test
Model,,,,
01_base,5.523382324490338,11.45834334363982,2.4834495627841386,5.287319949211031
02_gold5,6.42583471458323,10.655216700556823,2.760028766707037,21.216153429813442
03_gold20,6.710748428328573,10.328481285163965,2.868465481905431,15.241519492538128
04_gold5_20,6.117810746518922,7.804058303604617,2.3194373058549784,7.351992358453053
05_copper5,6.616184614068662,10.463971450897958,2.6812068818464687,9.035807548885899
06_copper20,6.580398896657323,10.572852546924029,2.4805829429083985,10.052430374147654
07_copper5_20,6.591707496736355,11.526677093567722,2.380040560196035,14.100112225188495
08_both5,6.201771261467963,6.715118583442421,2.546513789346186,8.74081508574903
09_both20,6.591328386701254,6.513326027966497,2.5001794964021418,7.123618491359646
10_both5_20,5.943793057531749,6.022376266447848,2.2759784053858416,9.440974594420982
