Split,Feature,Epoch,Mean,Median,Min,Max,Negative_percent,Mean_std_response
Test,A_500,100,0.0019155534627786706,0.0017628314125227565,0.0004454999317155613,0.0032238821396970174,0.0,0.5634482694288021
Test,A_500,200,0.0016956525537234692,0.0014475312437826628,0.000343469220867308,0.004279505612009261,0.0,0.4987657695348852
Test,A_500,300,0.001211505598110987,0.00124137591566346,0.00024345549008985618,0.003274071860316013,0.0,0.35635692029641564
Test,A_500,400,0.0009496440543281891,0.0009400155009868898,0.0001626532354904273,0.0032645565999777316,0.0,0.27933195777704795
Test,Copper Futures Price,100,0.4087627148795124,0.3067260266897857,0.14701094430189915,0.8078267233343022,0.0,0.17637115865395958
Test,Copper Futures Price,200,0.6760819789018012,0.600576930792284,0.12115448566867998,1.8001256585349166,0.0,0.29171291221881707
Test,Copper Futures Price,300,0.7161381758002842,0.7013615020128147,0.12638884411862195,1.4176093961315412,0.0,0.30899618586655914
Test,Copper Futures Price,400,0.790479251881817,0.777636613993472,0.13411573941053057,1.7760083826916828,0.0,0.34107255009157633
Test,Dollar Index,100,-0.06042521780243589,-0.05578390651182683,-0.1072390801984228,-0.020994524052026446,100.0,-0.44105930609896615
Test,Dollar Index,200,-0.06727956000638166,-0.06084074316989608,-0.14112865143797154,-0.0064656129905019495,100.0,-0.49109092412509603
Test,Dollar Index,300,-0.06302787960202422,-0.06905731014155128,-0.1256749457415341,-0.006733390569307122,100.0,-0.4600568082857176
Test,Dollar Index,400,-0.0636739015516521,-0.07150708113851961,-0.1408951244915802,-0.007207303264787042,100.0,-0.4647722897219482
Test,Gold Futures Price,100,-0.0007222167263433194,-0.0005984316180943863,-0.003561085889183417,0.0005956529708003173,97.04797047970479,-0.06876618136944786
Test,Gold Futures Price,200,-0.001795726038063357,-0.0013187496052519151,-0.009098795200257805,-0.00044273511321538014,100.0,-0.1709808398491782
Test,Gold Futures Price,300,-0.0010589431221315097,-0.000985518587454588,-0.008197949453051108,0.00022945378409459433,83.39483394833948,-0.10082773236936728
Test,Gold Futures Price,400,-0.0009386844650039468,-0.0006342465506716608,-0.005363043745618466,0.0003752053765011191,73.06273062730627,-0.08937725175096485
Test,brent,100,0.0056389425552045,0.005620548670759314,0.0019358036981396236,0.010522601616574648,0.0,0.14273599718054722
Test,brent,200,0.0065600593548406335,0.006480632392226787,-0.002871077436262868,0.011473640386179918,4.797047970479705,0.16605180925500623
Test,brent,300,0.010085088857052288,0.011113686688280484,-0.0010117968359511988,0.017772054210267906,1.4760147601476015,0.2552792834069896
Test,brent,400,0.012423877209640907,0.014002584555854333,-0.0006904331005930026,0.021557188819413993,0.7380073800738007,0.31447997297473057
Test,cn_10y_rate,100,-0.42477750536008246,-0.34230994458061814,-0.6503661072141921,0.1761070449476918,98.5239852398524,-0.18810576269904847
Test,cn_10y_rate,200,-0.9213961382445256,-0.9994288475552683,-1.430605153629015,0.033753049001249036,98.8929889298893,-0.4080251923545755
Test,cn_10y_rate,300,-1.0505200807482202,-1.0513634597015107,-1.8837275748302664,-0.030146994907070485,100.0,-0.4652056159430984
Test,cn_10y_rate,400,-1.175761863801827,-1.2304723155132593,-2.034440365886423,-0.10424938872492784,100.0,-0.5206668887878476
Test,copper_20,100,1.272748357848886,1.5973245099630466,-4.120801580938039,3.3484011930303166,5.166051660516605,0.06259933794673353
Test,copper_20,200,2.115677922842406,2.7201986639020017,-5.452237212501295,3.5112938298325256,2.214022140221402,0.1040583053686247
Test,copper_20,300,1.4782382612309248,0.7759862854327263,-4.452604654689394,4.722983327645774,1.4760147601476015,0.07270623129067386
Test,copper_20,400,1.4187350062598632,0.7356734927578261,-0.40102951320282476,5.561428337475229,0.36900369003690037,0.06977960063042325
Test,copper_5,100,0.9906914804150266,0.7966857447914396,-3.0071492077975877,7.384010470937543,17.712177121771216,0.024715472828095084
Test,copper_5,200,-0.31268513548661225,-0.23435013697510843,-2.749199755923487,3.053676775522085,54.981549815498155,-0.007800774633320825
Test,copper_5,300,-2.060202745424016,-2.1148421198882787,-3.3088613441401336,0.08405543373096445,99.2619926199262,-0.05139731791532406
Test,copper_5,400,-2.7573004314128293,-2.9120578902315306,-4.221222645772051,-0.011165799218259302,100.0,-0.06878830113985603
Test,gold_20,100,4.882420663745799,5.071844667792767,0.8908571880950639,7.39281814207706,0.0,0.18797150632277185
Test,gold_20,200,5.329287695334544,5.795768936332464,-2.292863438969953,10.254476013656157,4.797047970479705,0.2051757324308267
Test,gold_20,300,4.715629623870377,5.453740477400425,-4.106331313889286,8.9682147984173,4.428044280442804,0.18155010899432636
Test,gold_20,400,4.536041251230073,5.015548736025374,-4.267989078215773,9.665907368919159,1.8450184501845017,0.1746360187820843
Test,gold_5,100,1.2724872692594784,0.7135873562224303,-3.319859417713573,5.211364595485994,15.867158671586715,0.024649826556743155
Test,gold_5,200,3.2293455049827617,3.816359435391889,-0.5832840392776454,9.009045438449453,15.498154981549817,0.06255685892712146
Test,gold_5,300,1.4990790105675882,0.6257335675113385,-0.4911374801004105,7.446256025686518,28.413284132841326,0.02903921987907145
Test,gold_5,400,1.345399850564061,0.4044549495968939,-1.5997380370645067,6.699046943475707,26.199261992619927,0.026062243424385626
Test,us_10y_rate,100,-0.5385111332971494,-0.45793524934523105,-1.013433180293853,-0.1375820505704912,100.0,-0.23461468983785252
Test,us_10y_rate,200,-0.3039837721093147,-0.11422718139606235,-1.2760272135866837,-0.08677170670103468,100.0,-0.13243748178891152
Test,us_10y_rate,300,-0.043775519251584516,0.04642523653433348,-0.7176562268806826,0.28359358058523176,37.63837638376384,-0.019071806016003515
Test,us_10y_rate,400,0.08043774730012135,0.14540226988128818,-0.8069822977130049,0.4414142809210651,32.47232472324723,0.035044544053391115
Train,A_500,100,0.002029060638373615,0.0017430456609907141,0.0004279760732923415,0.005579300265577902,0.0,0.5968357070020401
Train,A_500,200,0.00215670120702035,0.0018845694794275454,0.0005543879290015124,0.005853550587624678,0.0,0.6343803952137629
