Month,Epoch,Mean_slope,Local_1pct,Exact_1pct,MPE
2020-01,100,-0.0009220565894798391,-0.008956106959410787,-0.008594882,-8.304818012535874
2020-01,200,-0.002746626572680619,-0.02682712225342698,-0.02683269,-7.350224167937449
2020-01,300,-0.0018505463780586588,-0.018041126327520623,-0.016137207,-6.3188125204425125
2020-01,400,-0.0018638721525039085,-0.018205079916139396,-0.015421182,-5.550236593322615
2020-02,100,-0.0009821489356846927,-0.0098409333067452,-0.0083184745,-11.376980455352745
2020-02,200,-0.0029086701614016407,-0.029395519638628805,-0.02699026,-12.997063216277674
2020-02,300,-0.0022394632600316955,-0.022701077995289247,-0.018820798,-13.359119829731975
2020-02,400,-0.0021038651677481794,-0.021280170177229437,-0.015910603,-13.750027771728961
2020-03,100,-0.0007168413039656878,-0.007274119370885129,-0.0072233584,3.5614551443643974
2020-03,200,-0.0033706162648437536,-0.034445178364148434,-0.034547035,0.5935978752747046
2020-03,300,-0.0019211992027596638,-0.0197360855982693,-0.018453844,-4.474858901346592
2020-03,400,-0.0019515866998703738,-0.01991335335113267,-0.01816297,-6.80539340151746
2020-04,100,-0.0007303029256869693,-0.007719717184904365,-0.007608227,2.7277793023611454
2020-04,200,-0.002173604580599438,-0.02340380405443814,-0.021963203,-1.5587312350916087
2020-04,300,-0.001282246625769252,-0.013872321500251843,-0.01099299,-8.702452768408406
2020-04,400,-0.0019393007985171848,-0.020947102821059542,-0.019051977,-12.120990932329763
2020-05,100,-0.000875182817943164,-0.009428953412058006,-0.009428951,2.2730482750438687
2020-05,200,-0.0015376757835849043,-0.01656080103542055,-0.016441833,-4.7912461102288555
2020-05,300,-7.979742125696676e-05,-0.0008580762385251491,-0.00024076588,-10.579577318282746
2020-05,400,-0.00017601842537479594,-0.0018645305447728547,-0.0014549656,-14.378689891259416
2020-06,100,-0.0010455265399266877,-0.011389766019200286,-0.011389762,11.845655820019633
2020-06,200,-0.0012781535931213456,-0.013898632965183438,-0.0143886665,3.910665305440003
2020-06,300,-0.0010404373513592676,-0.011411648864846692,-0.011215151,-6.14124241301018
2020-06,400,-0.0007103736522019479,-0.00782573716103889,-0.00714865,-10.81883726228997
2020-07,100,-0.0005471222387866846,-0.006321597269111409,-0.006399468,-0.6408767887545982
2020-07,200,-0.0014365806421341467,-0.016597548351767816,-0.0160224,-9.693046881392618
2020-07,300,-0.0014330221309871148,-0.01663200371792531,-0.016326578,-17.705217960299933
2020-07,400,-0.0012005108363346687,-0.013902314192975704,-0.013902366,-21.426795343411893
2020-08,100,-0.0005797589916489092,-0.00714157746577502,-0.007225786,-11.556570173761022
2020-08,200,-0.0011669334998940675,-0.014418668617509376,-0.014398201,-21.713838036605864
2020-08,300,-0.0007898438572721637,-0.009769140585432665,-0.009793172,-26.681738127325065
2020-08,400,-0.0004716801849362677,-0.005834842185082586,-0.00547524,-28.92083869372544
2020-09,100,-0.0005307626963340583,-0.006411237345568854,-0.0064987894,-26.603743244893224
2020-09,200,-0.001206128289075035,-0.014552038496366356,-0.014552046,-36.921269857685495
2020-09,300,-0.0001132298495198709,-0.0013875466897199245,-0.0013299434,-40.51136125408363
2020-09,400,0.00032648976185734106,0.003921561132554047,0.0039211595,-42.614333220297375
2020-10,100,-0.0005185763915101657,-0.006210184376195928,-0.006282791,-24.32766943621948
2020-10,200,-0.0011331739273251979,-0.01356373194986777,-0.013563735,-34.880292305981065
2020-10,300,-0.000305640257594309,-0.003667911172568773,-0.0037860563,-38.86661505708918
2020-10,400,7.729359296045491e-05,0.0009170809092020988,0.0009158835,-41.19170606047931
2020-11,100,-0.0006943864571893748,-0.008051298365323334,-0.007992726,-37.28588111079672
2020-11,200,-0.0013357170866210794,-0.015552997577448005,-0.015442076,-45.70758527006415
2020-11,300,-0.0004557354097277573,-0.005302963508501609,-0.0053225956,-49.72627557695986
2020-11,400,-0.00016269645774566227,-0.001830767846579718,-0.001375454,-51.60007849113837
2020-12,100,-0.0005311316608106054,-0.006194048268213669,-0.006181025,-37.06786942840723
2020-12,200,-0.001309696086287967,-0.015284118311078872,-0.015327642,-41.40321931604013
2020-12,300,-0.0012671466959625621,-0.014763462294786202,-0.014764053,-43.9320927051633
2020-12,400,-0.0011401475859393123,-0.013270112266664283,-0.013262524,-44.70097792749663
