Year,Method,Anchor,Effective_date,Trigger_date,Seed,Train_start,Train_end,Train_N,Applied_start,Applied_end,Applied_N,Validation_MAPE,Selection_source
2023,Monthly_equal,2023-01-01,2023-01-02,,374583,2012-06-05,2022-12-31,2852,2023-01-02,2023-01-31,25,3.751192617281112,new equal-MSE validation selection
2023,Monthly_equal,2023-02-01,2023-02-01,,385735,2012-06-05,2023-01-31,2877,2023-02-01,2023-02-28,21,3.7491296924982898,new equal-MSE validation selection
2023,Monthly_equal,2023-03-01,2023-03-01,,374583,2012-06-05,2023-02-28,2898,2023-03-01,2023-03-31,23,2.552072726647171,new equal-MSE validation selection
2023,Monthly_equal,2023-04-01,2023-04-03,,374583,2012-06-05,2023-03-31,2921,2023-04-03,2023-04-28,21,4.239212692985373,new equal-MSE validation selection
2023,Monthly_equal,2023-05-01,2023-05-01,,42716,2012-06-05,2023-04-28,2942,2023-05-01,2023-05-31,25,8.350448143088707,new equal-MSE validation selection
2023,Monthly_equal,2023-06-01,2023-06-01,,42716,2012-06-05,2023-05-31,2967,2023-06-01,2023-06-30,24,7.6188926270835164,new equal-MSE validation selection
2023,Monthly_equal,2023-07-01,2023-07-03,,374583,2012-06-05,2023-06-30,2991,2023-07-03,2023-07-31,21,6.034211295526756,new equal-MSE validation selection
2023,Monthly_equal,2023-08-01,2023-08-01,,798291,2012-06-05,2023-07-31,3012,2023-08-01,2023-08-31,23,3.0977910528383834,new equal-MSE validation selection
2023,Monthly_equal,2023-09-01,2023-09-01,,798291,2012-06-05,2023-08-31,3035,2023-09-01,2023-09-29,22,3.509460211826914,new equal-MSE validation selection
2023,Monthly_equal,2023-10-01,2023-10-02,,798291,2012-06-05,2023-09-29,3057,2023-10-02,2023-10-31,24,7.814368158053258,new equal-MSE validation selection
2023,Monthly_equal,2023-11-01,2023-11-01,,785634,2012-06-05,2023-10-31,3081,2023-11-01,2023-11-30,22,8.36518297021477,new equal-MSE validation selection
2023,Monthly_equal,2023-12-01,2023-12-01,,785634,2012-06-05,2023-11-30,3103,2023-12-01,2023-12-31,22,5.338815878879175,new equal-MSE validation selection
2023,Monthly_H60,2023-01-01,2023-01-02,,374583,2012-06-05,2022-12-31,2852,2023-01-02,2023-01-31,25,3.751192617281112,new equal-MSE validation selection
2023,Monthly_H60,2023-02-01,2023-02-01,,385735,2012-06-05,2023-01-31,2877,2023-02-01,2023-02-28,21,3.7491296924982898,new equal-MSE validation selection
2023,Monthly_H60,2023-03-01,2023-03-01,,374583,2012-06-05,2023-02-28,2898,2023-03-01,2023-03-31,23,2.552072726647171,new equal-MSE validation selection
2023,Monthly_H60,2023-04-01,2023-04-03,,374583,2012-06-05,2023-03-31,2921,2023-04-03,2023-04-28,21,4.239212692985373,new equal-MSE validation selection
2023,Monthly_H60,2023-05-01,2023-05-01,,42716,2012-06-05,2023-04-28,2942,2023-05-01,2023-05-31,25,8.350448143088707,new equal-MSE validation selection
2023,Monthly_H60,2023-06-01,2023-06-01,,42716,2012-06-05,2023-05-31,2967,2023-06-01,2023-06-30,24,7.6188926270835164,new equal-MSE validation selection
2023,Monthly_H60,2023-07-01,2023-07-03,,374583,2012-06-05,2023-06-30,2991,2023-07-03,2023-07-31,21,6.034211295526756,new equal-MSE validation selection
