,A_500,Dollar Index,cn_10y_rate,us_10y_rate,brent,Copper Futures Price,Gold Futures Price,elapsed_days
2012-05-09,-1.1114295831960883,-1.7273440558696536,0.31751858694850293,-0.2713592063274274,1.6698036285899982,1.1072865604701252,0.7447775882775335,-1.7307678536686033
2012-05-10,-1.1110100385279258,-1.72291834084281,0.28959258963200213,-0.23903520211527357,1.6837805769890049,1.1596697657284583,0.7506506171606969,-1.7297868400844156
2012-05-11,-1.1274675483711676,-1.6978385386484736,0.20603448742514685,-0.3198452126456586,1.694163452942553,1.0878540811000987,0.7024087211780429,-1.7288058265002277
2012-05-14,-1.1459036968240826,-1.6506290357565854,0.10796366220341745,-0.4168172252821211,1.6258760764788338,0.9290146845103147,0.6059249292127348,-1.7258627857476643
2012-05-15,-1.1444737640140359,-1.5591601314695938,0.017588977974424307,-0.44914122949427526,1.6502359008313887,0.8673376847706651,0.589984436048205,-1.7248817721634764
2012-05-16,-1.182278585968315,-1.5370304307720422,-0.07740339085020982,-0.44914122949427526,1.5863412795787855,0.8005913425866606,0.5035681083642632,-1.7239007585792887
2012-05-17,-1.1484154686146966,-1.5355559428053165,0.032101700989299424,-0.5461132421307378,1.566773551820176,0.8022811234014453,0.6642348015553047,-1.7229197449951008
2012-05-18,-1.1853161626487216,-1.5488330878858474,-0.07828294982080819,-0.5299512400246607,1.5156578548180935,0.7845384248462036,0.735968300992063,-1.7219387314109131
2012-05-21,-1.1741505950499647,-1.5798142186370865,-0.02287073467310479,-0.46530323160035236,1.5551926517181414,0.8411460821414982,0.7225446738978747,-1.7189956906583497
2012-05-22,-1.1392147990797128,-1.492772154940272,-0.004839775775836176,-0.400655223176044,1.5847439140474706,0.8157993699197248,0.6717859118448785,-1.7180146770741618
2012-05-23,-1.1509025074226895,-1.4308098934377937,-0.03188621412173959,-0.4976272358125065,1.4697335957927848,0.6620293157742958,0.5534880857533283,-1.717033663489974
2012-05-24,-1.1706604963912342,-1.4013032506532803,-0.07718350110756071,-0.43297922738819816,1.4825125200433058,0.7169471922548064,0.5920819097865816,-1.7160526499057862
