Period,Baseline,Alternative,MAPE_reduction_pp,MAPE_relative_reduction_pct,Years_improved,Years
2015-2025_complete,Monthly_equal,Monthly_H60,1.0461656437046276,15.557620416095736,9,11
2015-2026_partial,Monthly_equal,Monthly_H60,0.9293495385225841,13.927304734007212,9,12
2015-2025_complete,Monthly_H60,Crossing_H60,0.8484689608155431,14.942326218447707,10,11
2015-2026_partial,Monthly_H60,Crossing_H60,0.9082849482836037,15.814108177062902,11,12
2015-2025_complete,Annual_frozen_old,Monthly_equal,6.412226612729258,48.8116052386632,11,11
2015-2026_partial,Annual_frozen_old,Monthly_equal,6.114365843083685,47.816203030274146,12,12
2015-2025_complete,Annual_frozen_old,Crossing_H60,8.306861217249429,63.23407686556452,11,11
2015-2026_partial,Annual_frozen_old,Crossing_H60,7.952000329889873,62.18706437085809,12,12
