Year,Annual_frozen_old,Monthly_equal,Monthly_H60,Crossing_H60
2015,8.989510265586716,5.414469920260821,5.224485563830483,4.081144829001885
2016,8.5512146828592,4.366411979395434,4.443662500533781,3.7775847602693013
2017,13.644093655377953,5.58092931270757,4.120614826819521,3.99898983973586
2018,7.704086087301556,5.702138238223613,3.470922367312803,3.9202149043442582
2019,10.524096165639815,6.209027230120936,5.356516813279836,3.9595202358093315
2020,13.47568474017893,8.1499212386629,6.657657417197796,5.386996046031142
2021,9.571835533826675,7.208494283501842,7.208803571734737,6.107775643345927
2022,31.798982298483963,6.817475137093816,6.661032597874639,6.1768123376184345
2023,13.793009304989567,5.679818803248701,4.9396998007005415,4.167660218565567
2024,10.208956177615407,7.446033599610366,6.6768064139903425,4.787759544789867
2025,16.24206133498438,11.394317763996337,7.701013552796962,6.7635984975888865
2026,8.943179167848466,6.105281790866083,6.460909409345973,4.894648598913702
