Period,Method,Years,N,Annual_equal_MAPE,Record_weighted_MAPE,Annual_equal_MSE,Record_weighted_MSE,Worst_year,Worst_year_MAPE,Total_models,Total_updates_excluding_year_initializations
2015-2025_complete,Annual_frozen_old,11,2972,13.136684567894925,13.164238722783201,3.7174314578570318,3.7267530985564643,2022,31.798982298483963,11,0
2015-2025_complete,Monthly_equal,11,2972,6.724457955165667,6.726594635360229,1.5042195769236082,1.4996556045641445,2025,11.394317763996337,132,121
2015-2025_complete,Monthly_H60,11,2972,5.678292311461039,5.683524069394028,0.8475993170630179,0.847544860629041,2025,7.701013552796962,132,121
2015-2025_complete,Crossing_H60,11,2972,4.829823350645496,4.833239164660471,0.5933111846549,0.5929046499075036,2025,6.7635984975888865,636,625
2015-2026_partial,Annual_frozen_old,12,3124,12.78722578455772,12.958860665052702,4.429591627979747,4.142106255060152,2022,31.798982298483963,12,0
2015-2026_partial,Monthly_equal,12,3124,6.672859941474035,6.696364304898286,1.845959362742538,1.6994081951955033,2025,11.394317763996337,139,127
2015-2026_partial,Monthly_H60,12,3124,5.7435104029514505,5.721348196049821,1.3422430661470637,1.136353591649292,2025,7.701013552796962,139,127
2015-2026_partial,Crossing_H60,12,3124,4.835225454667847,4.836227075674072,0.9049794899610352,0.774897217820434,2025,6.7635984975888865,689,677
