评价段,模型,样本数,MSE,RMSE,MAE,R²
Test (final),base,540,0.2042401836409413,0.4519294011689672,0.3257819793842457,0.1475750320260878
Test (final),time,540,0.23773315029363967,0.48757886571675735,0.40208535044281574,0.007787451946010715
Train (final),base,1514,0.31236304818620353,0.558894487525332,0.41103247131035225,0.4848052607402922
Train (final),time,1514,0.1466489356290585,0.3829476930718587,0.25921814970170176,0.7581251668760496
Validation (internal best),base,67,0.07133799975138748,0.267091744071934,0.196668436562837,-0.3938685475984751
Validation (internal best),time,67,0.05657028717819708,0.2378450907170402,0.1735590376782773,-0.10532316999494484
